subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Anger,Anger,1,108,0.21113019056944438
all,Anger,Disgust,1,108,0.18535052359259258
all,Anger,Fear,1,108,0.1915435646481482
all,Anger,Happiness,1,108,0.12425291687037034
all,Anger,Neutral,1,108,0.13265698678703697
all,Anger,Sadness,1,108,0.10340303587407412
all,Anger,Surprise,1,108,0.05166278775648149
all,Anger,Anger,2,108,0.2240472755150925
all,Anger,Disgust,2,108,0.17354944661111113
all,Anger,Fear,2,108,0.2087269276037037
all,Anger,Happiness,2,108,0.11170184176203701
all,Anger,Neutral,2,108,0.16856216727499992
all,Anger,Sadness,2,108,0.08815414696916665
all,Anger,Surprise,2,108,0.025258198847777788
all,Anger,Anger,3,108,0.2225215532550926
all,Anger,Disgust,3,108,0.1733205050546297
all,Anger,Fear,3,108,0.21154635035648142
all,Anger,Happiness,3,108,0.1183646084648148
all,Anger,Neutral,3,108,0.1778141685527777
all,Anger,Sadness,3,108,0.07922827759629632
all,Anger,Surprise,3,108,0.017204534353055554
all,Anger,Anger,4,108,0.22591289273675924
all,Anger,Disgust,4,108,0.1826464221935185
all,Anger,Fear,4,108,0.21093600444074076
all,Anger,Happiness,4,108,0.11500467413425926
all,Anger,Neutral,4,108,0.17862062525648148
all,Anger,Sadness,4,108,0.07368428279092593
all,Anger,Surprise,4,108,0.013195103202407412
all,Anger,Anger,5,108,0.24017464357962973
all,Anger,Disgust,5,108,0.1957772037953704
all,Anger,Fear,5,108,0.2033137709398147
all,Anger,Happiness,5,108,0.10469800146250002
all,Anger,Neutral,5,108,0.17634162620462968
all,Anger,Sadness,5,108,0.06810075759064814
all,Anger,Surprise,5,108,0.011593994203888892
all,Anger,Anger,6,108,0.25007964561981494
all,Anger,Disgust,6,108,0.20457374127407413
all,Anger,Fear,6,108,0.2019105567154629
all,Anger,Happiness,6,108,0.09886314525740737
all,Anger,Neutral,6,108,0.16520293398185187
all,Anger,Sadness,6,108,0.06573553993277781
all,Anger,Surprise,6,108,0.013634444011296298
all,Anger,Anger,7,108,0.2524746316812037
all,Anger,Disgust,7,108,0.21415372978611108
all,Anger,Fear,7,108,0.19987406218935183
all,Anger,Happiness,7,108,0.09677613893981475
all,Anger,Neutral,7,108,0.1542148954605556
all,Anger,Sadness,7,108,0.06693864131333334
all,Anger,Surprise,7,108,0.015567882261666666
all,Anger,Anger,8,108,0.257929962535
all,Anger,Disgust,8,108,0.21364656162435192
all,Anger,Fear,8,108,0.2044799624707407
all,Anger,Happiness,8,108,0.09590223555833335
all,Anger,Neutral,8,108,0.1411768632441667
all,Anger,Sadness,8,108,0.06998852966009257
all,Anger,Surprise,8,108,0.01687588235824074
all,Anger,Anger,9,108,0.2700148024064815
all,Anger,Disgust,9,108,0.21613377484259258
all,Anger,Fear,9,108,0.2043866591684259
all,Anger,Happiness,9,108,0.09310521871944448
all,Anger,Neutral,9,108,0.12911821307129634
all,Anger,Sadness,9,108,0.06631425827981483
all,Anger,Surprise,9,108,0.020927078501851853
all,Anger,Anger,10,108,0.2722156997005555
all,Anger,Disgust,10,108,0.22021719427222225
all,Anger,Fear,10,108,0.19957731739342585
all,Anger,Happiness,10,108,0.09508552137685183
all,Anger,Neutral,10,108,0.12788318560898146
all,Anger,Sadness,10,108,0.06531410377675924
all,Anger,Surprise,10,108,0.019706980721388892
all,Anger,Anger,11,108,0.2853051302007407
all,Anger,Disgust,11,108,0.22737602172314814
all,Anger,Fear,11,108,0.19630244902888888
all,Anger,Happiness,11,108,0.09304923366944443
all,Anger,Neutral,11,108,0.12338592979379631
all,Anger,Sadness,11,108,0.059554139820833324
all,Anger,Surprise,11,108,0.015027097579537031
all,Anger,Anger,12,108,0.29175795205518523
all,Anger,Disgust,12,108,0.23113429048148146
all,Anger,Fear,12,108,0.1912367389585186
all,Anger,Happiness,12,108,0.0925358922361111
all,Anger,Neutral,12,108,0.11982612559212964
all,Anger,Sadness,12,108,0.05721559445240742
all,Anger,Surprise,12,108,0.016293413955370376
all,Anger,Anger,13,108,0.30611472454287036
all,Anger,Disgust,13,108,0.23069314766666657
all,Anger,Fear,13,108,0.18657726168851851
all,Anger,Happiness,13,108,0.09008360941111115
all,Anger,Neutral,13,108,0.11536746060259259
all,Anger,Sadness,13,108,0.05647522027675925
all,Anger,Surprise,13,108,0.014688582457685184
all,Anger,Anger,14,108,0.3253419299247221
all,Anger,Disgust,14,108,0.233916188375463
all,Anger,Fear,14,108,0.1810548047812037
all,Anger,Happiness,14,108,0.07940207093055547
all,Anger,Neutral,14,108,0.1109072032810185
all,Anger,Sadness,14,108,0.05719935928824074
all,Anger,Surprise,14,108,0.012178438491944447
all,Anger,Anger,15,108,0.3362228622825926
all,Anger,Disgust,15,108,0.24326402691296287
all,Anger,Fear,15,108,0.17632952232962962
all,Anger,Happiness,15,108,0.06871936402500001
all,Anger,Neutral,15,108,0.10998977669675927
all,Anger,Sadness,15,108,0.054941481175092594
all,Anger,Surprise,15,108,0.010532964543796298
all,Anger,Anger,16,108,0.34327243732611096
all,Anger,Disgust,16,108,0.24970469531388878
all,Anger,Fear,16,108,0.16658755269092596
all,Anger,Happiness,16,108,0.06977149818981482
all,Anger,Neutral,16,108,0.11474427264333337
all,Anger,Sadness,16,108,0.04754031839972219
all,Anger,Surprise,16,108,0.00837922557351852
all,Anger,Anger,17,108,0.3435783987679628
all,Anger,Disgust,17,108,0.2591733708888888
all,Anger,Fear,17,108,0.1562984634150926
all,Anger,Happiness,17,108,0.0692706481050926
all,Anger,Neutral,17,108,0.11968988110953703
all,Anger,Sadness,17,108,0.04401321192546299
all,Anger,Surprise,17,108,0.007976020357777776
all,Anger,Anger,18,108,0.33807305495861106
all,Anger,Disgust,18,108,0.2775845969694444
