prefix_length,mean_true_class_probability
1,0.2286293987458995
2,0.2636006784680159
3,0.2829471335870634
4,0.29778184270075414
5,0.318003857276323
6,0.331995452787434
7,0.3444431365715612
8,0.3621692105181216
9,0.38389130393822746
10,0.3991881767615741
11,0.4162763775884654
12,0.4324378844303963
13,0.4487599561500667
14,0.4652846941855685
15,0.47725456734179944
16,0.4909553040742064
17,0.5063169521934257
18,0.5279744763126727
19,0.5464729992497885
20,0.5629262906546829
21,0.5782073905664148
22,0.5937443268381475
23,0.6105382295556614
24,0.6269442561100268
25,0.6390541853358603
26,0.6495764319085309
27,0.6604759300213224
28,0.6710306172839414
29,0.6788363565291796
30,0.6845223477952381
