prefix_length,true_class,predicted_class,count
1,Anger,Anger,31
1,Anger,Disgust,16
1,Anger,Fear,24
1,Anger,Happiness,9
1,Anger,Neutral,22
1,Anger,Sadness,5
1,Anger,Surprise,1
1,Disgust,Anger,17
1,Disgust,Disgust,20
1,Disgust,Fear,12
1,Disgust,Happiness,32
1,Disgust,Neutral,18
1,Disgust,Sadness,8
1,Disgust,Surprise,1
1,Fear,Anger,8
1,Fear,Disgust,17
1,Fear,Fear,21
1,Fear,Happiness,23
1,Fear,Neutral,16
1,Fear,Sadness,19
1,Fear,Surprise,4
1,Happiness,Anger,11
1,Happiness,Disgust,10
1,Happiness,Fear,11
1,Happiness,Happiness,45
1,Happiness,Neutral,23
1,Happiness,Sadness,8
1,Happiness,Surprise,0
1,Neutral,Anger,9
1,Neutral,Disgust,9
1,Neutral,Fear,13
1,Neutral,Happiness,15
1,Neutral,Neutral,48
1,Neutral,Sadness,14
1,Neutral,Surprise,0
1,Sadness,Anger,13
1,Sadness,Disgust,9
1,Sadness,Fear,10
1,Sadness,Happiness,11
1,Sadness,Neutral,27
1,Sadness,Sadness,36
1,Sadness,Surprise,2
1,Surprise,Anger,16
1,Surprise,Disgust,12
1,Surprise,Fear,10
1,Surprise,Happiness,16
1,Surprise,Neutral,35
1,Surprise,Sadness,8
1,Surprise,Surprise,11
10,Anger,Anger,34
10,Anger,Disgust,20
10,Anger,Fear,23
10,Anger,Happiness,10
10,Anger,Neutral,15
10,Anger,Sadness,5
10,Anger,Surprise,1
10,Disgust,Anger,12
10,Disgust,Disgust,34
10,Disgust,Fear,13
10,Disgust,Happiness,28
10,Disgust,Neutral,7
10,Disgust,Sadness,13
10,Disgust,Surprise,1
10,Fear,Anger,7
10,Fear,Disgust,14
10,Fear,Fear,35
10,Fear,Happiness,22
10,Fear,Neutral,17
10,Fear,Sadness,9
10,Fear,Surprise,4
10,Happiness,Anger,13
10,Happiness,Disgust,7
10,Happiness,Fear,6
10,Happiness,Happiness,60
10,Happiness,Neutral,19
10,Happiness,Sadness,3
10,Happiness,Surprise,0
10,Neutral,Anger,11
10,Neutral,Disgust,1
10,Neutral,Fear,4
10,Neutral,Happiness,12
10,Neutral,Neutral,63
10,Neutral,Sadness,17
10,Neutral,Surprise,0
10,Sadness,Anger,18
10,Sadness,Disgust,6
10,Sadness,Fear,5
10,Sadness,Happiness,7
10,Sadness,Neutral,13
10,Sadness,Sadness,59
10,Sadness,Surprise,0
10,Surprise,Anger,8
10,Surprise,Disgust,12
10,Surprise,Fear,16
10,Surprise,Happiness,14
10,Surprise,Neutral,21
10,Surprise,Sadness,4
10,Surprise,Surprise,33
20,Anger,Anger,42
20,Anger,Disgust,35
20,Anger,Fear,9
20,Anger,Happiness,7
20,Anger,Neutral,14
20,Anger,Sadness,1
20,Anger,Surprise,0
20,Disgust,Anger,12
20,Disgust,Disgust,50
20,Disgust,Fear,10
20,Disgust,Happiness,22
20,Disgust,Neutral,7
20,Disgust,Sadness,7
20,Disgust,Surprise,0
20,Fear,Anger,3
20,Fear,Disgust,14
20,Fear,Fear,52
20,Fear,Happiness,11
20,Fear,Neutral,12
20,Fear,Sadness,7
20,Fear,Surprise,9
20,Happiness,Anger,12
20,Happiness,Disgust,2
20,Happiness,Fear,2
20,Happiness,Happiness,89
20,Happiness,Neutral,2
20,Happiness,Sadness,1
20,Happiness,Surprise,0
20,Neutral,Anger,11
20,Neutral,Disgust,1
20,Neutral,Fear,1
20,Neutral,Happiness,8
20,Neutral,Neutral,73
20,Neutral,Sadness,14
20,Neutral,Surprise,0
20,Sadness,Anger,19
20,Sadness,Disgust,3
20,Sadness,Fear,0
20,Sadness,Happiness,5
20,Sadness,Neutral,6
20,Sadness,Sadness,75
20,Sadness,Surprise,0
20,Surprise,Anger,7
20,Surprise,Disgust,2
20,Surprise,Fear,21
20,Surprise,Happiness,5
20,Surprise,Neutral,5
20,Surprise,Sadness,3
20,Surprise,Surprise,65
30,Anger,Anger,50
30,Anger,Disgust,45
30,Anger,Fear,3
30,Anger,Happiness,3
30,Anger,Neutral,5
30,Anger,Sadness,2
30,Anger,Surprise,0
30,Disgust,Anger,8
30,Disgust,Disgust,74
30,Disgust,Fear,3
30,Disgust,Happiness,18
30,Disgust,Neutral,1
30,Disgust,Sadness,3
30,Disgust,Surprise,1
30,Fear,Anger,0
30,Fear,Disgust,18
30,Fear,Fear,71
30,Fear,Happiness,8
30,Fear,Neutral,4
30,Fear,Sadness,0
30,Fear,Surprise,7
30,Happiness,Anger,6
30,Happiness,Disgust,2
30,Happiness,Fear,1
30,Happiness,Happiness,99
30,Happiness,Neutral,0
30,Happiness,Sadness,0
30,Happiness,Surprise,0
30,Neutral,Anger,12
30,Neutral,Disgust,1
30,Neutral,Fear,0
30,Neutral,Happiness,4
30,Neutral,Neutral,81
30,Neutral,Sadness,10
30,Neutral,Surprise,0
30,Sadness,Anger,15
30,Sadness,Disgust,3
30,Sadness,Fear,0
30,Sadness,Happiness,0
30,Sadness,Neutral,2
30,Sadness,Sadness,88
30,Sadness,Surprise,0
30,Surprise,Anger,0
30,Surprise,Disgust,1
30,Surprise,Fear,19
30,Surprise,Happiness,0
30,Surprise,Neutral,0
30,Surprise,Sadness,1
30,Surprise,Surprise,87
