prefix_length,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,0.21113019056944438,0.17271657222222223,0.1861909810425926,0.35431795862222226,0.2566115794999999,0.28098425740370353,0.13845425186111113
2,0.2240472755150925,0.18466804140555557,0.21688638035092586,0.4041283154333333,0.3682043620324074,0.3229677808148149,0.12430259372398147
3,0.2225215532550926,0.20144181073796283,0.22987888102787044,0.4154132453675925,0.4303446092111111,0.34730211326185173,0.13372772224796295
4,0.22591289273675924,0.2094827720752779,0.23355466387333343,0.432439936025926,0.4673624955583333,0.3625173119506482,0.153202826685
5,0.24017464357962973,0.21879998637435186,0.23867394743629633,0.4611450254199074,0.4998983328611112,0.38424393059305567,0.18309113466990745
6,0.25007964561981494,0.22481279270518523,0.24656250191259252,0.47478626231481486,0.5203603051925924,0.40738821378583334,0.19997844798120373
7,0.2524746316812037,0.23511526203675925,0.25028759916907417,0.493214386425,0.5311076077064816,0.43208086906240745,0.21682159991999994
8,0.257929962535,0.24769229991296304,0.27383731724083343,0.5131486698814813,0.535415425487963,0.4550087916249997,0.25215200694361106
9,0.2700148024064815,0.2662358199478704,0.2870656691297222,0.5334138763166664,0.5482756775935186,0.4886138110604629,0.29361947111287057
10,0.2722156997005555,0.28643879453111104,0.2934866935164815,0.5529355326712964,0.5601377841185182,0.5099317882829629,0.31917094451009265
11,0.2853051302007407,0.2923141339208334,0.30853450872185195,0.5822034689657406,0.5747557846268521,0.5244490316750925,0.3463725850081482
12,0.29175795205518523,0.30172982521379627,0.31653231149814814,0.6075539497157406,0.5831566104601852,0.5523363360862037,0.3739982059835185
13,0.30611472454287036,0.31838480024814814,0.32739508605675915,0.6302095798666664,0.5903020231777778,0.5741463050972223,0.3947671740610186
14,0.3253419299247221,0.32976830955685194,0.33184441801361114,0.659949191651852,0.6026674934120371,0.590169558685648,0.41725195805425924
15,0.3362228622825926,0.33720751177537034,0.33662182569999993,0.6817368222518517,0.6049011111814816,0.605863875731667,0.43822796246962964
16,0.34327243732611096,0.349593460356574,0.3534403499021297,0.6974805653157404,0.6055247827398148,0.6188469263637965,0.4685286065152777
17,0.3435783987679628,0.36411669134916663,0.3739050921954629,0.725297297575,0.6100026633083336,0.6260923591573149,0.5012261630007407
18,0.33807305495861106,0.3956693617622219,0.40241757971018516,0.7636289866379632,0.6225569264564812,0.6354620586020369,0.5380133660612038
19,0.34548308239398146,0.4159825299517593,0.4343554857090741,0.7857069409712963,0.6320613702370371,0.6418508744800926,0.5698707110052778
20,0.36387981587333335,0.4279006270360185,0.4500858024087038,0.8063784081712965,0.6391374164194441,0.6568674657820371,0.5962344988919446
21,0.36531798327888904,0.4416835640004631,0.4731879318487963,0.8250116722092593,0.645218770722222,0.6713879746110186,0.6256438372942591
22,0.3686875003492592,0.4535161497925927,0.4870212801805558,0.8339670081879627,0.6552511009833331,0.6895750536055552,0.6681921947677779
23,0.36866699886694443,0.4781012257092594,0.4970091867499999,0.8541936871564813,0.6624054394277779,0.7152714784407412,0.6981195905384261
24,0.37730792296879634,0.5089167678814817,0.512387495676852,0.8709527031296296,0.6719348520055556,0.7322708625148148,0.7148391885930555
25,0.38112855013240743,0.5306665134568517,0.5303240978666667,0.876774827075926,0.6856435063916663,0.7336292379537036,0.735212564473796
26,0.38566487704842595,0.5477325352605555,0.5365003004750002,0.8837726179537034,0.6957421274240739,0.7377109855370368,0.7599115796609262
27,0.40420431940370377,0.553310206415463,0.5524342681805555,0.8939973653388888,0.6996347323490739,0.7383192334999998,0.781431384961574
28,0.4135637784005555,0.5642841052185186,0.5781208394694446,0.9013261070583332,0.7082977432805556,0.7396145415740741,0.7920072059861112
29,0.41733570544351856,0.586054749644074,0.5959477853046299,0.9067971169509261,0.7103791344083329,0.7473735111481479,0.7879664928046297
30,0.42200417398148143,0.6011460524555557,0.6215849364907409,0.9095219391240735,0.7062755309490742,0.7496788450277778,0.7814449565379631
