prefix_length,n_correct,accuracy,mean_true_probability,mean_confidence
1,212,0.2804232804232804,0.2286293987458995,0.5697029010714281
2,226,0.29894179894179895,0.2636006784680159,0.7298262863227504
3,233,0.3082010582010582,0.2829471335870634,0.7791337658994706
4,242,0.3201058201058201,0.29778184270075414,0.8031129420105831
5,262,0.34656084656084657,0.318003857276323,0.8128784971164019
6,268,0.3544973544973545,0.331995452787434,0.8153216959126992
7,283,0.37433862433862436,0.3444431365715612,0.8232849947486783
8,294,0.3888888888888889,0.3621692105181216,0.8268873527248665
9,307,0.4060846560846561,0.38389130393822746,0.8262586638227524
10,318,0.42063492063492064,0.3991881767615741,0.8290510291798937
11,334,0.4417989417989418,0.4162763775884654,0.8386080515079367
12,341,0.45105820105820105,0.4324378844303963,0.838396962235451
13,359,0.4748677248677249,0.4487599561500667,0.8342325296957672
14,375,0.49603174603174605,0.4652846941855685,0.8396890211507935
15,374,0.4947089947089947,0.47725456734179944,0.8440629772222229
16,388,0.5132275132275133,0.4909553040742064,0.8421658789153433
17,403,0.533068783068783,0.5063169521934257,0.8428362757936513
18,425,0.5621693121693122,0.5279744763126727,0.8394477439814815
19,438,0.5793650793650794,0.5464729992497885,0.8446864158201063
20,446,0.58994708994709,0.5629262906546829,0.8538554083201049
21,455,0.6018518518518519,0.5782073905664148,0.8600399708333331
22,469,0.6203703703703703,0.5937443268381475,0.8617780982275141
23,484,0.6402116402116402,0.6105382295556614,0.8624069941402102
24,497,0.6574074074074074,0.6269442561100268,0.8634645148280424
25,504,0.6666666666666666,0.6390541853358603,0.8682281125529097
26,513,0.6785714285714286,0.6495764319085309,0.8718821125264555
27,523,0.6917989417989417,0.6604759300213224,0.8738567723677255
28,533,0.705026455026455,0.6710306172839414,0.8745517269179899
29,544,0.7195767195767195,0.6788363565291796,0.8722187031481491
30,550,0.7275132275132276,0.6845223477952381,0.8728912869709002
