perspective,prefix_length,n_sequences,accuracy,mean_true_probability,mean_confidence
Central,1,378,0.25925925925925924,0.2175027873695767,0.573661547116402
Central,2,378,0.2804232804232804,0.24761880630468253,0.7301837106613756
Central,3,378,0.2777777777777778,0.2608303649990741,0.7783759957407407
Central,4,378,0.28835978835978837,0.27207667936068786,0.8063544756878307
Central,5,378,0.30952380952380953,0.2908289094514286,0.8134667247354499
Central,6,378,0.328042328042328,0.30497441515420637,0.8195354187830688
Central,7,378,0.3412698412698413,0.3155437429937566,0.8272004238888888
Central,8,378,0.3544973544973545,0.33376474872179895,0.8272481523280423
Central,9,378,0.373015873015873,0.35392707028140213,0.8222329405291006
Central,10,378,0.3783068783068783,0.37150705488952374,0.8239172719047618
Central,11,378,0.42063492063492064,0.3936845341274867,0.8378856115343916
Central,12,378,0.42063492063492064,0.41018239765031744,0.838915978994709
Central,13,378,0.4523809523809524,0.4260141377413493,0.833085823095238
Central,14,378,0.47619047619047616,0.44395938864312173,0.8426999249470899
Central,15,378,0.4656084656084656,0.45248125234592596,0.8489279565873016
Central,16,378,0.47619047619047616,0.4651997560278306,0.8462046045502646
Central,17,378,0.5105820105820106,0.4838153726158465,0.8450073549999999
Central,18,378,0.5238095238095238,0.503992280885582,0.8409996715608465
Central,19,378,0.544973544973545,0.5207178618498677,0.846095981957672
Central,20,378,0.5502645502645502,0.533401681393254,0.8579961791798941
Central,21,378,0.5529100529100529,0.5466132332515873,0.8637958131481481
Central,22,378,0.582010582010582,0.5622056129979894,0.8667132905555556
Central,23,378,0.6084656084656085,0.582500063837619,0.8603244524867725
Central,24,378,0.6402116402116402,0.6080580361367196,0.8623849602645504
Central,25,378,0.6481481481481481,0.6271961061388096,0.8696271703703703
Central,26,378,0.6772486772486772,0.6420243429116665,0.8734507671164021
Central,27,378,0.6931216931216931,0.6580829417632804,0.8780865743650794
Central,28,378,0.7037037037037037,0.6701387300504233,0.8827493928306879
Central,29,378,0.7222222222222222,0.6827693327229101,0.8810196987301586
Central,30,378,0.7301587301587301,0.689559259728836,0.8831905354232803
Side,1,378,0.30158730158730157,0.23975601012222222,0.565744255026455
Side,2,378,0.31746031746031744,0.27958255063134924,0.729468861984127
Side,3,378,0.3386243386243386,0.30506390217505297,0.7798915360582012
Side,4,378,0.35185185185185186,0.32348700604082004,0.7998714083333334
Side,5,378,0.3835978835978836,0.34517880510121685,0.8122902694973544
Side,6,378,0.38095238095238093,0.3590164904206614,0.811107973042328
Side,7,378,0.4074074074074074,0.3733425301493652,0.8193695656084655
Side,8,378,0.42328042328042326,0.39057367231444445,0.8265265531216931
Side,9,378,0.43915343915343913,0.4138555375950529,0.8302843871164022
Side,10,378,0.46296296296296297,0.4268692986336243,0.8341847864550266
Side,11,378,0.46296296296296297,0.4388682210494445,0.8393304914814813
Side,12,378,0.48148148148148145,0.45469337121047615,0.8378779454761907
Side,13,378,0.4973544973544973,0.471505774558783,0.8353792362962962
Side,14,378,0.5158730158730159,0.4866099997280159,0.8366781173544973
Side,15,378,0.5238095238095238,0.5020278823376719,0.8391979978571429
Side,16,378,0.5502645502645502,0.516710852120582,0.8381271532804232
Side,17,378,0.5555555555555556,0.5288185317710054,0.8406651965873015
Side,18,378,0.6005291005291006,0.5519566717397619,0.8378958164021164
Side,19,378,0.6137566137566137,0.572228136649709,0.8432768496825397
Side,20,378,0.6296296296296297,0.5924508999161111,0.8497146374603174
Side,21,378,0.6507936507936508,0.6098015478812434,0.8562841285185184
Side,22,378,0.6587301587301587,0.6252830406783069,0.8568429058994709
Side,23,378,0.671957671957672,0.6385763952737038,0.8644895357936508
Side,24,378,0.6746031746031746,0.6458304760833332,0.8645440693915343
Side,25,378,0.6851851851851852,0.6509122645329101,0.8668290547354497
Side,26,378,0.6798941798941799,0.6571285209053969,0.8703134579365079
Side,27,378,0.6904761904761905,0.6628689182793651,0.8696269703703704
Side,28,378,0.7063492063492064,0.6719225045174603,0.866354061005291
Side,29,378,0.716931216931217,0.6749033803354497,0.8634177075661377
Side,30,378,0.7248677248677249,0.6794854358616401,0.8625920385185185
