prefix_length,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,105,93,101,151,189,98,19
2,106,83,100,155,188,105,19
3,104,87,96,154,185,109,21
4,106,84,95,158,184,104,25
5,102,89,93,158,187,100,27
6,101,92,97,157,184,100,25
7,96,97,96,157,177,106,27
8,101,93,96,156,168,108,34
9,104,93,101,156,154,111,37
10,103,94,102,153,155,110,39
11,105,89,106,155,152,105,44
12,100,94,108,154,146,109,45
13,110,99,108,154,130,109,46
14,113,96,108,154,127,107,51
15,116,99,106,152,125,107,51
16,114,101,106,152,123,104,56
17,109,100,104,154,124,103,62
18,106,99,100,150,131,105,65
19,106,107,98,149,123,104,69
20,106,107,95,147,119,108,74
21,99,115,95,145,118,108,76
22,100,118,92,149,107,106,84
23,99,122,88,146,104,110,87
24,99,130,90,144,100,103,90
25,96,136,92,140,96,106,90
26,93,142,87,141,96,104,93
27,97,136,86,144,92,104,97
28,98,132,91,141,93,104,97
29,89,142,95,136,91,106,97
30,91,144,97,132,93,104,95
