prefix_length,newly_correct_vs_previous_prefix,newly_wrong_vs_previous_prefix,fraction_final_class_stabilized
1,0,0,0.2605820105820106
2,22,8,0.2791005291005291
3,22,15,0.29894179894179895
4,20,11,0.31746031746031744
5,25,5,0.3412698412698413
6,14,8,0.3584656084656085
7,20,5,0.3783068783068783
8,21,10,0.4021164021164021
9,18,5,0.421957671957672
10,21,10,0.4444444444444444
11,24,8,0.46825396825396826
12,16,9,0.48412698412698413
13,24,6,0.5132275132275133
14,23,7,0.5383597883597884
15,8,9,0.548941798941799
16,21,7,0.5727513227513228
17,22,7,0.5992063492063492
18,30,8,0.6335978835978836
19,28,15,0.6693121693121693
20,17,9,0.6970899470899471
21,17,8,0.7314814814814815
22,21,7,0.7619047619047619
23,20,5,0.783068783068783
24,20,7,0.8121693121693122
25,16,9,0.8425925925925926
26,15,6,0.8703703703703703
27,16,6,0.8915343915343915
28,18,8,0.9193121693121693
29,18,7,0.9537037037037037
30,18,12,1.0
