sequence_id,reenactment_id,participant_id,perspective,true_class,final_predicted_class,correct_final,ever_correct,never_correct,first_correct_timestep,stabilization_timestep,prediction_switches,earlier_correct_final_wrong
1700478995850-2-1-1-0-0-0,1700478995850-2-1-1-0-0,1,Central,Anger,Anger,True,True,False,1.0,30,12,False
1700478995850-2-1-1-0-0-1,1700478995850-2-1-1-0-0,1,Side,Anger,Disgust,False,True,False,1.0,29,7,True
1700478998549-2-1-1-1-5-0,1700478998549-2-1-1-1-5,1,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700478998549-2-1-1-1-5-1,1700478998549-2-1-1-1-5,1,Side,Sadness,Sadness,True,True,False,1.0,1,0,False
1700479001137-2-1-1-2-3-0,1700479001137-2-1-1-2-3,1,Central,Happiness,Happiness,True,True,False,1.0,1,0,False
1700479001137-2-1-1-2-3-1,1700479001137-2-1-1-2-3,1,Side,Happiness,Fear,False,True,False,1.0,13,1,True
1700479004312-2-1-1-3-0-0,1700479004312-2-1-1-3-0,1,Central,Anger,Neutral,False,True,False,1.0,15,1,True
1700479004312-2-1-1-3-0-1,1700479004312-2-1-1-3-0,1,Side,Anger,Disgust,False,True,False,1.0,30,2,True
1700479005401-2-1-1-4-0-0,1700479005401-2-1-1-4-0,1,Central,Anger,Anger,True,True,False,19.0,21,3,False
1700479005401-2-1-1-4-0-1,1700479005401-2-1-1-4-0,1,Side,Anger,Anger,True,True,False,1.0,29,8,False
1700479007738-2-1-1-5-5-0,1700479007738-2-1-1-5-5,1,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700479007738-2-1-1-5-5-1,1700479007738-2-1-1-5-5,1,Side,Sadness,Sadness,True,True,False,3.0,21,5,False
1700479015441-2-1-1-8-3-0,1700479015441-2-1-1-8-3,1,Central,Happiness,Happiness,True,True,False,8.0,8,1,False
1700479015441-2-1-1-8-3-1,1700479015441-2-1-1-8-3,1,Side,Happiness,Happiness,True,True,False,5.0,5,1,False
1700479105264-2-1-2-0-4-0,1700479105264-2-1-2-0-4,1,Central,Neutral,Neutral,True,True,False,7.0,7,1,False
1700479105264-2-1-2-0-4-1,1700479105264-2-1-2-0-4,1,Side,Neutral,Neutral,True,True,False,4.0,4,1,False
1700479106931-2-1-2-1-1-0,1700479106931-2-1-2-1-1,1,Central,Disgust,Disgust,True,True,False,13.0,13,6,False
1700479106931-2-1-2-1-1-1,1700479106931-2-1-2-1-1,1,Side,Disgust,Sadness,False,True,False,11.0,27,3,True
1700479111705-2-1-2-3-2-0,1700479111705-2-1-2-3-2,1,Central,Fear,Fear,True,True,False,1.0,1,0,False
1700479111705-2-1-2-3-2-1,1700479111705-2-1-2-3-2,1,Side,Fear,Fear,True,True,False,1.0,1,0,False
1700479113933-2-1-2-4-1-0,1700479113933-2-1-2-4-1,1,Central,Disgust,Disgust,True,True,False,1.0,18,2,False
