epoch,accuracy,val_accuracy,val_loss
1,0.1389,0.2117,1.9280
2,0.1642,0.1831,1.9092
3,0.2059,0.2104,1.8796
4,0.2550,0.2117,1.8793
5,0.2480,0.2558,1.8223
6,0.3115,0.3351,1.6589
7,0.3522,0.3195,1.6429
8,0.4162,0.3805,1.5386
9,0.3646,0.5377,1.2476
10,0.5933,0.6377,0.9953
11,0.6870,0.6727,0.8818
12,0.7460,0.6000,1.0186
13,0.7555,0.6792,0.9703
14,0.7857,0.7234,0.8070
15,0.7272,0.6636,0.9034
16,0.7713,0.6779,0.8984
17,0.7966,0.7182,0.7830
18,0.7927,0.7234,0.7976
19,0.8194,0.7416,0.7809
20,0.8353,0.7571,0.7036
21,0.8775,0.7610,0.6526
22,0.8904,0.7792,0.6806
23,0.8924,0.7506,0.7483
24,0.9077,0.7896,0.6544
25,0.9281,0.7831,0.6336
26,0.9266,0.7714,0.7105
27,0.9221,0.8039,0.6283
28,0.9221,0.7974,0.6613
29,0.9172,0.7779,0.6703
30,0.9256,0.7818,0.7079
31,0.9320,0.6974,0.9201
32,0.9261,0.7922,0.6928
33,0.9320,0.7532,0.7701
34,0.9301,0.7649,0.7421
35,0.9291,0.7922,0.7357
36,0.9345,0.7818,0.6890
37,0.9449,0.7948,0.6522
38,0.9430,0.7974,0.6646
39,0.9271,0.7857,0.6870
40,0.9459,0.7779,0.7237
