subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Anger,Anger,1,54,0.1893752934814815
all,Anger,Disgust,1,54,0.16934816224074076
all,Anger,Fear,1,54,0.13910409042592597
all,Anger,Happiness,1,54,0.14237845841666666
all,Anger,Neutral,1,54,0.15379581041481477
all,Anger,Sadness,1,54,0.10124320127777778
all,Anger,Surprise,1,54,0.10475499142037037
all,Anger,Anger,2,54,0.20092015436111108
all,Anger,Disgust,2,54,0.17242420530370367
all,Anger,Fear,2,54,0.14516316157129627
all,Anger,Happiness,2,54,0.14284712765629629
all,Anger,Neutral,2,54,0.19003651732851853
all,Anger,Sadness,2,54,0.06397120586592593
all,Anger,Surprise,2,54,0.08463763910444444
all,Anger,Anger,3,54,0.20347702346240748
all,Anger,Disgust,3,54,0.17253138189444442
all,Anger,Fear,3,54,0.15019694781777776
all,Anger,Happiness,3,54,0.13715349797685186
all,Anger,Neutral,3,54,0.22240102223509256
all,Anger,Sadness,3,54,0.042233976567777796
all,Anger,Surprise,3,54,0.07200614792074074
all,Anger,Anger,4,54,0.21462858779703708
all,Anger,Disgust,4,54,0.16791450016666662
all,Anger,Fear,4,54,0.15438446664511113
all,Anger,Happiness,4,54,0.1267553864718148
all,Anger,Neutral,4,54,0.24290624548729642
all,Anger,Sadness,4,54,0.03035114121951852
all,Anger,Surprise,4,54,0.06305966347266669
all,Anger,Anger,5,54,0.22679588763074074
all,Anger,Disgust,5,54,0.16458251464740742
all,Anger,Fear,5,54,0.1584016442348889
all,Anger,Happiness,5,54,0.1197040798013518
all,Anger,Neutral,5,54,0.2513513947277593
all,Anger,Sadness,5,54,0.02147066844488889
all,Anger,Surprise,5,54,0.05769380689755557
all,Anger,Anger,6,54,0.23196183543474072
all,Anger,Disgust,6,54,0.16762694179333334
all,Anger,Fear,6,54,0.16275282617599995
all,Anger,Happiness,6,54,0.1168188724987778
all,Anger,Neutral,6,54,0.24870326720950006
all,Anger,Sadness,6,54,0.01709254066061111
all,Anger,Surprise,6,54,0.0550437168936852
all,Anger,Anger,7,54,0.23581737699674069
all,Anger,Disgust,7,54,0.18147952120611116
all,Anger,Fear,7,54,0.16155342327083336
all,Anger,Happiness,7,54,0.11389928129583335
all,Anger,Neutral,7,54,0.24078104858557411
all,Anger,Sadness,7,54,0.016745516997685186
all,Anger,Surprise,7,54,0.049723829394925916
all,Anger,Anger,8,54,0.24906576691740745
all,Anger,Disgust,8,54,0.1925352380924074
all,Anger,Fear,8,54,0.15519213116764816
all,Anger,Happiness,8,54,0.11076257422796296
all,Anger,Neutral,8,54,0.21995413768705557
all,Anger,Sadness,8,54,0.021761473163611118
all,Anger,Surprise,8,54,0.05072868517481482
all,Anger,Anger,9,54,0.25825592061370367
all,Anger,Disgust,9,54,0.19223492226925923
all,Anger,Fear,9,54,0.15031388140037039
all,Anger,Happiness,9,54,0.11155130189687033
all,Anger,Neutral,9,54,0.21305649916862032
all,Anger,Sadness,9,54,0.020662126281481483
all,Anger,Surprise,9,54,0.05392534784796298
all,Anger,Anger,10,54,0.2656243174462963
all,Anger,Disgust,10,54,0.18895530550444448
all,Anger,Fear,10,54,0.15059687128494442
all,Anger,Happiness,10,54,0.11490678652444446
all,Anger,Neutral,10,54,0.21201155093474075
all,Anger,Sadness,10,54,0.019083222020185177
all,Anger,Surprise,10,54,0.04882194467857407
all,Anger,Anger,11,54,0.27802108921222224
all,Anger,Disgust,11,54,0.18743327355259265
all,Anger,Fear,11,54,0.1465694927890185
all,Anger,Happiness,11,54,0.1176346341359815
all,Anger,Neutral,11,54,0.21320636604859258
all,Anger,Sadness,11,54,0.01800156142685185
all,Anger,Surprise,11,54,0.03913357991024074
