prefix_length,true_class,predicted_class,count,row_proportion
1,Anger,Anger,10,0.18518518518518517
1,Anger,Disgust,9,0.16666666666666666
1,Anger,Fear,11,0.2037037037037037
1,Anger,Happiness,6,0.1111111111111111
1,Anger,Neutral,18,0.3333333333333333
1,Anger,Sadness,0,0.0
1,Anger,Surprise,0,0.0
1,Disgust,Anger,2,0.037037037037037035
1,Disgust,Disgust,4,0.07407407407407407
1,Disgust,Fear,11,0.2037037037037037
1,Disgust,Happiness,16,0.2962962962962963
1,Disgust,Neutral,20,0.37037037037037035
1,Disgust,Sadness,1,0.018518518518518517
1,Disgust,Surprise,0,0.0
1,Fear,Anger,0,0.0
1,Fear,Disgust,2,0.037037037037037035
1,Fear,Fear,12,0.2222222222222222
1,Fear,Happiness,12,0.2222222222222222
1,Fear,Neutral,20,0.37037037037037035
1,Fear,Sadness,4,0.07407407407407407
1,Fear,Surprise,4,0.07407407407407407
1,Happiness,Anger,0,0.0
1,Happiness,Disgust,2,0.037037037037037035
1,Happiness,Fear,7,0.12962962962962962
1,Happiness,Happiness,22,0.4074074074074074
1,Happiness,Neutral,22,0.4074074074074074
1,Happiness,Sadness,1,0.018518518518518517
1,Happiness,Surprise,0,0.0
1,Neutral,Anger,2,0.037037037037037035
1,Neutral,Disgust,0,0.0
1,Neutral,Fear,6,0.1111111111111111
1,Neutral,Happiness,6,0.1111111111111111
1,Neutral,Neutral,40,0.7407407407407407
1,Neutral,Sadness,0,0.0
1,Neutral,Surprise,0,0.0
1,Sadness,Anger,4,0.07407407407407407
1,Sadness,Disgust,2,0.037037037037037035
1,Sadness,Fear,6,0.1111111111111111
1,Sadness,Happiness,6,0.1111111111111111
1,Sadness,Neutral,18,0.3333333333333333
1,Sadness,Sadness,17,0.3148148148148148
1,Sadness,Surprise,1,0.018518518518518517
1,Surprise,Anger,2,0.037037037037037035
1,Surprise,Disgust,2,0.037037037037037035
1,Surprise,Fear,13,0.24074074074074073
1,Surprise,Happiness,7,0.12962962962962962
1,Surprise,Neutral,24,0.4444444444444444
1,Surprise,Sadness,1,0.018518518518518517
1,Surprise,Surprise,5,0.09259259259259259
10,Anger,Anger,15,0.2777777777777778
10,Anger,Disgust,10,0.18518518518518517
10,Anger,Fear,10,0.18518518518518517
10,Anger,Happiness,7,0.12962962962962962
10,Anger,Neutral,11,0.2037037037037037
10,Anger,Sadness,0,0.0
10,Anger,Surprise,1,0.018518518518518517
10,Disgust,Anger,5,0.09259259259259259
10,Disgust,Disgust,12,0.2222222222222222
10,Disgust,Fear,9,0.16666666666666666
10,Disgust,Happiness,14,0.25925925925925924
10,Disgust,Neutral,10,0.18518518518518517
10,Disgust,Sadness,3,0.05555555555555555
10,Disgust,Surprise,1,0.018518518518518517
10,Fear,Anger,0,0.0
10,Fear,Disgust,2,0.037037037037037035
10,Fear,Fear,20,0.37037037037037035
10,Fear,Happiness,10,0.18518518518518517
10,Fear,Neutral,18,0.3333333333333333
10,Fear,Sadness,2,0.037037037037037035
10,Fear,Surprise,2,0.037037037037037035
10,Happiness,Anger,0,0.0
10,Happiness,Disgust,1,0.018518518518518517
10,Happiness,Fear,4,0.07407407407407407
10,Happiness,Happiness,35,0.6481481481481481
10,Happiness,Neutral,13,0.24074074074074073
10,Happiness,Sadness,1,0.018518518518518517
10,Happiness,Surprise,0,0.0
10,Neutral,Anger,1,0.018518518518518517
10,Neutral,Disgust,1,0.018518518518518517
10,Neutral,Fear,2,0.037037037037037035
10,Neutral,Happiness,6,0.1111111111111111
10,Neutral,Neutral,43,0.7962962962962963
10,Neutral,Sadness,1,0.018518518518518517
10,Neutral,Surprise,0,0.0
10,Sadness,Anger,3,0.05555555555555555
10,Sadness,Disgust,4,0.07407407407407407
10,Sadness,Fear,5,0.09259259259259259
10,Sadness,Happiness,4,0.07407407407407407
10,Sadness,Neutral,10,0.18518518518518517
10,Sadness,Sadness,28,0.5185185185185185
10,Sadness,Surprise,0,0.0
10,Surprise,Anger,3,0.05555555555555555
10,Surprise,Disgust,0,0.0
10,Surprise,Fear,6,0.1111111111111111
10,Surprise,Happiness,6,0.1111111111111111
10,Surprise,Neutral,17,0.3148148148148148
10,Surprise,Sadness,1,0.018518518518518517
10,Surprise,Surprise,21,0.3888888888888889
20,Anger,Anger,26,0.48148148148148145
20,Anger,Disgust,13,0.24074074074074073
20,Anger,Fear,5,0.09259259259259259
20,Anger,Happiness,1,0.018518518518518517
20,Anger,Neutral,8,0.14814814814814814
20,Anger,Sadness,0,0.0
20,Anger,Surprise,1,0.018518518518518517
20,Disgust,Anger,7,0.12962962962962962
20,Disgust,Disgust,17,0.3148148148148148
20,Disgust,Fear,6,0.1111111111111111
20,Disgust,Happiness,11,0.2037037037037037
20,Disgust,Neutral,7,0.12962962962962962
20,Disgust,Sadness,3,0.05555555555555555
20,Disgust,Surprise,3,0.05555555555555555
20,Fear,Anger,0,0.0
20,Fear,Disgust,2,0.037037037037037035
20,Fear,Fear,28,0.5185185185185185
20,Fear,Happiness,8,0.14814814814814814
20,Fear,Neutral,12,0.2222222222222222
20,Fear,Sadness,0,0.0
20,Fear,Surprise,4,0.07407407407407407
20,Happiness,Anger,0,0.0
20,Happiness,Disgust,0,0.0
20,Happiness,Fear,2,0.037037037037037035
20,Happiness,Happiness,51,0.9444444444444444
20,Happiness,Neutral,1,0.018518518518518517
20,Happiness,Sadness,0,0.0
20,Happiness,Surprise,0,0.0
20,Neutral,Anger,1,0.018518518518518517
20,Neutral,Disgust,0,0.0
20,Neutral,Fear,2,0.037037037037037035
20,Neutral,Happiness,3,0.05555555555555555
20,Neutral,Neutral,48,0.8888888888888888
20,Neutral,Sadness,0,0.0
20,Neutral,Surprise,0,0.0
20,Sadness,Anger,1,0.018518518518518517
20,Sadness,Disgust,4,0.07407407407407407
20,Sadness,Fear,2,0.037037037037037035
20,Sadness,Happiness,3,0.05555555555555555
20,Sadness,Neutral,5,0.09259259259259259
20,Sadness,Sadness,39,0.7222222222222222
20,Sadness,Surprise,0,0.0
20,Surprise,Anger,1,0.018518518518518517
20,Surprise,Disgust,0,0.0
20,Surprise,Fear,7,0.12962962962962962
20,Surprise,Happiness,3,0.05555555555555555
20,Surprise,Neutral,5,0.09259259259259259
20,Surprise,Sadness,0,0.0
20,Surprise,Surprise,38,0.7037037037037037
30,Anger,Anger,28,0.5185185185185185
30,Anger,Disgust,23,0.42592592592592593
30,Anger,Fear,1,0.018518518518518517
30,Anger,Happiness,0,0.0
30,Anger,Neutral,2,0.037037037037037035
30,Anger,Sadness,0,0.0
30,Anger,Surprise,0,0.0
30,Disgust,Anger,2,0.037037037037037035
30,Disgust,Disgust,30,0.5555555555555556
30,Disgust,Fear,7,0.12962962962962962
30,Disgust,Happiness,10,0.18518518518518517
30,Disgust,Neutral,1,0.018518518518518517
30,Disgust,Sadness,2,0.037037037037037035
30,Disgust,Surprise,2,0.037037037037037035
30,Fear,Anger,0,0.0
30,Fear,Disgust,3,0.05555555555555555
30,Fear,Fear,33,0.6111111111111112
30,Fear,Happiness,4,0.07407407407407407
30,Fear,Neutral,6,0.1111111111111111
30,Fear,Sadness,0,0.0
30,Fear,Surprise,8,0.14814814814814814
30,Happiness,Anger,0,0.0
30,Happiness,Disgust,0,0.0
30,Happiness,Fear,0,0.0
30,Happiness,Happiness,54,1.0
30,Happiness,Neutral,0,0.0
30,Happiness,Sadness,0,0.0
30,Happiness,Surprise,0,0.0
30,Neutral,Anger,0,0.0
30,Neutral,Disgust,1,0.018518518518518517
30,Neutral,Fear,0,0.0
30,Neutral,Happiness,2,0.037037037037037035
30,Neutral,Neutral,51,0.9444444444444444
30,Neutral,Sadness,0,0.0
30,Neutral,Surprise,0,0.0
30,Sadness,Anger,0,0.0
30,Sadness,Disgust,4,0.07407407407407407
30,Sadness,Fear,1,0.018518518518518517
30,Sadness,Happiness,0,0.0
30,Sadness,Neutral,1,0.018518518518518517
30,Sadness,Sadness,48,0.8888888888888888
30,Sadness,Surprise,0,0.0
30,Surprise,Anger,0,0.0
30,Surprise,Disgust,1,0.018518518518518517
30,Surprise,Fear,1,0.018518518518518517
30,Surprise,Happiness,0,0.0
30,Surprise,Neutral,0,0.0
30,Surprise,Sadness,0,0.0
30,Surprise,Surprise,52,0.9629629629629629
