prefix_length,n_correct,accuracy,mean_true_probability,mean_max_probability,mean_confidence_when_wrong,n_wrong_confidence_ge_090
1,110,0.291005291005291,0.21596113582910045,0.37053259394179905,0.34245953294776116,1
2,115,0.30423280423280424,0.2588422045384129,0.5254799587830689,0.48427544102661596,20
3,126,0.3333333333333333,0.28950760236269846,0.6245387083597883,0.585558974920635,41
4,130,0.3439153439153439,0.3143861317232989,0.6876589343915346,0.6479400053225806,48
5,140,0.37037037037037035,0.3383001029511325,0.7349967633597888,0.6975481373949579,57
6,146,0.3862433862433862,0.35762700281213217,0.767003478253968,0.7258046492672414,78
7,150,0.3968253968253968,0.3732385826722331,0.7879846071693131,0.7454439946052631,87
8,156,0.4126984126984127,0.38951247212217455,0.8053487944973555,0.7628705022072072,89
9,165,0.4365079365079365,0.40620437158098943,0.8189755255820109,0.7820452108920187,91
10,174,0.4603174603174603,0.4270147086976684,0.826988772989418,0.7866972518137256,87
11,179,0.47354497354497355,0.4471602328520396,0.8310217216402114,0.7807579861809046,81
12,183,0.48412698412698413,0.4629204625005659,0.835860265793651,0.778527815076923,78
13,188,0.4973544973544973,0.47644887260830654,0.8355033403703712,0.7751509165789474,79
14,191,0.5052910052910053,0.4906771848784248,0.83508680994709,0.7659609299465241,78
15,199,0.5264550264550265,0.5070828390030186,0.833417846984127,0.7647203212849161,75
16,210,0.5555555555555556,0.5299385978446828,0.8379457746825398,0.7690988285714285,71
17,219,0.5793650793650794,0.5489092249068253,0.8413541899999998,0.772719155408805,71
18,225,0.5952380952380952,0.5662063958075132,0.844090322883598,0.7722886124183006,66
19,239,0.6322751322751323,0.5877712941210582,0.8499526487037032,0.7911863497122301,63
20,247,0.6534391534391535,0.6078813057600262,0.8530158397883602,0.787868888091603,53
21,256,0.6772486772486772,0.6310093750228044,0.8556976151322749,0.7934143259016393,50
22,264,0.6984126984126984,0.6520277669788364,0.8586821571164023,0.7947699941228071,47
23,269,0.7116402116402116,0.6711584865502646,0.8649431183862439,0.7960968636697248,48
24,275,0.7275132275132276,0.686721215209947,0.8704165382804233,0.7994909115533979,44
25,282,0.746031746031746,0.6985461036261642,0.8721416415079367,0.8089872097916665,44
26,287,0.7592592592592593,0.7068114342243915,0.8748598749470897,0.8150586620879119,44
27,290,0.7671957671957672,0.7128471204546823,0.8717150682804234,0.8000809839772728,42
28,294,0.7777777777777778,0.7193676227987039,0.870557467010582,0.7978112476190476,43
29,299,0.791005291005291,0.7214312523470894,0.8709882240211636,0.8162441265822784,39
30,296,0.783068783068783,0.7203908918281485,0.8719655108994716,0.8071903837804878,41
