,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,20,21,66,75,162,24,10
2,22,21,60,77,158,26,14
3,18,23,60,78,153,30,16
4,20,23,60,77,151,29,18
5,20,25,58,79,142,33,21
6,23,26,57,79,139,34,20
7,23,31,57,80,134,33,20
8,22,31,58,80,129,36,22
9,24,31,62,82,121,37,21
10,27,30,56,82,122,36,25
11,29,30,57,84,114,39,25
12,30,31,58,84,109,40,26
13,32,29,60,86,104,40,27
14,36,31,59,83,101,40,28
15,37,32,52,84,104,39,30
16,39,33,54,84,94,39,35
17,36,35,52,82,94,40,39
18,35,37,48,83,91,40,44
19,35,39,50,80,89,40,45
20,36,36,52,80,86,42,46
21,42,42,53,78,76,44,43
22,37,48,46,81,74,48,44
23,38,50,44,75,74,48,49
24,35,53,48,74,70,49,49
25,34,54,48,73,68,49,52
26,33,56,47,72,67,49,54
27,33,56,44,69,67,50,59
28,34,56,49,68,63,50,58
29,32,59,46,68,61,51,61
30,30,62,43,70,61,50,62
