prefix_length,corrected_since_t1,lost_since_t1,ever_correct_so_far,correct_through_final,final_label_already_stable
1,0,0,110,95,116
2,7,2,117,101,123
3,18,2,128,108,131
4,25,5,135,112,137
5,36,6,148,124,149
6,43,7,156,131,157
7,47,7,161,136,165
8,54,8,169,145,175
9,63,8,177,154,184
10,72,8,186,163,193
11,77,8,191,168,198
12,82,9,197,173,208
13,87,9,202,178,213
14,91,10,207,183,218
15,100,11,216,191,228
16,111,11,227,200,240
17,119,10,234,209,250
18,125,10,241,217,261
19,136,7,252,231,279
20,144,7,257,235,284
21,153,7,268,244,297
22,160,6,278,255,312
23,165,6,285,261,321
24,171,6,291,268,331
25,179,7,299,275,340
26,184,7,304,281,347
27,187,7,309,285,355
28,191,7,313,289,361
29,196,7,319,295,370
30,195,9,320,296,378
