sequence_id,sequence_timestamp,set_id,participant_id,level_id,emoji_id,true_class,final_predicted_class,correct_first,correct_final,ever_correct,first_correct_prefix,correct_through_final_from,label_switches,true_probability_first,true_probability_final,final_confidence
1700478995850-2-1-1-0-0,1700478995850,2,1,1,0,Anger,Anger,True,True,True,1.0,1.0,0,0.5526141,0.5192049,0.5192049
1700478998549-2-1-1-1-5,1700478998549,2,1,1,1,Sadness,Sadness,True,True,True,1.0,1.0,0,0.6127555,0.9990969,0.9990969
1700479001137-2-1-1-2-3,1700479001137,2,1,1,2,Happiness,Happiness,True,True,True,1.0,1.0,0,0.7559029,0.9976628,0.9976628
1700479004312-2-1-1-3-0,1700479004312,2,1,1,3,Anger,Neutral,True,False,True,1.0,,1,0.35310122,0.014783267,0.9679481
1700479005401-2-1-1-4-0,1700479005401,2,1,1,4,Anger,Anger,True,True,True,1.0,1.0,0,0.45995298,0.8572989,0.8572989
1700479007738-2-1-1-5-5,1700479007738,2,1,1,5,Sadness,Sadness,True,True,True,1.0,1.0,0,0.48237404,0.9954365,0.9954365
1700479015441-2-1-1-8-3,1700479015441,2,1,1,8,Happiness,Happiness,False,True,True,3.0,3.0,1,0.13195434,0.99940395,0.99940395
1700479105264-2-1-2-0-4,1700479105264,2,1,2,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.26930678,0.98934734,0.98934734
1700479106931-2-1-2-1-1,1700479106931,2,1,2,1,Disgust,Sadness,False,False,True,21.0,,3,0.09304035,0.02567074,0.9272054
1700479111705-2-1-2-3-2,1700479111705,2,1,2,3,Fear,Fear,True,True,True,1.0,1.0,0,0.7512815,0.9721042,0.9721042
1700479113933-2-1-2-4-1,1700479113933,2,1,2,4,Disgust,Fear,False,False,False,,,0,0.15873896,0.009014997,0.9856448
1700479117593-2-1-2-5-1,1700479117593,2,1,2,5,Disgust,Fear,False,False,False,,,2,0.09055434,0.07497082,0.9198172
1700479119890-2-1-2-6-2,1700479119890,2,1,2,6,Fear,Fear,False,True,True,19.0,19.0,1,0.33714655,0.55202144,0.55202144
1700479129747-2-1-2-10-2,1700479129747,2,1,2,10,Fear,Fear,False,True,True,28.0,28.0,1,0.29129225,0.67519695,0.67519695
1700479131977-2-1-2-11-4,1700479131977,2,1,2,11,Neutral,Neutral,True,True,True,1.0,1.0,0,0.29928535,0.95304245,0.95304245
1700479238544-2-1-3-0-4,1700479238544,2,1,3,0,Neutral,Neutral,True,True,True,1.0,22.0,2,0.27070868,0.45251337,0.45251337
1700479240547-2-1-3-1-1,1700479240547,2,1,3,1,Disgust,Surprise,False,False,False,,,2,0.09883979,0.00096938247,0.979107
1700479243878-2-1-3-3-6,1700479243878,2,1,3,3,Surprise,Surprise,False,True,True,25.0,25.0,2,0.03782672,0.991687,0.991687
1700479245714-2-1-3-4-3,1700479245714,2,1,3,4,Happiness,Happiness,False,True,True,19.0,19.0,2,0.10379801,0.99945396,0.99945396
1700479248151-2-1-3-5-2,1700479248151,2,1,3,5,Fear,Fear,False,True,True,7.0,7.0,1,0.23169446,0.9638999,0.9638999
