fea_name,n,missing,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,iqr,p99_p01,fraction_eq_0,fraction_le_0_01,fraction_le_0_05,fraction_ge_0_95,fraction_ge_0_99,n_unique,train_mean,train_median,validation_mean,validation_median,test_mean,test_median,mean_range_across_splits,median_range_across_splits,max_abs_mean_deviation_from_pooled,max_abs_median_deviation_from_pooled
BrowLowererL,51810,0,0.12370273345152323,0.0319478996098041,0.20029411679673745,2.630680476267917e-37,2.690905514977751e-16,1.177082435965818e-08,0.00102876589517105,0.151372592896223,0.6092806845903397,0.8915121555328369,0.9999998807907104,0.15034382700105195,0.8915121555328367,0.0,0.3724570546226597,0.5625747925110982,0.0047867207102875895,0.0025863732870102297,45599,0.09909552128076256,0.02497653942555185,0.202269395649117,0.0685804784297943,0.10643603394501443,0.0305885076522827,0.10317387436835444,0.04360393900424245,0.07856666219759377,0.0366325788199902
BrowLowererR,51810,0,0.10936782884584044,0.023752433247864198,0.1880244028471149,2.802596928649634e-45,7.190319819640331e-20,7.289109399399863e-10,0.000505913238157425,0.1268080621957779,0.556563639640806,0.859284520149231,0.9999999403953552,0.12630214895762046,0.859284520149231,0.0,0.3971241073151901,0.6000386025863733,0.004265585794248215,0.002374059061957151,45529,0.08627790612603352,0.0175897795706987,0.17767293547085064,0.052408380433917004,0.09868322421955714,0.02609708998352285,0.09139502934481712,0.03481860086321831,0.0683051066250102,0.028655947186052806
CheekPuffL,51810,0,0.0038500802095510164,1.7362115434585434e-13,0.015761950779773888,0.0,1.401298464324817e-45,1.401298464324817e-45,6.4599971485173585e-31,1.3664546713698655e-05,0.025010552816092897,0.05881288301199641,0.5481892824172974,1.3664546713698655e-05,0.05881288301199641,0.004053271569195136,0.8660104226983207,0.987222543910442,0.0,0.0,36224,0.003943549169475119,3.3526424637799624e-14,0.003332780276723153,2.2020857359805746e-12,0.004138589195720043,5.676201154068695e-13,0.0008058089189968902,2.168559311342775e-12,0.0005172999328278633,2.0284645816347202e-12
CheekPuffR,51810,0,0.004379391758371132,2.16396692231946e-12,0.015756909690266316,0.0,1.401298464324817e-45,1.401298464324817e-45,5.94107667386042e-28,8.057498962443788e-05,0.02716035032644863,0.061148333959281244,0.5463131666183472,8.057498962443788e-05,0.061148333959281244,0.004053271569195136,0.8520941903107508,0.9843659525188188,0.0,0.0,37017,0.004386142728766446,2.6193134575365484e-13,0.003864635051825747,6.777751537095922e-12,0.0048864642360401545,3.74633570693339e-11,0.0010218291842144073,3.720142572358025e-11,0.000514756706545385,3.529939014701444e-11
CheekRaiserL,51810,0,0.15725986313394918,0.0542849507182836,0.22506602469694076,1.401298464324817e-45,8.857716680954845e-20,2.7063946972383294e-09,0.010865584714338124,0.20348963513970367,0.6829070478677742,0.9290518718957902,1.0,0.19262405042536554,0.9290518718957902,0.0,0.2246670526925304,0.48791739046516114,0.008550472881683072,0.006562439683458792,44804,0.12805299693402214,0.0355245750397443,0.19584651949862128,0.0795564912259578,0.19244387455281406,0.08585998415946955,0.06779352256459914,0.05033540911972525,0.038586656364672095,0.03157503344118595
CheekRaiserR,51810,0,0.1410750797301209,0.0380296446382999,0.21843152955114387,1.401298464324817e-45,1.468428091829769e-23,6.334351576250971e-12,0.00820361659862095,0.16609713062644,0.6640556454658508,0.9291044437885283,1.0,0.15789351402781904,0.9291044437885283,0.0,0.26579810847326774,0.5378112333526346,0.008685581933989578,0.006755452615325227,44664,0.11606655725293095,0.02718384657055135,0.1696624422506962,0.0543808508664369,0.17573666993538445,0.07376323640346524,0.059670112682453494,0.04657938983291389,0.03466159020526355,0.03573359176516534
CheekSuckL,51810,0,0.0008679480261677137,1.401298464324817e-45,0.01087925915121394,0.0,0.0,0.0,0.0,1.401298464324817e-45,2.3472422566542783e-14,0.019048523269593613,0.3889863789081573,1.401298464324817e-45,0.019048523269593613,0.3027986875120633,0.988091102103841,0.9948465547191662,0.0,0.0,5773,0.0008573246291557217,1.401298464324817e-45,0.0005520716379366083,1.401298464324817e-45,0.0012167664499469096,1.401298464324817e-45,0.0006646948120103013,0.0,0.00034881842377919585,0.0
CheekSuckR,51810,0,0.0009057370983519848,0.0,0.012104803281296555,0.0,0.0,0.0,0.0,1.401298464324817e-45,5.744931719808783e-15,0.017223812900482915,0.4151268899440765,1.401298464324817e-45,0.017223812900482915,0.556687898089172,0.9890368654699865,0.9950781702374059,0.0,0.0,4852,0.0010082607276567593,0.0,0.0005168147055000405,0.0,0.001040399380357794,1.401298464324817e-45,0.0005235846748577536,1.401298464324817e-45,0.0003889223928519442,1.401298464324817e-45
ChinRaiserB,51810,0,0.109063029832382,2.0229526853654534e-06,0.21711975366129452,1.401298464324817e-45,1.401298464324817e-45,9.444975857303648e-41,6.949619458601836e-17,0.0728603675961494,0.6410236686468125,0.862909197807312,1.0,0.07286036759614933,0.862909197807312,0.0,0.6317699285852152,0.7301486199575371,0.0040339702760084925,0.002509168114263656,43256,0.08786567579985563,3.2640932090544084e-07,0.14736945806375493,9.681244046078064e-05,0.1241060838489875,5.159672355148359e-06,0.059503782263899296,9.64860311398752e-05,0.038306428231372924,9.478948777541518e-05
ChinRaiserT,51810,0,0.13243849007421332,0.0379631891846656,0.20354296770492605,1.401298464324817e-45,3.848343933621314e-40,3.544208896040528e-20,1.9981025616289116e-05,0.16016833856701845,0.6018835246562956,0.8527006542682638,1.0,0.16014835754140216,0.8527006542682638,0.0,0.3376761243003281,0.540822235089751,0.0037637521713954833,0.00264427716657016,44817,0.10939127236361179,0.02987062279134985,0.16951931581498905,0.05792758800089355,0.15344748468485153,0.03801480121910565,0.06012804345137726,0.0280569652095437,0.03708082574077573,0.019964398816227955
