fea_name,n,missing,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,iqr,p99_p01,fraction_eq_0,fraction_le_0_01,fraction_le_0_05,fraction_ge_0_95,fraction_ge_0_99,n_unique
BrowLowererL,51810,0,0.12370273345152323,0.0319478996098041,0.20029411679673745,2.630680476267917e-37,2.690905514977751e-16,1.177082435965818e-08,0.00102876589517105,0.151372592896223,0.6092806845903397,0.8915121555328369,0.9999998807907104,0.15034382700105195,0.8915121555328367,0.0,0.3724570546226597,0.5625747925110982,0.0047867207102875895,0.0025863732870102297,45599
BrowLowererR,51810,0,0.10936782884584044,0.023752433247864198,0.1880244028471149,2.802596928649634e-45,7.190319819640331e-20,7.289109399399863e-10,0.000505913238157425,0.1268080621957779,0.556563639640806,0.859284520149231,0.9999999403953552,0.12630214895762046,0.859284520149231,0.0,0.3971241073151901,0.6000386025863733,0.004265585794248215,0.002374059061957151,45529
CheekPuffL,51810,0,0.0038500802095510164,1.7362115434585434e-13,0.015761950779773888,0.0,1.401298464324817e-45,1.401298464324817e-45,6.4599971485173585e-31,1.3664546713698655e-05,0.025010552816092897,0.05881288301199641,0.5481892824172974,1.3664546713698655e-05,0.05881288301199641,0.004053271569195136,0.8660104226983207,0.987222543910442,0.0,0.0,36224
CheekPuffR,51810,0,0.004379391758371132,2.16396692231946e-12,0.015756909690266316,0.0,1.401298464324817e-45,1.401298464324817e-45,5.94107667386042e-28,8.057498962443788e-05,0.02716035032644863,0.061148333959281244,0.5463131666183472,8.057498962443788e-05,0.061148333959281244,0.004053271569195136,0.8520941903107508,0.9843659525188188,0.0,0.0,37017
CheekRaiserL,51810,0,0.15725986313394918,0.0542849507182836,0.22506602469694076,1.401298464324817e-45,8.857716680954845e-20,2.7063946972383294e-09,0.010865584714338124,0.20348963513970367,0.6829070478677742,0.9290518718957902,1.0,0.19262405042536554,0.9290518718957902,0.0,0.2246670526925304,0.48791739046516114,0.008550472881683072,0.006562439683458792,44804
CheekRaiserR,51810,0,0.1410750797301209,0.0380296446382999,0.21843152955114387,1.401298464324817e-45,1.468428091829769e-23,6.334351576250971e-12,0.00820361659862095,0.16609713062644,0.6640556454658508,0.9291044437885283,1.0,0.15789351402781904,0.9291044437885283,0.0,0.26579810847326774,0.5378112333526346,0.008685581933989578,0.006755452615325227,44664
CheekSuckL,51810,0,0.0008679480261677137,1.401298464324817e-45,0.01087925915121394,0.0,0.0,0.0,0.0,1.401298464324817e-45,2.3472422566542783e-14,0.019048523269593613,0.3889863789081573,1.401298464324817e-45,0.019048523269593613,0.3027986875120633,0.988091102103841,0.9948465547191662,0.0,0.0,5773
CheekSuckR,51810,0,0.0009057370983519848,0.0,0.012104803281296555,0.0,0.0,0.0,0.0,1.401298464324817e-45,5.744931719808783e-15,0.017223812900482915,0.4151268899440765,1.401298464324817e-45,0.017223812900482915,0.556687898089172,0.9890368654699865,0.9950781702374059,0.0,0.0,4852
ChinRaiserB,51810,0,0.109063029832382,2.0229526853654534e-06,0.21711975366129452,1.401298464324817e-45,1.401298464324817e-45,9.444975857303648e-41,6.949619458601836e-17,0.0728603675961494,0.6410236686468125,0.862909197807312,1.0,0.07286036759614933,0.862909197807312,0.0,0.6317699285852152,0.7301486199575371,0.0040339702760084925,0.002509168114263656,43256
ChinRaiserT,51810,0,0.13243849007421332,0.0379631891846656,0.20354296770492605,1.401298464324817e-45,3.848343933621314e-40,3.544208896040528e-20,1.9981025616289116e-05,0.16016833856701845,0.6018835246562956,0.8527006542682638,1.0,0.16014835754140216,0.8527006542682638,0.0,0.3376761243003281,0.540822235089751,0.0037637521713954833,0.00264427716657016,44817
DimplerL,51810,0,0.056147124069568004,3.596773012759513e-08,0.1158171172758359,0.0,1.401298464324817e-45,1.401298464324817e-45,1.1679170873531295e-20,0.04898047912865872,0.3238313794136047,0.525577818155288,0.853258490562439,0.04898047912865872,0.525577818155288,0.0005790387955993051,0.6624589847519784,0.7516309592742714,0.0,0.0,42368
DimplerR,51810,0,0.05866727395667463,1.1165704449922489e-07,0.11760277626699776,0.0,1.401298464324817e-45,1.401298464324817e-45,1.0713787081041731e-19,0.055974025279283475,0.336239755153656,0.5208902156352996,0.8880939483642578,0.055974025279283475,0.5208902156352996,0.0005790387955993051,0.6522292993630573,0.7390658174097664,0.0,0.0,42705
EyesClosedL,51810,0,0.04114188508689291,1.7619774972388313e-08,0.13725290810903726,0.0,0.0,0.0,7.893995647152976e-26,0.010636152001097725,0.22819231078028612,0.8613123601675001,1.0,0.010636152001097725,0.8613123601675001,0.19998069870681337,0.7473074696004632,0.8630380235475776,0.006060606060606061,0.0032619185485427524,34377
