participant_id,true_label,reenactments
1,Anger,6
1,Disgust,9
1,Fear,7
1,Happiness,6
1,Neutral,6
1,Sadness,7
1,Surprise,6
2,Anger,8
2,Disgust,8
2,Fear,7
2,Happiness,6
2,Neutral,7
2,Sadness,9
2,Surprise,7
3,Anger,2
3,Disgust,4
3,Fear,5
3,Happiness,9
3,Neutral,10
3,Sadness,8
3,Surprise,10
4,Anger,6
4,Disgust,9
4,Fear,7
4,Happiness,10
4,Neutral,10
4,Sadness,10
4,Surprise,10
5,Anger,8
5,Disgust,8
5,Fear,6
5,Happiness,7
5,Neutral,7
5,Sadness,7
5,Surprise,7
6,Anger,8
6,Disgust,6
6,Fear,7
6,Happiness,7
6,Neutral,7
6,Sadness,5
6,Surprise,7
8,Anger,10
8,Disgust,9
8,Fear,10
8,Happiness,6
8,Neutral,6
8,Sadness,6
8,Surprise,7
9,Anger,8
9,Disgust,8
9,Fear,6
9,Happiness,7
9,Neutral,7
9,Sadness,5
9,Surprise,7
10,Anger,3
10,Disgust,8
10,Fear,8
10,Happiness,7
10,Neutral,7
10,Sadness,7
10,Surprise,6
11,Anger,6
11,Disgust,5
11,Fear,7
11,Happiness,10
11,Neutral,9
11,Sadness,5
11,Surprise,10
12,Anger,1
12,Disgust,3
12,Fear,4
12,Happiness,9
12,Neutral,10
12,Sadness,4
12,Surprise,7
13,Anger,7
13,Disgust,5
13,Fear,6
13,Happiness,7
13,Neutral,7
13,Sadness,7
13,Surprise,7
14,Anger,5
14,Disgust,8
14,Fear,8
14,Happiness,7
14,Neutral,7
14,Sadness,9
14,Surprise,7
15,Anger,6
15,Disgust,7
15,Fear,7
15,Happiness,7
15,Neutral,7
15,Sadness,7
15,Surprise,7
16,Anger,5
16,Disgust,3
16,Fear,8
16,Happiness,5
16,Neutral,10
16,Sadness,1
16,Surprise,10
17,Anger,4
17,Disgust,9
17,Fear,5
17,Happiness,10
17,Neutral,10
17,Sadness,2
17,Surprise,7
18,Anger,9
18,Disgust,5
18,Fear,1
18,Happiness,7
18,Neutral,7
18,Sadness,7
18,Surprise,7
19,Anger,4
19,Disgust,1
19,Fear,5
19,Happiness,10
19,Neutral,10
19,Sadness,10
19,Surprise,9
20,Anger,4
20,Disgust,4
20,Fear,5
20,Happiness,10
20,Neutral,10
20,Sadness,10
20,Surprise,8
21,Anger,1
21,Disgust,3
21,Fear,1
21,Happiness,10
21,Neutral,10
21,Sadness,10
21,Surprise,10
22,Anger,1
22,Disgust,1
22,Happiness,9
22,Neutral,10
22,Sadness,1
22,Surprise,7
23,Anger,7
23,Disgust,8
23,Fear,9
23,Happiness,7
23,Neutral,7
23,Sadness,8
23,Surprise,7
24,Anger,4
24,Disgust,3
24,Fear,5
24,Happiness,10
24,Neutral,10
24,Sadness,6
24,Surprise,7
25,Anger,3
25,Disgust,6
25,Fear,10
25,Happiness,10
25,Neutral,10
25,Sadness,7
25,Surprise,10
26,Anger,6
26,Disgust,4
26,Fear,3
26,Happiness,10
26,Neutral,10
26,Surprise,7
27,Anger,6
27,Disgust,3
27,Fear,6
27,Happiness,7
27,Neutral,7
27,Sadness,5
27,Surprise,7
28,Anger,3
28,Disgust,3
28,Fear,6
28,Happiness,10
28,Neutral,9
28,Sadness,10
28,Surprise,6
29,Anger,6
29,Disgust,9
29,Fear,6
29,Happiness,7
29,Neutral,6
29,Sadness,9
29,Surprise,7
30,Anger,2
30,Disgust,5
30,Fear,7
30,Happiness,10
30,Neutral,10
30,Sadness,9
30,Surprise,10
31,Anger,4
31,Disgust,4
31,Fear,7
31,Happiness,10
31,Neutral,10
31,Sadness,10
31,Surprise,9
32,Anger,7
32,Disgust,3
32,Fear,5
32,Happiness,7
32,Neutral,7
32,Sadness,4
32,Surprise,5
33,Anger,3
33,Disgust,6
33,Fear,10
33,Happiness,10
33,Neutral,9
33,Sadness,5
33,Surprise,9
34,Anger,1
34,Disgust,9
34,Fear,1
34,Happiness,10
34,Neutral,10
34,Sadness,7
34,Surprise,9
35,Anger,4
35,Disgust,10
35,Fear,7
35,Happiness,10
35,Neutral,10
35,Sadness,10
35,Surprise,10
36,Anger,5
36,Disgust,5
36,Fear,10
36,Happiness,7
36,Neutral,7
36,Sadness,7
36,Surprise,8
37,Anger,2
37,Disgust,10
37,Fear,2
37,Happiness,9
37,Neutral,10
37,Sadness,6
37,Surprise,7
