sequence_summary,representation,weighting,true_label,fea_name,value
mean,raw,sample_weighted,Anger,BrowLowererL,0.31232764637410027
mean,raw,sample_weighted,Disgust,BrowLowererL,0.3021678660961506
mean,raw,sample_weighted,Fear,BrowLowererL,0.07186960605446581
mean,raw,sample_weighted,Happiness,BrowLowererL,0.05719184528529105
mean,raw,sample_weighted,Neutral,BrowLowererL,0.03650078739228407
mean,raw,sample_weighted,Sadness,BrowLowererL,0.1709990227852452
mean,raw,sample_weighted,Surprise,BrowLowererL,0.03727119970563871
mean,raw,sample_weighted,Anger,BrowLowererR,0.2899873487520213
mean,raw,sample_weighted,Disgust,BrowLowererR,0.269608275548703
mean,raw,sample_weighted,Fear,BrowLowererR,0.06804261940299582
mean,raw,sample_weighted,Happiness,BrowLowererR,0.046161183173665146
mean,raw,sample_weighted,Neutral,BrowLowererR,0.029078356982708366
mean,raw,sample_weighted,Sadness,BrowLowererR,0.14614315247279222
mean,raw,sample_weighted,Surprise,BrowLowererR,0.03153487156536228
mean,raw,sample_weighted,Anger,CheekPuffL,0.008455393499772684
mean,raw,sample_weighted,Disgust,CheekPuffL,0.0031625731671775493
mean,raw,sample_weighted,Fear,CheekPuffL,0.0005662886781936341
mean,raw,sample_weighted,Happiness,CheekPuffL,0.00035437131934247485
mean,raw,sample_weighted,Neutral,CheekPuffL,0.00027851265039323733
mean,raw,sample_weighted,Sadness,CheekPuffL,0.01189720254265143
mean,raw,sample_weighted,Surprise,CheekPuffL,0.004747477106644371
mean,raw,sample_weighted,Anger,CheekPuffR,0.009919114979553096
mean,raw,sample_weighted,Disgust,CheekPuffR,0.0033384597859932503
mean,raw,sample_weighted,Fear,CheekPuffR,0.0006490830588769576
mean,raw,sample_weighted,Happiness,CheekPuffR,0.000699320283211072
mean,raw,sample_weighted,Neutral,CheekPuffR,0.0004812907626168546
mean,raw,sample_weighted,Sadness,CheekPuffR,0.012486391744015541
mean,raw,sample_weighted,Surprise,CheekPuffR,0.005801567896630245
mean,raw,sample_weighted,Anger,CheekRaiserL,0.21204397772521705
mean,raw,sample_weighted,Disgust,CheekRaiserL,0.2762019010377016
mean,raw,sample_weighted,Fear,CheekRaiserL,0.06170917860335412
mean,raw,sample_weighted,Happiness,CheekRaiserL,0.38112345111225776
mean,raw,sample_weighted,Neutral,CheekRaiserL,0.04522617240179004
mean,raw,sample_weighted,Sadness,CheekRaiserL,0.09695342500734862
mean,raw,sample_weighted,Surprise,CheekRaiserL,0.04110553772226237
mean,raw,sample_weighted,Anger,CheekRaiserR,0.18245976695335533
mean,raw,sample_weighted,Disgust,CheekRaiserR,0.24324398392088936
mean,raw,sample_weighted,Fear,CheekRaiserR,0.05077333522812533
mean,raw,sample_weighted,Happiness,CheekRaiserR,0.3704878907904528
mean,raw,sample_weighted,Neutral,CheekRaiserR,0.033724182950360254
mean,raw,sample_weighted,Sadness,CheekRaiserR,0.07957883648190905
mean,raw,sample_weighted,Surprise,CheekRaiserR,0.03185530660267209
mean,raw,sample_weighted,Anger,CheekSuckL,1.0035384074677851e-08
mean,raw,sample_weighted,Disgust,CheekSuckL,5.584699562700285e-05
mean,raw,sample_weighted,Fear,CheekSuckL,7.935090750592379e-05
mean,raw,sample_weighted,Happiness,CheekSuckL,1.5864951187695802e-08
mean,raw,sample_weighted,Neutral,CheekSuckL,3.833510165675288e-08
mean,raw,sample_weighted,Sadness,CheekSuckL,2.2579805263304565e-06
mean,raw,sample_weighted,Surprise,CheekSuckL,0.005229968930117726
mean,raw,sample_weighted,Anger,CheekSuckR,3.2364248286576473e-06
mean,raw,sample_weighted,Disgust,CheekSuckR,2.934624463218319e-05
mean,raw,sample_weighted,Fear,CheekSuckR,2.9590202011234488e-05
mean,raw,sample_weighted,Happiness,CheekSuckR,1.9405100096082066e-06
mean,raw,sample_weighted,Neutral,CheekSuckR,5.574288081747384e-07
mean,raw,sample_weighted,Sadness,CheekSuckR,4.843260899277315e-06
mean,raw,sample_weighted,Surprise,CheekSuckR,0.005513174821448602
mean,raw,sample_weighted,Anger,ChinRaiserB,0.2589193983580396
mean,raw,sample_weighted,Disgust,ChinRaiserB,0.18395463789167302
mean,raw,sample_weighted,Fear,ChinRaiserB,0.01156554285839455
mean,raw,sample_weighted,Happiness,ChinRaiserB,0.0354152967670394
mean,raw,sample_weighted,Neutral,ChinRaiserB,0.0064316294284281145
mean,raw,sample_weighted,Sadness,ChinRaiserB,0.3509659203713566
mean,raw,sample_weighted,Surprise,ChinRaiserB,0.017533859490003342
mean,raw,sample_weighted,Anger,ChinRaiserT,0.2707498315814496
mean,raw,sample_weighted,Disgust,ChinRaiserT,0.23086642622449718
mean,raw,sample_weighted,Fear,ChinRaiserT,0.04502666879324464
mean,raw,sample_weighted,Happiness,ChinRaiserT,0.09621011421469615
mean,raw,sample_weighted,Neutral,ChinRaiserT,0.010144274716293778
mean,raw,sample_weighted,Sadness,ChinRaiserT,0.3249288233927487
mean,raw,sample_weighted,Surprise,ChinRaiserT,0.046410778770231406
mean,raw,sample_weighted,Anger,DimplerL,0.031673988126375126
mean,raw,sample_weighted,Disgust,DimplerL,0.044690006989451796
mean,raw,sample_weighted,Fear,DimplerL,0.04358727590374739
mean,raw,sample_weighted,Happiness,DimplerL,0.20357793689573186
mean,raw,sample_weighted,Neutral,DimplerL,0.011427370758428874
mean,raw,sample_weighted,Sadness,DimplerL,0.009311170508952032
mean,raw,sample_weighted,Surprise,DimplerL,0.020857755818166346
mean,raw,sample_weighted,Anger,DimplerR,0.03321672946579278
mean,raw,sample_weighted,Disgust,DimplerR,0.046405402249099045
mean,raw,sample_weighted,Fear,DimplerR,0.04740391844746478
mean,raw,sample_weighted,Happiness,DimplerR,0.21084455023419216
mean,raw,sample_weighted,Neutral,DimplerR,0.011892561068553511
mean,raw,sample_weighted,Sadness,DimplerR,0.009620327396612225
mean,raw,sample_weighted,Surprise,DimplerR,0.022662308583359502
mean,raw,sample_weighted,Anger,EyesClosedL,0.07573353977291596
mean,raw,sample_weighted,Disgust,EyesClosedL,0.09830589839163269
mean,raw,sample_weighted,Fear,EyesClosedL,0.018142010559843588
mean,raw,sample_weighted,Happiness,EyesClosedL,0.024465257164660456
mean,raw,sample_weighted,Neutral,EyesClosedL,0.015930337917989115
mean,raw,sample_weighted,Sadness,EyesClosedL,0.06377512513790211
mean,raw,sample_weighted,Surprise,EyesClosedL,0.02011900597495881
mean,raw,sample_weighted,Anger,EyesClosedR,0.07144124080981758
mean,raw,sample_weighted,Disgust,EyesClosedR,0.10193828984970137
mean,raw,sample_weighted,Fear,EyesClosedR,0.01611059414169666
mean,raw,sample_weighted,Happiness,EyesClosedR,0.027870527371804434
mean,raw,sample_weighted,Neutral,EyesClosedR,0.015130601082750678
mean,raw,sample_weighted,Sadness,EyesClosedR,0.06967483772879542
mean,raw,sample_weighted,Surprise,EyesClosedR,0.018717811086628348
mean,raw,sample_weighted,Anger,EyesLookDownL,0.06838666569653887
mean,raw,sample_weighted,Disgust,EyesLookDownL,0.08657436348603842
mean,raw,sample_weighted,Fear,EyesLookDownL,0.01843689215921594
mean,raw,sample_weighted,Happiness,EyesLookDownL,0.037532231954208586
mean,raw,sample_weighted,Neutral,EyesLookDownL,0.01850345180178602
mean,raw,sample_weighted,Sadness,EyesLookDownL,0.045696597977188065
mean,raw,sample_weighted,Surprise,EyesLookDownL,0.018975468885253883
mean,raw,sample_weighted,Anger,EyesLookDownR,0.07150608937483473
mean,raw,sample_weighted,Disgust,EyesLookDownR,0.08558902648715293
mean,raw,sample_weighted,Fear,EyesLookDownR,0.01698410708900895
mean,raw,sample_weighted,Happiness,EyesLookDownR,0.03995397514597912
mean,raw,sample_weighted,Neutral,EyesLookDownR,0.017853110575647955
mean,raw,sample_weighted,Sadness,EyesLookDownR,0.050824678843122244
mean,raw,sample_weighted,Surprise,EyesLookDownR,0.017805788498790432
mean,raw,sample_weighted,Anger,EyesLookLeftL,0.060083601117389085
mean,raw,sample_weighted,Disgust,EyesLookLeftL,0.065206809151259
mean,raw,sample_weighted,Fear,EyesLookLeftL,0.0638467169970296
mean,raw,sample_weighted,Happiness,EyesLookLeftL,0.06570396329403261
mean,raw,sample_weighted,Neutral,EyesLookLeftL,0.07392366735461846
mean,raw,sample_weighted,Sadness,EyesLookLeftL,0.06741923245978491
mean,raw,sample_weighted,Surprise,EyesLookLeftL,0.06837005598626028
mean,raw,sample_weighted,Anger,EyesLookLeftR,0.1071817830062618
mean,raw,sample_weighted,Disgust,EyesLookLeftR,0.11251783591229483
mean,raw,sample_weighted,Fear,EyesLookLeftR,0.11031684835140941
mean,raw,sample_weighted,Happiness,EyesLookLeftR,0.1117454810412471
mean,raw,sample_weighted,Neutral,EyesLookLeftR,0.12200104355089184
mean,raw,sample_weighted,Sadness,EyesLookLeftR,0.11369021603547565
mean,raw,sample_weighted,Surprise,EyesLookLeftR,0.1151315500549389
mean,raw,sample_weighted,Anger,EyesLookRightL,0.08482325118711012
mean,raw,sample_weighted,Disgust,EyesLookRightL,0.08855908841738047
mean,raw,sample_weighted,Fear,EyesLookRightL,0.09444704734313972
mean,raw,sample_weighted,Happiness,EyesLookRightL,0.09291799943019091
mean,raw,sample_weighted,Neutral,EyesLookRightL,0.08221706949134384
mean,raw,sample_weighted,Sadness,EyesLookRightL,0.09312489799302005
mean,raw,sample_weighted,Surprise,EyesLookRightL,0.09498884736213752
mean,raw,sample_weighted,Anger,EyesLookRightR,0.04536053840635617
mean,raw,sample_weighted,Disgust,EyesLookRightR,0.049323206536080466
mean,raw,sample_weighted,Fear,EyesLookRightR,0.05424482985326222
mean,raw,sample_weighted,Happiness,EyesLookRightR,0.0522267538561783
mean,raw,sample_weighted,Neutral,EyesLookRightR,0.04390868847296415
mean,raw,sample_weighted,Sadness,EyesLookRightR,0.052716477111926126
mean,raw,sample_weighted,Surprise,EyesLookRightR,0.05501907007353756
mean,raw,sample_weighted,Anger,EyesLookUpL,0.06907233615974005
mean,raw,sample_weighted,Disgust,EyesLookUpL,0.045703728931769695
mean,raw,sample_weighted,Fear,EyesLookUpL,0.029056412998240178
mean,raw,sample_weighted,Happiness,EyesLookUpL,0.05037655231165828
mean,raw,sample_weighted,Neutral,EyesLookUpL,0.048586653000061986
mean,raw,sample_weighted,Sadness,EyesLookUpL,0.03380294785026813
mean,raw,sample_weighted,Surprise,EyesLookUpL,0.0299005387406328
mean,raw,sample_weighted,Anger,EyesLookUpR,0.06911407591875605
mean,raw,sample_weighted,Disgust,EyesLookUpR,0.04563450788563476
mean,raw,sample_weighted,Fear,EyesLookUpR,0.029008534594839343
mean,raw,sample_weighted,Happiness,EyesLookUpR,0.05039991969887988
mean,raw,sample_weighted,Neutral,EyesLookUpR,0.04858925044744089
mean,raw,sample_weighted,Sadness,EyesLookUpR,0.03374462173243247
mean,raw,sample_weighted,Surprise,EyesLookUpR,0.02989199504304814
mean,raw,sample_weighted,Anger,InnerBrowRaiserL,0.06478692683604399
mean,raw,sample_weighted,Disgust,InnerBrowRaiserL,0.06607651324906617
mean,raw,sample_weighted,Fear,InnerBrowRaiserL,0.15656398414237346
mean,raw,sample_weighted,Happiness,InnerBrowRaiserL,0.03934183696139471
mean,raw,sample_weighted,Neutral,InnerBrowRaiserL,0.017427722441154737
