sequence_summary,representation,weighting,true_label,group_id,value,group_label
mean,raw,sample_weighted,Anger,AU1,0.06153445342034734,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Disgust,AU1,0.06300065187987043,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Fear,AU1,0.1610402104362133,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Happiness,AU1,0.04072537032536175,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Neutral,AU1,0.01733295105991517,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Sadness,AU1,0.08107609754873153,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Surprise,AU1,0.17547130109123585,AU1 Inner Brow Raiser
mean,raw,sample_weighted,Anger,AU2,0.018874166425128912,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Disgust,AU2,0.02934043247849141,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Fear,AU2,0.15104240869052155,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Happiness,AU2,0.03479200052719336,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Neutral,AU2,0.013923899562212768,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Sadness,AU2,0.029837217599008075,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Surprise,AU2,0.17982523322888602,AU2 Outer Brow Raiser
mean,raw,sample_weighted,Anger,AU4,0.3011574975630608,AU4 Brow Lowerer
mean,raw,sample_weighted,Disgust,AU4,0.2858880708224268,AU4 Brow Lowerer
mean,raw,sample_weighted,Fear,AU4,0.06995611272873081,AU4 Brow Lowerer
mean,raw,sample_weighted,Happiness,AU4,0.0516765142294781,AU4 Brow Lowerer
mean,raw,sample_weighted,Neutral,AU4,0.03278957218749622,AU4 Brow Lowerer
mean,raw,sample_weighted,Sadness,AU4,0.1585710876290187,AU4 Brow Lowerer
mean,raw,sample_weighted,Surprise,AU4,0.03440303563550049,AU4 Brow Lowerer
