reenactment_id,split,sequence_timestamp,set_id,participant_id,level_id,emoji_id,true_label_id,true_label,AU1,AU2,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU12,AU14,AU15,AU16,AU17,AU18,AU20,AU22,AU23,AU24,AU26,AU28,AU43,AD29,AD30,AD34,AD35,EYE61,EYE62,EYE63,EYE64,UNMAPPED_MouthLeft,UNMAPPED_MouthRight
1700478995850-2-1-1-0-0,test,1700478995850,2,1,1,0,0,Anger,0.07775588370859617,9.38803045622242e-05,0.2762323811650276,1.401298464324817e-45,0.07780316937714811,0.11022658944129943,0.03795710578560823,0.007492797262966606,0.017747875023633217,4.473345700006556e-15,1.2051799244923414e-16,0.029637183342128955,0.01755755906924603,0.23314277082681653,0.27614625990390773,0.007367022696416776,0.030660905491094976,0.1523169182240963,1.401298464324817e-45,0.02879311908036465,0.010157542726489808,0.03260380451101803,0.026990506425499862,0.06830323375761505,0.07132358141243457,1.401298464324817e-45,0.029029208235442635,0.030282100848853577,0.11729944087564942,0.01487950154114508,3.2423842100115525e-08,2.249579935664771e-08
1700478998549-2-1-1-1-5,test,1700478998549,2,1,1,1,5,Sadness,0.10745731517672535,0.01045574970994492,0.16973509863018987,1.401298464324817e-45,0.043166516628116325,0.021107402443885776,0.026332192867994306,0.0069634084036806106,5.7441208127784244e-06,4.619146493496376e-05,3.408166849112606e-05,0.9377501904964447,0.004267199663445282,0.5695979684591294,0.09023591093718997,0.1712793327867984,0.227631638944149,0.16888912916183468,1.401298464324817e-45,0.02716183625161642,0.023149399744579538,0.00956069063395261,0.1791600495576858,0.055328640155494144,0.026724643446505034,1.401298464324817e-45,0.026820080541074258,0.025967248342931223,0.0,0.10236281044781215,2.615982652720562e-10,2.207781211744088e-20
1700479001137-2-1-1-2-3,test,1700479001137,2,1,1,2,3,Happiness,0.05419201925396913,0.06101427823305126,4.602544890985886e-06,1.401298464324817e-45,0.30964497625827786,0.07229152639862794,0.035632479190826405,2.272893963664297e-14,0.7440743625164032,0.5212633728981019,0.5951026558876038,0.026661972142755945,0.2740536525845527,0.09778577685356564,0.001971470949423871,0.33356586694717405,7.368527496365924e-16,1.2912918283916117e-16,1.8946348823156734e-09,0.7346072971820832,0.14478909336030477,0.007925453968348659,0.4580868780612945,0.005432819173444609,6.783480478722579e-11,1.401298464324817e-45,0.12900054194033145,0.0,0.1481707133352756,0.007925278882514665,1.931750934807368e-22,0.0024890014901757
1700479004312-2-1-1-3-0,test,1700479004312,2,1,1,3,0,Anger,0.021871365886181528,0.0014502772960532165,0.10151843950152406,1.401298464324817e-45,0.04273855155333873,0.05427400084445249,0.02638049162924288,3.5626371297503567e-10,0.03044351963326329,0.0011562615982256008,2.0281028538440542e-22,0.012022040551528265,1.1851145236783085e-19,0.11566069573163987,0.18003729507327076,0.0040364692686125445,0.0058255384210497,0.11159001924097534,0.00035462621599435,0.021360573358833727,0.05771314422599967,0.00658261356875474,0.0125719858333468,0.0271642310544848,0.010865652468055449,1.401298464324817e-45,0.0,0.1605457365512848,0.3325648099184036,0.0,3.5000423392883585e-11,0.002458091638982272
1700479005401-2-1-1-4-0,test,1700479005401,2,1,1,4,0,Anger,0.1122668821364641,0.00017915280527928184,0.30095021128654476,1.401298464324817e-45,0.05463501922786231,0.08433186858892439,0.0295823644846677,2.09854199392376e-16,0.01687321299687028,1.366904598398833e-07,1.193708727947036e-28,0.0316914184018969,6.977996094434394e-26,0.25696362406015394,0.20946747511625285,0.008944689063355292,0.01223554257303474,0.13982112407684322,0.0008649767900351206,0.02470266763120881,0.04339313711971039,0.018235400505363885,0.024639927782118275,0.027778909541666452,0.015088592562824441,1.401298464324817e-45,0.0160624161362648,0.04169746711850164,0.2121806994080543,0.0,0.0003632635052781,0.008091767597943481
1700479007738-2-1-1-5-5,test,1700479007738,2,1,1,5,5,Sadness,0.0903443612158298,0.01714914105832569,0.08030190318822858,1.401298464324817e-45,0.04372039036825294,0.023691062177385834,0.010556213185191099,0.0442787172272801,0.01353395576515972,5.593004630100053e-07,3.050546567351385e-07,0.9270730912685394,0.00746028684079645,0.3318400457501411,4.2130561010133737e-17,0.27417232990264895,0.0025860176453935606,0.002564733591868118,1.8976364249803984e-15,0.02700281981378792,0.0054346081278879325,0.007229426360403589,0.01086557991802687,0.010865593235939665,9.411840022621754e-11,1.401298464324817e-45,0.03268919438123703,0.015764765720814446,0.008735453709960105,0.007229266325835524,8.784086821833639e-06,9.369840281436849e-09
1700479015441-2-1-1-8-3,test,1700479015441,2,1,1,8,3,Happiness,0.11430582888424393,0.09398200362920756,0.003870931174606026,1.401298464324817e-45,0.450883275270462,0.12307794280350202,0.04042862206697456,8.630011312112161e-28,0.23017663210630415,0.9922871291637421,0.29264929741621015,0.010617184964939906,6.787630251966787e-14,0.0641694020479917,0.01086542047560206,0.03556791935116052,5.630615877961707e-14,1.885979055130778e-17,0.0005781620391644253,0.0172608494758605,0.17541420646011824,0.013497310690581774,4.295968528827965e-12,0.005432710237801449,1.1682193366423406e-13,1.401298464324817e-45,0.07647640574723474,0.008016441762447316,0.0,0.029477518144994906,0.0108656426891684,0.0007439643959514
1700479105264-2-1-2-0-4,test,1700479105264,2,1,2,0,4,Neutral,4.02170534706814e-06,0.0016703873159712506,5.938460822108028e-06,1.401298464324817e-45,0.014937773859128305,7.169782023641606e-09,0.01976888272911309,3.0808501246643083e-37,0.052664607204496824,0.007024182251188867,0.0006755722672095628,0.0008632783920668003,4.865915175287067e-05,0.005464923055842496,1.0840444920016795e-42,0.003725073928944722,8.020086533331836e-42,1.401298464324817e-45,1.6745516648681573e-44,0.01103315334767097,0.012564970599487383,0.00036231412735019324,5.328192019078422e-05,1.5609429892257536e-34,1.1234630178031361e-41,1.401298464324817e-45,0.024346868880093065,0.14322230331599708,0.340376165509224,2.2242153793179255e-08,0.00556751745752982,2.8718539724081912e-08
1700479106931-2-1-2-1-1,test,1700479106931,2,1,2,1,1,Disgust,0.007546088099479624,0.00011832205018432993,4.3184970877074836e-10,1.401298464324817e-45,0.011068527610041172,1.7369256954652195e-16,0.19232446551322935,0.0016661162255331814,0.00101559399627145,0.00017560515698270002,0.0003804659791057,0.720576971769333,7.084387165070324e-15,0.23447246253490445,0.14405528157949446,0.07033493779599664,0.005427114060148563,0.08280511572957036,0.04277872405946251,0.23902787566184996,0.01051880146842447,2.357630804575596e-12,0.09237426742911335,0.01437487867660819,1.401298464324817e-45,1.401298464324817e-45,0.0,0.12510007247328755,0.14454536139965057,0.0,0.0027956254780292,0.0001139738742494
1700479111705-2-1-2-3-2,test,1700479111705,2,1,2,3,2,Fear,0.12698964625597,0.07798958532512185,2.6409813677343357e-22,1.401298464324817e-45,0.010835619736462805,5.881561653874342e-39,0.03147023692727085,5.785686443826602e-11,0.22990778014063834,0.09845535755157468,0.27568114697933194,0.14715434238314629,0.3892866522073747,0.05158424768706098,7.119056991225058e-16,0.5748625665903093,7.152479794547699e-09,8.461593899514179e-11,1.299370867846595e-10,0.6955714046955108,0.054944823496043634,7.982565290429374e-35,0.0735564261674881,0.010118584858537357,2.434954922136968e-07,6.391276876627221e-08,0.03745745494961737,0.026274166069924804,0.0,4.191228096686365e-35,3.6238123779320123e-22,0.003413741150870844
