true_label,rank,fea_name,standardized_value
Anger,1,BrowLowererR,1.088233881945931
Anger,2,BrowLowererL,1.0656783908058367
Anger,3,LidTightenerL,0.839722046241125
Anger,4,ChinRaiserB,0.834069951324452
Anger,5,ChinRaiserT,0.8314294840121319
Anger,6,LipSuckRB,0.765841047988989
Anger,7,NoseWrinklerR,0.7560575987655827
Anger,8,NoseWrinklerL,0.7543711547403211
Anger,9,LidTightenerR,0.740521659603411
Anger,10,MouthLeft,0.6609272588169789
Disgust,1,NoseWrinklerL,1.4619372927489478
Disgust,2,NoseWrinklerR,1.4569386435100824
Disgust,3,BrowLowererL,1.0082784528560156
Disgust,4,BrowLowererR,0.9654498220944435
Disgust,5,LidTightenerL,0.9424770804531031
Disgust,6,UpperLipRaiserR,0.9100457530309763
Disgust,7,UpperLipRaiserL,0.869630718964737
Disgust,8,LidTightenerR,0.8051899362637155
Disgust,9,MouthLeft,0.7741698704437189
Disgust,10,EyesLookDownL,0.7129153143481745
Fear,1,OuterBrowRaiserR,0.7139683056788877
Fear,2,UpperLidRaiserR,0.6939038627876585
Fear,3,OuterBrowRaiserL,0.6897532324251674
Fear,4,UpperLidRaiserL,0.6751103365855753
Fear,5,InnerBrowRaiserR,0.6456544513452589
Fear,6,InnerBrowRaiserL,0.5977996331365392
Fear,7,JawDrop,0.4465565066591171
Fear,8,LipStretcherR,0.27241397640805737
Fear,9,LowerLipDepressorR,0.27104292344860065
Fear,10,LipStretcherL,0.25366844893316004
Happiness,1,LipCornerPullerR,1.7416161853854972
Happiness,2,LipCornerPullerL,1.7340956935230902
Happiness,3,DimplerR,1.512293741863121
Happiness,4,DimplerL,1.4837158069920569
Happiness,5,CheekRaiserR,1.2041332158256801
Happiness,6,CheekRaiserL,1.1353348360947968
Happiness,7,LipSuckRT,1.103415457294869
Happiness,8,LipSuckLT,1.0684221674774723
Happiness,9,LipSuckLB,1.0538742783998876
Happiness,10,LipSuckRB,0.8976459332543726
Neutral,1,EyesLookLeftL,0.07461625598078439
Neutral,2,EyesLookLeftR,0.06869680373594338
Neutral,3,EyesLookUpR,0.06334178468837351
Neutral,4,EyesLookUpL,0.06314880901660727
Neutral,5,EyesLookRightL,-0.07427338066475508
Neutral,6,EyesLookRightR,-0.08127614902314365
Neutral,7,CheekSuckR,-0.10186688457499607
Neutral,8,CheekSuckL,-0.10813786057975287
Neutral,9,LipPressorR,-0.199106398623778
Neutral,10,LipPressorL,-0.2005080092816094
Sadness,1,LipCornerDepressorR,1.6942834709683434
Sadness,2,LipCornerDepressorL,1.6815478334589442
Sadness,3,ChinRaiserB,1.346382099887479
Sadness,4,ChinRaiserT,1.1571150764955884
Sadness,5,LipFunnelerRB,0.8116451321001686
Sadness,6,LipFunnelerLB,0.7877974968320256
Sadness,7,CheekPuffR,0.6601818657780626
Sadness,8,CheekPuffL,0.6579886814158039
Sadness,9,JawSidewaysLeft,0.6454514683017148
Sadness,10,LipFunnelerRT,0.6170612170744717
Surprise,1,JawDrop,1.3844036206467822
Surprise,2,OuterBrowRaiserL,0.9414586851469983
Surprise,3,OuterBrowRaiserR,0.938784461206339
Surprise,4,JawThrust,0.8520940817079223
Surprise,5,InnerBrowRaiserR,0.7470728973088783
Surprise,6,InnerBrowRaiserL,0.7293782986812613
Surprise,7,LipsToward,0.6715366952855273
Surprise,8,LipFunnelerRT,0.5932882669134448
Surprise,9,LipPuckerR,0.5869805002794891
Surprise,10,LipFunnelerLT,0.5845237255480845
