true_label,rank,group_id,standardized_value,group_label
Anger,1,AU4,1.0798165791908263,AU4 Brow Lowerer
Anger,2,AU17,0.8447646498687568,AU17 Chin Raiser
Anger,3,AU7,0.8118796613044349,AU7 Lid Tightener
Anger,4,AU9,0.7554668039885434,AU9 Nose Wrinkler
Anger,5,UNMAPPED_MouthLeft,0.6609272588169789,MouthLeft (unmapped)
Anger,6,AU23,0.5922764701647252,AU23 Lip Tightener
Anger,7,AU18,0.5746825683476752,AU18 Lip Puckerer
Anger,8,AU28,0.5505700294990955,AU28 Lip Suck
Anger,9,EYE64,0.4686248992147153,EYE64 Eyes Down
Anger,10,AD34,0.41575559298156267,AD34 Cheek Puff
Disgust,1,AU9,1.4599086276160835,AU9 Nose Wrinkler
Disgust,2,AU4,0.9905089082642184,AU4 Brow Lowerer
Disgust,3,AU7,0.8971609456395477,AU7 Lid Tightener
Disgust,4,AU10,0.8914271605258565,AU10 Upper Lip Raiser
Disgust,5,UNMAPPED_MouthLeft,0.7741698704437189,MouthLeft (unmapped)
Disgust,6,EYE64,0.7165673870237262,EYE64 Eyes Down
Disgust,7,AU43,0.7027007031464695,AU43 Eyes Closed
Disgust,8,AU6,0.5715039120548924,AU6 Cheek Raiser
Disgust,9,AU17,0.5080868500599914,AU17 Chin Raiser
Disgust,10,AU28,0.4400240615080513,AU28 Lip Suck
Fear,1,AU5,0.7230292247948821,AU5 Upper Lid Raiser
Fear,2,AU2,0.7053054672532041,AU2 Outer Brow Raiser
Fear,3,AU1,0.6237270068975959,AU1 Inner Brow Raiser
Fear,4,AU26,0.4465565066591171,AU26 Jaw Drop
Fear,5,AU20,0.263402808484805,AU20 Lip Stretcher
Fear,6,AU16,0.26132960200906674,AU16 Lower Lip Depressor
Fear,7,EYE62,0.042684085495580705,EYE62 Eyes Turn Right
Fear,8,EYE61,-0.031559416774034954,EYE61 Eyes Turn Left
Fear,9,AD29,-0.03900035506687072,AD29 Jaw Thrust
Fear,10,AU8,-0.08013650817277493,AU8 Lips Toward Each Other
Happiness,1,AU12,1.738113083108156,AU12 Lip Corner Puller
Happiness,2,AU14,1.4988664272553047,AU14 Dimpler
Happiness,3,AU6,1.1715803516498913,AU6 Cheek Raiser
Happiness,4,AU28,1.108423467781578,AU28 Lip Suck
Happiness,5,AU16,0.8118853671767214,AU16 Lower Lip Depressor
Happiness,6,AU10,0.8056318696266634,AU10 Upper Lip Raiser
Happiness,7,AU20,0.3900181992893018,AU20 Lip Stretcher
Happiness,8,AU7,0.323741539995086,AU7 Lid Tightener
Happiness,9,UNMAPPED_MouthLeft,0.1411883893310332,MouthLeft (unmapped)
Happiness,10,EYE63,0.08398798255557603,EYE63 Eyes Up
Neutral,1,EYE61,0.07175612235485787,EYE61 Eyes Turn Left
Neutral,2,EYE63,0.0632457242112434,EYE63 Eyes Up
Neutral,3,EYE62,-0.07782741487316475,EYE62 Eyes Turn Right
Neutral,4,AD35,-0.10526516343160942,AD35 Cheek Suck
Neutral,5,AU24,-0.1998853639083663,AU24 Lip Pressor
Neutral,6,UNMAPPED_MouthRight,-0.2419768939581693,MouthRight (unmapped)
Neutral,7,AU22,-0.2779914854332041,AU22 Lip Funneler
Neutral,8,AD34,-0.3061158504390163,AD34 Cheek Puff
Neutral,9,AU43,-0.31201078779542313,AU43 Eyes Closed
Neutral,10,AU5,-0.32132840967785076,AU5 Upper Lid Raiser
Sadness,1,AU15,1.688342919760982,AU15 Lip Corner Depressor
Sadness,2,AU17,1.2734252550900378,AU17 Chin Raiser
Sadness,3,AU22,0.7472930190856962,AU22 Lip Funneler
Sadness,4,AD34,0.6620150352516795,AD34 Cheek Puff
Sadness,5,AD30,0.5348475675499306,AD30 Jaw Sideways
Sadness,6,AU23,0.528584647232923,AU23 Lip Tightener
Sadness,7,AD29,0.31713824010866554,AD29 Jaw Thrust
Sadness,8,AU43,0.3020885366321519,AU43 Eyes Closed
Sadness,9,AU4,0.24585860596130163,AU4 Brow Lowerer
Sadness,10,AU24,0.20753039476579255,AU24 Lip Pressor
Surprise,1,AU26,1.3844036206467822,AU26 Jaw Drop
Surprise,2,AU2,0.9443842391929121,AU2 Outer Brow Raiser
Surprise,3,AD29,0.8520940817079223,AD29 Jaw Thrust
Surprise,4,AU1,0.740338048024867,AU1 Inner Brow Raiser
Surprise,5,AU8,0.6715366952855273,AU8 Lips Toward Each Other
Surprise,6,AU18,0.5833496319178899,AU18 Lip Puckerer
Surprise,7,AD35,0.532500814253585,AD35 Cheek Suck
Surprise,8,AU5,0.49680655160081927,AU5 Upper Lid Raiser
Surprise,9,AD30,0.40079974151793685,AD30 Jaw Sideways
Surprise,10,AU22,0.3748931394065362,AU22 Lip Funneler
