pair,source,target,reference,feature,kind,n_error,n_reference,participants_error,error_mean,reference_mean,raw_delta,sd_scaled_delta,shared_participants,within_participant_delta,within_participant_positive,within_participant_negative,abs_sd_delta
Anger__Disgust,Anger,Disgust,Anger: correct,BrowLowererL,FEA,23,28,5,0.2939776790135188,0.1577809692136015,0.1361967097999173,0.9318264893852664,3.0,-0.008056183833223124,2.0,1.0,0.9318264893852664
Anger__Disgust,Anger,Disgust,Anger: correct,BrowLowererR,FEA,23,28,5,0.28775733322181407,0.15085032779468546,0.1369070054271286,0.9696307279251257,3.0,-0.0070280835056261886,2.0,1.0,0.9696307279251257
Anger__Disgust,Anger,Disgust,Anger: correct,CheekPuffL,FEA,23,28,5,0.0008515656701334998,0.012309040807325618,-0.011457475137192119,-1.206000289469416,3.0,-0.0010994877005333313,1.0,2.0,1.206000289469416
Anger__Disgust,Anger,Disgust,Anger: correct,CheekPuffR,FEA,23,28,5,0.000871339336345118,0.01599650324206389,-0.015125163905718771,-1.4211649788303815,3.0,-0.000979805669096743,1.0,2.0,1.4211649788303815
Anger__Disgust,Anger,Disgust,Anger: correct,CheekRaiserL,FEA,23,28,5,0.3226058757081524,0.17582146558840508,0.14678441011974733,0.6878010553374236,3.0,0.03656191551197685,3.0,0.0,0.6878010553374236
Anger__Disgust,Anger,Disgust,Anger: correct,CheekRaiserR,FEA,23,28,5,0.29511325210988976,0.15299894803737554,0.1421143040725142,0.6861737822239239,3.0,0.04566034525157495,3.0,0.0,0.6861737822239239
Anger__Disgust,Anger,Disgust,Anger: correct,CheekSuckL,FEA,23,28,5,4.131311516196766e-10,4.594011454984756e-33,4.131311516196766e-10,4.4421258994241855e-08,3.0,-4.670994881082723e-47,0.0,1.0,4.4421258994241855e-08
Anger__Disgust,Anger,Disgust,Anger: correct,CheekSuckR,FEA,23,28,5,1.626513328735012e-09,1.5052942977760944e-33,1.626513328735012e-09,2.0813955014974758e-07,3.0,4.670994881082723e-47,1.0,0.0,2.0813955014974758e-07
Anger__Disgust,Anger,Disgust,Anger: correct,ChinRaiserB,FEA,23,28,5,0.19250618540560605,0.3388009425074617,-0.14629475710185563,-0.711121212863681,3.0,-0.04346864857662028,2.0,1.0,0.711121212863681
Anger__Disgust,Anger,Disgust,Anger: correct,ChinRaiserT,FEA,23,28,5,0.2658926444436703,0.34535166678641566,-0.07945902234274538,-0.4198991716497321,3.0,-0.009656115273661189,2.0,1.0,0.4198991716497321
Anger__Disgust,Anger,Disgust,Anger: correct,DimplerL,FEA,23,28,5,0.09715619394886339,0.027820300210835546,0.06933589373802784,0.606266876674537,3.0,0.006628665070767925,1.0,2.0,0.606266876674537
Anger__Disgust,Anger,Disgust,Anger: correct,DimplerR,FEA,23,28,5,0.09889272500497735,0.027944834785116696,0.07094789021986066,0.6232900961840119,3.0,0.004485859435612141,1.0,2.0,0.6232900961840119
Anger__Disgust,Anger,Disgust,Anger: correct,EyesClosedL,FEA,23,28,5,0.13568968037961704,0.039077221763228885,0.09661245861638815,0.8915172360292001,3.0,-0.007537855980882202,1.0,2.0,0.8915172360292001
Anger__Disgust,Anger,Disgust,Anger: correct,EyesClosedR,FEA,23,28,5,0.1309384568190877,0.04399097983934375,0.08694747697974395,0.8239700572019166,3.0,-0.05030095718041175,0.0,3.0,0.8239700572019166
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookDownL,FEA,23,28,5,0.05142596116109701,0.02000118320101511,0.031424777960081904,0.824855334912311,3.0,0.0320850055792435,3.0,0.0,0.824855334912311
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookDownR,FEA,23,28,5,0.06185149809914324,0.020653250003265233,0.04119824809587801,0.9135782285553362,3.0,0.03391076702437714,3.0,0.0,0.9135782285553362
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookLeftL,FEA,23,28,5,0.03429501284039545,0.038935487430648015,-0.004640474590252568,-0.05716869646973469,3.0,0.0018054670284295183,2.0,1.0,0.05716869646973469
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookLeftR,FEA,23,28,5,0.0711341181303673,0.0825269362964155,-0.011392818166048202,-0.10654248670798713,3.0,0.008790082310119416,2.0,1.0,0.10654248670798713
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookRightL,FEA,23,28,5,0.10693843357376348,0.0727948855964877,0.034143547977275784,0.3703260396991944,3.0,0.016132428509299645,1.0,2.0,0.3703260396991944
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookRightR,FEA,23,28,5,0.05765120674521944,0.02949099444089195,0.028160212304327487,0.4241305875644211,3.0,0.023305842056611775,3.0,0.0,0.4241305875644211
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookUpL,FEA,23,28,5,0.08701740182426664,0.18019962500486925,-0.09318222318060261,-0.898341958135734,3.0,-0.042617666752905466,0.0,3.0,0.898341958135734
Anger__Disgust,Anger,Disgust,Anger: correct,EyesLookUpR,FEA,23,28,5,0.08709329709805466,0.18037981361320424,-0.09328651651514958,-0.8980141342135293,3.0,-0.04266216587482228,0.0,3.0,0.8980141342135293
Anger__Disgust,Anger,Disgust,Anger: correct,InnerBrowRaiserL,FEA,23,28,5,0.024675507163675413,0.039286406268873426,-0.014610899105198014,-0.09514639937030293,3.0,-0.024261345124033096,1.0,2.0,0.09514639937030293
Anger__Disgust,Anger,Disgust,Anger: correct,InnerBrowRaiserR,FEA,23,28,5,0.0210078852361868,0.04451280256789982,-0.023504917331713022,-0.14955671257204917,3.0,-0.028469940022671943,1.0,2.0,0.14955671257204917
Anger__Disgust,Anger,Disgust,Anger: correct,JawDrop,FEA,23,28,5,0.12994700599964082,0.01894688492262926,0.11100012107701156,0.6216747733815562,3.0,0.007953090548237635,2.0,1.0,0.6216747733815562
Anger__Disgust,Anger,Disgust,Anger: correct,JawSidewaysLeft,FEA,23,28,5,0.0035679965729844133,0.019986334645927566,-0.016418338072943153,-0.7705763934536006,3.0,0.0015534127345179043,2.0,1.0,0.7705763934536006
Anger__Disgust,Anger,Disgust,Anger: correct,JawSidewaysRight,FEA,23,28,5,0.0052120835819280485,0.023787915332161597,-0.01857583175023355,-0.6838744452565253,3.0,0.000715292670814902,1.0,2.0,0.6838744452565253
