pair,basis,feature,kind,a_mean,b_mean,a_sd,b_sd,raw_delta_b_minus_a,sd_scaled_delta,abs_sd_delta
Anger__Disgust,all,BrowLowererL,FEA,0.20824838085213812,0.20364890998157592,0.18595016447831095,0.16631305008775768,-0.0045994708705622,-0.03146851932504152,0.03146851932504152
Anger__Disgust,all,BrowLowererR,FEA,0.20171234012918707,0.18631237832654704,0.18432621681086345,0.15881316827048333,-0.015399961802640028,-0.10906875164003914,0.10906875164003914
Anger__Disgust,all,CheekPuffL,FEA,0.006783752600886666,0.0024551103065273104,0.009843672304536531,0.00945766691958726,-0.004328642294359355,-0.4556277711710826,0.4556277711710826
Anger__Disgust,all,CheekPuffR,FEA,0.008759453753449173,0.0027735684401712334,0.012349322190659864,0.009968113785269683,-0.00598588531327794,-0.5624355959084381,0.5624355959084381
Anger__Disgust,all,CheekRaiserL,FEA,0.23089111430153106,0.29181043352651315,0.2095179517199661,0.2296428072042262,0.06091931922498209,0.2854551925452954,0.2854551925452954
Anger__Disgust,all,CheekRaiserR,FEA,0.20643269171412623,0.2642519848114144,0.19462395513243422,0.22787594440484002,0.057819293097288144,0.2791702305338385,0.2791702305338385
Anger__Disgust,all,CheekSuckL,FEA,1.8357239969374448e-10,2.4470741064524488e-05,1.2932146129320236e-09,0.00017982248770756756,2.4470557492124795e-05,0.0026311571224526095,0.0026311571224526095
Anger__Disgust,all,CheekSuckR,FEA,6.985645504375821e-10,3.3311644922711e-21,5.0902048072044705e-09,1.9212904871307615e-20,-6.985645504342509e-10,-8.939300324764428e-08,8.939300324764428e-08
Anger__Disgust,all,ChinRaiserB,FEA,0.2583817705794435,0.11176969308846262,0.24775091617640446,0.18237478437345392,-0.14661207749098087,-0.7126636690969144,0.7126636690969144
Anger__Disgust,all,ChinRaiserT,FEA,0.29446230141041074,0.17200349018084143,0.22883363198971216,0.17195124896397143,-0.12245881122956931,-0.6471304564345896,0.6471304564345896
Anger__Disgust,all,DimplerL,FEA,0.05873094700403696,0.10341698908133092,0.0871048624830206,0.11597957506561565,0.04468604207729396,0.39073077017667834,0.39073077017667834
Anger__Disgust,all,DimplerR,FEA,0.05962189176079601,0.10316488143265676,0.08572568354846337,0.11271261023637433,0.043542989671860745,0.382533069505091,0.382533069505091
Anger__Disgust,all,EyesClosedL,FEA,0.07840049635426105,0.08110458807778993,0.11289787679053603,0.11325605815264372,0.0027040917235288814,0.02495272777294765,0.02495272777294765
Anger__Disgust,all,EyesClosedR,FEA,0.07858952900881225,0.0811410500258168,0.11682609449770996,0.10497866633761282,0.0025515210170045516,0.02417984962143204,0.02417984962143204
Anger__Disgust,all,EyesLookDownL,FEA,0.03292889735622855,0.04890534863136148,0.051489847795252994,0.059955559003208383,0.015976451275132926,0.4193589238402892,0.4193589238402892
Anger__Disgust,all,EyesLookDownR,FEA,0.03742261066573517,0.05540130715944406,0.05805929283550719,0.0677494456064653,0.01797869649370889,0.39868068312594,0.39868068312594
Anger__Disgust,all,EyesLookLeftL,FEA,0.0364163654489352,0.0452460316170609,0.06423099033393166,0.06964806970853966,0.0088296661681257,0.108777775910026,0.108777775910026
Anger__Disgust,all,EyesLookLeftR,FEA,0.07770282589946063,0.08538495368172593,0.0905305904132036,0.09990275501541945,0.007682127782265291,0.07184113581046998,0.07184113581046998
Anger__Disgust,all,EyesLookRightL,FEA,0.08598314338804933,0.10500805150592146,0.09185548492081307,0.11186274564252897,0.019024908117872136,0.20634700540265227,0.20634700540265227
Anger__Disgust,all,EyesLookRightR,FEA,0.040731402668461654,0.058790674164710136,0.06666401901231755,0.08459775814178495,0.01805927149624848,0.2719968637989355,0.2719968637989355
Anger__Disgust,all,EyesLookUpL,FEA,0.13424231255176877,0.0526659598651114,0.1465132657998907,0.07700989683678884,-0.08157635268665737,-0.7864532301195211,0.7864532301195211
Anger__Disgust,all,EyesLookUpR,FEA,0.13438379802189526,0.05271194991125669,0.14681274106716263,0.07717948976251723,-0.08167184811063857,-0.786206589231824,0.786206589231824
Anger__Disgust,all,InnerBrowRaiserL,FEA,0.03187041349085065,0.042870261616378136,0.030453317554863576,0.04988864940904516,0.010999848125527484,0.07163117993141,0.07163117993141
Anger__Disgust,all,InnerBrowRaiserR,FEA,0.03333720068378754,0.0402406018594224,0.032355321549336596,0.04670575944736881,0.006903401175634864,0.04392485073755098,0.04392485073755098
Anger__Disgust,all,JawDrop,FEA,0.07026062641632723,0.10876266707982257,0.10352465326389446,0.09761784489997939,0.03850204066349534,0.2156371287883495,0.2156371287883495
Anger__Disgust,all,JawSidewaysLeft,FEA,0.0120902777868537,0.00488835742755227,0.013557957244737271,0.004859068109923494,-0.00720192035930143,-0.3380141029959757,0.3380141029959757
Anger__Disgust,all,JawSidewaysRight,FEA,0.014801889300217332,0.007897848655690156,0.015111150885307165,0.00655257689419411,-0.006904040644527177,-0.2541741887678954,0.2541741887678954
Anger__Disgust,all,JawThrust,FEA,0.026546060733569146,0.03868223588235398,0.0375617035215896,0.05698296762780175,0.01213617514878483,0.1786906136848502,0.1786906136848502
Anger__Disgust,all,LidTightenerL,FEA,0.31185318954019686,0.2981366222858074,0.18034674480344434,0.18919629892621223,-0.013716567254389467,-0.07621124904132102,0.07621124904132102
