reenactment_id,participant_id,true_label,fea_pred,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,pair
1700567688235-2-8-1-0-0,8,Anger,Disgust,0.22788326243559517,0.2312018766999244,1.401298464324817e-45,1.8159301621162159e-22,0.11699413359165187,0.11733518640200293,1.401298464324817e-45,1.401298464324817e-45,0.00052255202123584,0.2111874255041281,0.298703508079052,0.30760577060282224,0.08091860835750893,0.08682178035378452,0.03534226765235264,0.036018849660952874,0.0,0.0,0.41191229621569314,0.32799037198225656,0.027384002747324578,0.02778946869075295,0.016400461869003825,0.012666155296998669,0.37864760458469393,6.733132907795245e-37,3.3719478109697586e-28,0.008712951792404,0.3493751754363378,0.4372533748547236,0.20408155495921768,0.17051183419922986,0.03377395207752058,0.02913361072229837,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,5.0091015616775323e-29,1.401298464324817e-45,1.401298464324817e-45,1.9490925806648244e-28,1.478447053767619e-28,0.09954663834845022,0.10714147582960622,0.21783435518542923,0.06897823003431157,0.1979527523120244,0.06474999133497474,1.401298464324817e-45,1.401298464324817e-45,0.045031705250342634,0.06416790311535196,0.060677227750420525,0.03983617102106408,0.03510453511650359,0.6707871754964193,0.7000023404757182,0.043569447379559235,0.056775826588273,0.14478598758578298,0.15935033522546288,0.6589665949344635,0.6759055515130361,Anger__Disgust
1700567695958-2-8-1-3-0,8,Anger,Disgust,0.09436222786016829,0.10105986103883982,1.1787676569928948e-21,1.401298464324817e-45,0.05312762359850842,0.051894643903763395,1.401298464324817e-45,1.401298464324817e-45,0.0005681759954313567,0.06658957465357765,0.07858166728789602,0.08859475313996269,0.028805206467707938,0.024876452113191266,0.015367208917935684,0.014784242771565903,0.0,0.020492172411953356,0.06570326449970401,0.0,0.02006348993551603,0.020086111659960163,0.0036706519966779824,9.850202747352455e-05,0.16574260617295897,2.2295022788872806e-21,1.9267428172520485e-08,0.003027624448319895,0.14440980268021422,0.16930370023474095,0.0682717390828202,0.06188363829666434,0.00423178041613327,0.003591741763596332,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,3.3987807687286355e-34,3.255336587158082e-34,1.3119391863813621e-36,2.4292264020129153e-36,0.017376492976230364,0.019553890007227844,0.11126135823627309,0.01906343691428496,0.09377917569751536,0.019862975472297362,1.401298464324817e-45,1.401298464324817e-45,0.043429646827280476,0.014009257282005989,0.015055829530315895,0.020478338996569267,0.017986832426440204,0.2670151352882385,0.2815021976828575,0.021427882478261943,0.009416672068497616,0.2023285535474618,0.31155897714197633,0.23994566140851623,0.23964047006690328,Anger__Disgust
1700567698824-2-8-1-4-0,8,Anger,Disgust,0.11007014067193567,0.11211658475901153,9.96789193872902e-35,1.401298464324817e-45,0.06242270876706846,0.06269884387882281,1.401298464324817e-45,1.401298464324817e-45,0.0020259423278489843,0.1369414839466723,0.20779364818788007,0.2076127200898047,0.06414792289339653,0.056019474193463405,0.0018193391462173866,0.00037948470562713027,0.0,0.020563195428500543,0.06913923807442184,0.003310351430748893,0.10437621721066531,0.10456030524025357,0.034629112109541844,0.01921721808612342,0.3374007259805997,1.8853118706086363e-34,6.262778698019194e-08,0.009320299327082053,0.1967827011287833,0.30288142738863827,0.10515087045108275,0.09365158396155968,0.03503104228365049,0.027378647645956277,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,0.0013346056678111705,0.000995202955694646,0.1677672520926961,0.17136828738248625,0.23841889326771099,0.04180846734282866,0.20908431038260458,0.04291443019174035,1.401298464324817e-45,1.401298464324817e-45,0.06016834390660122,0.07593069933374834,0.0733197825652949,0.021646679751574947,0.013187608738000688,0.3540908545255661,0.36744894882043205,0.06868397506574787,0.051268615697820936,0.3678443809350332,0.4625132605433464,0.36203840738162396,0.3740996758143107,Anger__Disgust
1700567906760-2-8-3-2-0,8,Anger,Disgust,0.2497389134019613,0.2523240121702353,1.401298464324817e-45,1.3862271996137702e-17,0.14525698715200025,0.1467699355135361,1.401298464324817e-45,1.401298464324817e-45,0.009608042869268689,0.24021393681565917,0.3197776355082169,0.303590910277353,0.08772996353606378,0.08509669452905651,0.0,0.0,0.09471625785032906,0.17219572365283964,0.018017448484897607,0.009316568076610559,0.1653746027499437,0.16483884820093708,0.03721613787735498,0.040398169619341645,0.30823612237970033,0.0007754840889057459,0.0034347296723035627,0.01882384998801472,0.36348883907000223,0.4344242513179779,0.21980005751053489,0.202090826878945,0.0757343556886283,0.05942063733902313,1.401298464324817e-45,5.8016853752634084e-18,3.073673605144165e-20,1.7060967158464265e-18,1.401298464324817e-45,1.401298464324817e-45,0.000755670957658677,0.000755670957658677,0.4889550150372088,0.4989509077432255,0.30953384190797806,0.08587317379812395,0.277780644595623,0.08524497424562767,1.401298464324817e-45,1.401298464324817e-45,0.04983155056834217,0.36289140086934746,0.3597128045746809,0.03095579675088322,0.025126282839725365,0.6979807818929354,0.7254315896270176,0.06347905906538164,0.08783426129569608,0.29771055405338603,0.2658681993683179,0.7433605978886286,0.7606410712003708,Anger__Disgust
1700567918385-2-8-3-8-0,8,Anger,Disgust,0.15711529549429312,0.15885330679794996,9.558022608745063e-19,9.885549336547606e-14,0.12046461331774476,0.1183336365347107,1.401298464324817e-45,1.401298464324817e-45,0.004697542736615385,0.1435627926829814,0.16460152280263474,0.16429197908313045,0.0801118919625878,0.07389390033980207,0.013781860719124468,0.010990970022976393,0.017902867402881363,0.07053140401840206,0.05230860725666084,0.018595801169673583,0.0487387937493622,0.048875636545320324,0.023700296172561704,0.02780256945018962,0.23780662429829436,2.0177361214103423e-18,0.0020486931052194307,0.0022266183126096735,0.2632808806995551,0.3454468878606955,0.11812471420214807,0.10275613940352431,0.03752404486393553,0.030523926958213217,6.492682884704986e-45,4.053590724489055e-18,6.352553038272504e-45,1.795299831575814e-17,7.360912693438626e-18,6.709616192419268e-18,0.0015472676096767895,0.0008471781679948547,0.17506023612634936,0.18304834822301716,0.23220583163201805,0.050768271100241645,0.20999386534094808,0.05017468782849994,1.401298464324817e-45,1.401298464324817e-45,0.057148231690128594,0.1215784082810084,0.12015104613577325,0.026605329569429112,0.021534376777708475,0.5293114570279916,0.5461728679637115,0.07194192829419474,0.08505175265793995,0.35115782221158337,0.3612874356408914,0.44543103805432716,0.4649077164940536,Anger__Disgust
1700567922812-2-8-3-10-0,8,Anger,Disgust,0.21007728526989616,0.21921600401401514,5.908005020030201e-39,6.110444717185738e-34,0.2288525621096293,0.2349971681833267,1.401298464324817e-45,1.401298464324817e-45,0.008039187433473637,0.19583540633320806,0.2778004568535834,0.26732193847807745,0.12324537237485246,0.1376774335900942,0.008007557938496267,0.007182260106007253,0.0,0.0,0.1729158356785774,0.08682675013939535,0.1202518312260508,0.12087116266290344,0.04863342389774815,0.05524589975054061,0.1910087056457996,1.2472038752842191e-38,0.00271886629057449,0.0025604548495972014,0.35807422002156575,0.5303056667248408,0.10812826504309968,0.10701831119755899,0.18442073950159038,0.17948411641057274,1.401298464324817e-45,2.5056051389042824e-38,1.401298464324817e-45,1.109711589722149e-37,2.535503261623096e-38,2.3022574825608467e-38,3.1283765069691357e-24,5.007103327884377e-24,0.28407743726857004,0.29528115368448193,0.44163973778486254,0.07768572874901163,0.3913702468077342,0.08586054677143688,1.401298464324817e-45,1.401298464324817e-45,0.07085496683915452,0.18283434330175322,0.18134882872303326,0.03975975134720399,0.03354915861661231,0.6325492699940999,0.6645783146222433,0.08381729684770103,0.10386857974032557,0.2657116668919722,0.24804240763187405,0.7029096116622289,0.7308311988910039,Anger__Disgust
1700568088202-2-8-4-7-0,8,Anger,Disgust,0.17220169041902406,0.16775553606324436,1.450119883733636e-33,4.852560152258282e-12,0.10145617392087705,0.10265534832371653,1.0965747627398246e-39,6.146301242242699e-39,5.613880859186441e-36,0.22408618276822379,0.3078976598801091,0.30542773664152867,0.0470097709447145,0.0348603371530771,0.06890444234013555,0.06198889315128324,0.00151641260211666,0.01612075511366128,0.1639533720910549,0.09245364343126612,0.04944713112587729,0.04938213257119058,0.024805219481640925,0.030285919162755158,0.35127274617552756,7.48227986021117e-40,0.0024028112421957738,0.03134351008278216,0.2718030630485373,0.3675447992558771,0.14879480587939417,0.14309460396567977,0.05679831968556354,0.045217737623697615,8.894302008888434e-34,2.3440458062910443e-17,3.396785774447564e-13,2.965094143061712e-17,1.9897780223363895e-32,1.9897780223363895e-32,8.54692032871583e-34,1.9309422599214816e-17,0.28837539834382064,0.30471922190043493,0.1917855244129896,0.0809407520067831,0.17035308787599204,0.07827861949454015,5.259020447788779e-39,4.152703068726835e-38,0.04451539771010475,0.18991813680512198,0.18920217778590784,0.024153280930295246,0.018916099751309857,0.5395066420237223,0.558620614806811,0.03761673329475642,0.059602579187291324,0.1745442302897572,0.26707634183888634,0.640547631874991,0.6724579320793661,Anger__Disgust
1700568092978-2-8-4-10-0,8,Anger,Disgust,0.08151471159265684,0.08279542375045514,1.401298464324817e-45,2.594198471604372e-34,0.05299077627520692,0.05429858747120302,1.401298464324817e-45,1.401298464324817e-45,4.915055949299604e-07,0.07959959666865563,0.10796841401695721,0.110970399110565,0.003626912458753741,0.004410439357646568,0.04528546945648871,0.045837205315589415,0.0,0.0,0.33104531665643055,0.24597644110520678,0.0,0.0,0.006591099428927268,0.010655727366793103,0.24753066822886463,2.3998729463055078e-05,0.0005764806126876315,0.0005002218283923006,0.11777040208398826,0.17716081706360756,0.06876264442592701,0.05770712019550119,0.012098712706938368,0.009405645774677377,1.401298464324817e-45,1.2531696325783787e-39,1.8159753404302538e-35,1.5851922163866782e-39,5.957182000029357e-27,5.495011685639035e-27,0.0023139907409737356,0.0015892265891693362,0.033235602763794427,0.036137421336026085,0.15887210698177415,0.02811856563227497,0.1397795472294092,0.027234202200391595,1.401298464324817e-45,1.401298464324817e-45,0.05961783900856968,0.010764220403522151,0.012165878821803295,0.020512935379520012,0.014266469934958219,0.30060649091998737,0.31635762775937715,0.01755843205316975,0.02737202680434237,0.17250470076597982,0.22603737851010536,0.24818593867433564,0.2554508272442035,Anger__Disgust
1700568114265-2-8-4-22-0,8,Anger,Disgust,0.0457092888692083,0.03825102583880361,1.9930877202108582e-06,8.577391851923484e-06,0.04605462490614511,0.04804518235296625,9.502016487252563e-09,3.740980656090528e-08,4.0428042951031424e-05,0.08277262440931422,0.11446506357782918,0.11984167149703161,0.0006338986210587551,0.010155372694134697,0.032910056537054734,0.04227155199184321,0.0,0.0,0.23646818399429317,0.15034664149085677,0.0,0.0,0.0468490950763225,0.05791757305463151,0.2916601911187172,0.003261105715208709,0.00258450518334329,0.005006774092911782,0.15591975691082588,0.21132706970432383,0.06115243831075619,0.04932935045039717,0.01286316175662138,0.010279336726914456,7.778142396756375e-07,2.3622340309849556e-08,1.0764790092506379e-06,4.225690187326038e-08,0.0001437902706305881,0.0001437901693770666,0.003743814876893693,0.0028445075893045913,0.02798920633895258,0.02901345283415774,0.09632699663440383,0.0322495746708019,0.0815490489825606,0.027538626100776245,1.6903715457085617e-07,3.29548153505805e-07,0.06114184384544686,0.018151693232357484,0.01965939394043136,0.023254247258106812,0.015836745795543766,0.28468446775029105,0.2980407384534677,0.1280650909990072,0.13594805151224135,0.2133784809518651,0.24820902917223683,0.29197348811139817,0.28770009657411655,Anger__Disgust
1700577855799-2-10-3-8-0,10,Anger,Disgust,0.22456730622798202,0.21310840000708894,1.4036043138071494e-06,4.4736033109546436e-07,0.4398316919803619,0.3648060500621796,0.0,0.0,0.007619168311226305,0.016395771186706865,0.09677164897885698,0.09595141509047123,0.08110991487434749,0.04690922374914708,0.0,0.0,0.0,0.009977534692734463,0.1619629133492708,0.08458816309769947,0.38394769628842673,0.38549432853857674,0.0364866915158927,0.04177274157603576,0.008013542546349561,3.1499555093507843e-07,0.002427725564335956,0.0014902734205995238,0.41331340223550794,0.3328013027707736,0.01696793522378287,0.007978879567236708,0.16794120355819658,0.1694183287810214,2.602107811795029e-18,3.5492861289061296e-07,3.617527676251046e-06,3.0893788021575665e-07,6.779581132173214e-07,0.000573715572172739,1.5047942612005922e-09,1.5125528129423317e-09,0.02555363821994185,0.02712613967688305,0.1145943471541007,0.03909975649704237,0.08981039800370728,0.030869558934354672,1.548799479703693e-10,2.6973403870077426e-10,0.0178816957554469,0.0617470710693548,0.058000914550696794,0.004508114917628781,1.401298464324817e-45,0.08058078748484448,0.05836103145653999,0.014578276848866709,0.017061282868962694,0.06423239417468476,0.09764658535908283,0.12134475016500797,0.11529494800294435,Anger__Disgust
