pair,subset,participant_id,n
Anger__Disgust,Anger: all,1,6
Anger__Disgust,Anger: all,8,10
Anger__Disgust,Anger: all,10,3
Anger__Disgust,Anger: all,13,7
Anger__Disgust,Anger: all,15,6
Anger__Disgust,Anger: all,18,9
Anger__Disgust,Anger: all,23,7
Anger__Disgust,Anger: all,27,6
Anger__Disgust,Anger: correct,1,4
Anger__Disgust,Anger: correct,10,1
Anger__Disgust,Anger: correct,13,5
Anger__Disgust,Anger: correct,15,2
Anger__Disgust,Anger: correct,18,9
Anger__Disgust,Anger: correct,23,7
Anger__Disgust,Anger → Disgust,8,9
Anger__Disgust,Anger → Disgust,10,2
Anger__Disgust,Anger → Disgust,13,2
Anger__Disgust,Anger → Disgust,15,4
Anger__Disgust,Anger → Disgust,27,6
Anger__Disgust,Disgust: all,1,9
Anger__Disgust,Disgust: all,8,9
Anger__Disgust,Disgust: all,10,8
Anger__Disgust,Disgust: all,13,5
Anger__Disgust,Disgust: all,15,7
Anger__Disgust,Disgust: all,18,5
Anger__Disgust,Disgust: all,23,8
Anger__Disgust,Disgust: all,27,3
Anger__Disgust,Disgust: correct,8,9
Anger__Disgust,Disgust: correct,10,3
Anger__Disgust,Disgust: correct,13,4
Anger__Disgust,Disgust: correct,15,2
Anger__Disgust,Disgust: correct,18,4
Anger__Disgust,Disgust: correct,23,6
Anger__Disgust,Disgust: correct,27,2
Anger__Disgust,Disgust → Anger,13,1
Anger__Disgust,Disgust → Anger,23,1
Fear__Surprise,Fear: all,1,7
Fear__Surprise,Fear: all,8,10
Fear__Surprise,Fear: all,10,8
Fear__Surprise,Fear: all,13,6
Fear__Surprise,Fear: all,15,7
Fear__Surprise,Fear: all,18,1
Fear__Surprise,Fear: all,23,9
Fear__Surprise,Fear: all,27,6
Fear__Surprise,Fear: correct,1,7
Fear__Surprise,Fear: correct,8,10
Fear__Surprise,Fear: correct,10,6
Fear__Surprise,Fear: correct,13,6
Fear__Surprise,Fear: correct,18,1
Fear__Surprise,Fear: correct,27,3
Fear__Surprise,Fear → Surprise,15,1
Fear__Surprise,Fear → Surprise,23,5
Fear__Surprise,Fear → Surprise,27,2
Fear__Surprise,Surprise: all,1,6
Fear__Surprise,Surprise: all,8,7
Fear__Surprise,Surprise: all,10,6
Fear__Surprise,Surprise: all,13,7
Fear__Surprise,Surprise: all,15,7
Fear__Surprise,Surprise: all,18,7
Fear__Surprise,Surprise: all,23,7
Fear__Surprise,Surprise: all,27,7
Fear__Surprise,Surprise: correct,1,6
Fear__Surprise,Surprise: correct,8,7
Fear__Surprise,Surprise: correct,10,6
Fear__Surprise,Surprise: correct,13,7
Fear__Surprise,Surprise: correct,15,5
Fear__Surprise,Surprise: correct,18,7
Fear__Surprise,Surprise: correct,23,7
Fear__Surprise,Surprise: correct,27,7
Fear__Surprise,Surprise → Fear,15,1
Disgust__Happiness,Disgust: all,1,9
Disgust__Happiness,Disgust: all,8,9
Disgust__Happiness,Disgust: all,10,8
Disgust__Happiness,Disgust: all,13,5
Disgust__Happiness,Disgust: all,15,7
Disgust__Happiness,Disgust: all,18,5
Disgust__Happiness,Disgust: all,23,8
Disgust__Happiness,Disgust: all,27,3
Disgust__Happiness,Disgust: correct,8,9
Disgust__Happiness,Disgust: correct,10,3
Disgust__Happiness,Disgust: correct,13,4
Disgust__Happiness,Disgust: correct,15,2
Disgust__Happiness,Disgust: correct,18,4
Disgust__Happiness,Disgust: correct,23,6
