pair,subset,feature,mean,sd,q25,median,q75,n
Anger__Disgust,Anger: all,BrowLowererL,0.20824838085213812,0.18595016447831095,0.08582394380047476,0.1557053865602938,0.24948537278299526,54
Anger__Disgust,Anger: all,BrowLowererR,0.20171234012918707,0.18432621681086345,0.08314516504696813,0.15451997783346175,0.24402566684875635,54
Anger__Disgust,Anger: all,CheekPuffL,0.006783752600886666,0.009843672304536531,1.1981447642527609e-15,0.001823130579757744,0.010195080656565587,54
Anger__Disgust,Anger: all,CheekPuffR,0.008759453753449173,0.012349322190659864,1.2872816580886776e-12,0.0021216583466044836,0.012674783061577634,54
Anger__Disgust,Anger: all,CheekRaiserL,0.23089111430153106,0.2095179517199661,0.08857385473481065,0.1321418043832333,0.30042479878757145,54
Anger__Disgust,Anger: all,CheekRaiserR,0.20643269171412623,0.19462395513243422,0.08400605845963578,0.12900639163951078,0.2441054962402025,54
Anger__Disgust,Anger: all,CheekSuckL,1.8357239969374448e-10,1.2932146129320236e-09,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,54
Anger__Disgust,Anger: all,CheekSuckR,6.985645504375821e-10,5.0902048072044705e-09,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,54
Anger__Disgust,Anger: all,ChinRaiserB,0.2583817705794435,0.24775091617640446,0.01143865854061,0.23729783641950536,0.3797296245043715,54
Anger__Disgust,Anger: all,ChinRaiserT,0.29446230141041074,0.22883363198971216,0.08329415631749945,0.2520208947054319,0.4207435953586051,54
Anger__Disgust,Anger: all,DimplerL,0.05873094700403696,0.0871048624830206,2.1348854096990944e-07,0.015345783769108062,0.0934250409384649,54
Anger__Disgust,Anger: all,DimplerR,0.05962189176079601,0.08572568354846337,2.1421215110109156e-07,0.019386860829079495,0.09769183225106065,54
Anger__Disgust,Anger: all,EyesClosedL,0.07840049635426105,0.11289787679053603,0.010054494639587965,0.04531587014645299,0.08071692925877864,54
Anger__Disgust,Anger: all,EyesClosedR,0.07858952900881225,0.11682609449770996,0.009857981403001715,0.03500808620204525,0.08241193482050838,54
Anger__Disgust,Anger: all,EyesLookDownL,0.03292889735622855,0.051489847795252994,0.0,0.008943986892700324,0.04621608224917445,54
Anger__Disgust,Anger: all,EyesLookDownR,0.03742261066573517,0.05805929283550719,0.0,0.009536723233759398,0.0523896846478648,54
Anger__Disgust,Anger: all,EyesLookLeftL,0.0364163654489352,0.06423099033393166,0.0,0.0032920821919105864,0.04475046234147155,54
Anger__Disgust,Anger: all,EyesLookLeftR,0.07770282589946063,0.0905305904132036,0.002054402144858606,0.04857285822824145,0.11781622249012187,54
Anger__Disgust,Anger: all,EyesLookRightL,0.08598314338804933,0.09185548492081307,0.007032450586363336,0.0553012357248614,0.14940472133457655,54
Anger__Disgust,Anger: all,EyesLookRightR,0.040731402668461654,0.06666401901231755,0.0,0.006243003728256237,0.06559811637271193,54
Anger__Disgust,Anger: all,EyesLookUpL,0.13424231255176877,0.1465132657998907,0.005730863691618042,0.09145470603058731,0.22499313863615192,54
Anger__Disgust,Anger: all,EyesLookUpR,0.13438379802189526,0.14681274106716263,0.005722661704445873,0.09107880744462207,0.2256240961141884,54
Anger__Disgust,Anger: all,InnerBrowRaiserL,0.03187041349085065,0.030453317554863576,0.007657432395626486,0.02566481495474966,0.04622681081139787,54
Anger__Disgust,Anger: all,InnerBrowRaiserR,0.03333720068378754,0.032355321549336596,0.0035879223342513886,0.028032086331707687,0.054776968923397326,54
Anger__Disgust,Anger: all,JawDrop,0.07026062641632723,0.10352465326389446,0.008491026031811053,0.024145785343474273,0.06133395341554808,54
Anger__Disgust,Anger: all,JawSidewaysLeft,0.0120902777868537,0.013557957244737271,0.0009730644100959653,0.006783079925008876,0.019496567287341775,54
Anger__Disgust,Anger: all,JawSidewaysRight,0.014801889300217332,0.015111150885307165,0.00261809546015109,0.009808953141136525,0.02339054147286443,54
Anger__Disgust,Anger: all,JawThrust,0.026546060733569146,0.0375617035215896,0.003395621116356488,0.01160671621109936,0.03045832928832696,54
Anger__Disgust,Anger: all,LidTightenerL,0.31185318954019686,0.18034674480344434,0.14728729123786713,0.32269734711353715,0.4193423230201006,54
Anger__Disgust,Anger: all,LidTightenerR,0.324328427773792,0.17363413225644053,0.20389161312486972,0.3453958329123755,0.44160239646832145,54
Anger__Disgust,Anger: all,LipCornerDepressorL,0.05100690249252134,0.054171437651874314,0.016429868996305944,0.02294093842695772,0.06863991809015031,54
Anger__Disgust,Anger: all,LipCornerDepressorR,0.04364429197609729,0.05104843139354899,0.011797381428186735,0.01962491864881785,0.06071604131639576,54
Anger__Disgust,Anger: all,LipCornerPullerL,0.054254591934525774,0.0677392763373192,0.009860995082029395,0.025589403168608707,0.07559193723129982,54
Anger__Disgust,Anger: all,LipCornerPullerR,0.05524612677173709,0.07315054769640325,0.007750404776500808,0.022699899598756602,0.0701536824615504,54
Anger__Disgust,Anger: all,LipFunnelerLB,0.00045657099648984404,0.001658275494053799,1.401298464324817e-45,1.401298464324817e-45,1.753558840058091e-30,54
Anger__Disgust,Anger: all,LipFunnelerLT,0.012028947594385346,0.014510212595436993,0.000597762603512808,0.004336927417405753,0.020279079349711775,54
Anger__Disgust,Anger: all,LipFunnelerRB,0.001244079652927468,0.0028597995421521063,1.401298464324817e-45,6.904557721150146e-38,3.363866880586329e-13,54
Anger__Disgust,Anger: all,LipFunnelerRT,0.010241380414275513,0.014391101339580749,1.8605647723458638e-17,0.0018221557125098578,0.014954835781827523,54
Anger__Disgust,Anger: all,LipPressorL,0.02541927840510191,0.06672759177287088,1.2225456710004242e-24,0.0043424552880853146,0.010744521530189807,54
Anger__Disgust,Anger: all,LipPressorR,0.025695584280022565,0.06719849129397722,5.75600497461234e-14,0.004760402906686043,0.010813803800071235,54
Anger__Disgust,Anger: all,LipPuckerL,0.1310608997179559,0.14114007528577885,0.006713990062865014,0.10141813587072142,0.22196063292907456,54
Anger__Disgust,Anger: all,LipPuckerR,0.12706923783207089,0.13765631529444178,0.005551260211517174,0.09589971583774735,0.21572859811882136,54
Anger__Disgust,Anger: all,LipStretcherL,0.04390483907283193,0.08804402783777317,0.005839842138943338,0.012126823128649706,0.027929518905471316,54
Anger__Disgust,Anger: all,LipStretcherR,0.04531090430678511,0.09149201465715587,0.003027391543855579,0.013840243948596231,0.030172546706555028,54
Anger__Disgust,Anger: all,LipSuckLB,0.18614587400851204,0.15437040035191843,0.05360141623350521,0.14519913561137698,0.2983604206393162,54
Anger__Disgust,Anger: all,LipSuckLT,0.05913160903296514,0.053917307077757264,0.01706326107175824,0.0448153687638498,0.08016429037042481,54
Anger__Disgust,Anger: all,LipSuckRB,0.16973843748821657,0.1446785232372768,0.04751431769303352,0.13109684209339317,0.26910357872645063,54
Anger__Disgust,Anger: all,LipSuckRT,0.0505574357248938,0.047413316619003755,0.010867418232373846,0.042810702063017875,0.06989163006655867,54
Anger__Disgust,Anger: all,LipTightenerL,0.0732732756817844,0.09544775379992063,4.927785837122898e-05,0.026514337113312903,0.13304623256747927,54
Anger__Disgust,Anger: all,LipTightenerR,0.07107579064224269,0.09504916970980518,0.0002721726661472144,0.020954202787729255,0.11261607789201658,54
Anger__Disgust,Anger: all,LipsToward,0.04084228127663928,0.018475452888745518,0.027086483885068402,0.03942947833760016,0.055319061409681985,54
Anger__Disgust,Anger: all,LowerLipDepressorL,0.038018378126912125,0.06808656830772064,6.848000393653339e-12,0.006074032917366808,0.05851053852917287,54
Anger__Disgust,Anger: all,LowerLipDepressorR,0.03630743658623484,0.06687726327634982,6.362331718363655e-12,0.003932095225322822,0.056419720194845466,54
Anger__Disgust,Anger: all,MouthLeft,0.01344867564861497,0.010438068810711005,0.005046288909066702,0.01355367748959295,0.020439374540001106,54
Anger__Disgust,Anger: all,MouthRight,0.0068554035242390605,0.008472299294532111,9.625255311287985e-05,0.004425794778398971,0.010750654801571917,54
Anger__Disgust,Anger: all,NoseWrinklerL,0.23793327475590179,0.23224188492127718,0.03201285275875607,0.18235171487989038,0.32969610109383807,54
Anger__Disgust,Anger: all,NoseWrinklerR,0.2386257057103733,0.23459532959114926,0.03620037459823497,0.17912868328309436,0.3376157160537952,54
Anger__Disgust,Anger: all,OuterBrowRaiserL,0.027041548122824312,0.033010136179225276,0.0015517829781477258,0.014996504530184465,0.041197264857085684,54
Anger__Disgust,Anger: all,OuterBrowRaiserR,0.028603585881042157,0.03464946013447084,0.003332127326021222,0.014204600098309993,0.04083584703330411,54
Anger__Disgust,Anger: all,UpperLidRaiserL,0.11974129365987585,0.1309141505981337,0.0035622499570476082,0.05734620499006629,0.21061599910076428,54
Anger__Disgust,Anger: all,UpperLidRaiserR,0.1467544994565451,0.18046660851457144,0.0018964708947640644,0.04837770492279859,0.2520371060158747,54
Anger__Disgust,Anger: all,UpperLipRaiserL,0.24126174927626146,0.21162923145285442,0.056912932226195305,0.2327025119894339,0.35621134961644807,54
Anger__Disgust,Anger: all,UpperLipRaiserR,0.2571182106607485,0.22885231068888648,0.04440599375502667,0.24868779672348557,0.3981383531664809,54
Anger__Disgust,Anger: all,AU1,0.0326038070873191,0.030956094987285798,0.006304579673504385,0.026337298954604148,0.04987332041734281,54
Anger__Disgust,Anger: all,AU2,0.027822567001933238,0.03242037338778061,0.003589274151355874,0.016544483418086457,0.046250988319904186,54
Anger__Disgust,Anger: all,AU4,0.20498036049066262,0.1845811617699177,0.08327063358604143,0.16010977998034492,0.244388150361677,54
Anger__Disgust,Anger: all,AU5,0.13324789655821045,0.14475630519874985,0.0046360480290402045,0.0879838536845812,0.2307098900862987,54
Anger__Disgust,Anger: all,AU6,0.21866190300782867,0.20172852574162412,0.08727288392838087,0.12710195947438474,0.28291702055109147,54
Anger__Disgust,Anger: all,AU7,0.3180908086569944,0.17250455108222015,0.18545124386264136,0.32215359511503705,0.4351444009691477,54
Anger__Disgust,Anger: all,AU8,0.04084228127663928,0.018475452888745518,0.027086483885068402,0.03942947833760016,0.055319061409681985,54
Anger__Disgust,Anger: all,AU9,0.23827949023313758,0.23332738280352172,0.034337003356725404,0.17568324313674563,0.33259773503914614,54
Anger__Disgust,Anger: all,AU10,0.249189979968505,0.220037189955211,0.05344475013786869,0.2416038536807415,0.3700261845447434,54
Anger__Disgust,Anger: all,AU12,0.054750359353131446,0.07036195281489245,0.008733751077185496,0.025051504431612952,0.0726762051348131,54
Anger__Disgust,Anger: all,AU14,0.059176419382416474,0.08637459744310864,2.138503460355005e-07,0.017876773919710168,0.09497829754123296,54
Anger__Disgust,Anger: all,AU15,0.04732559723430931,0.05254941297572885,0.01378321604115622,0.021431713848501913,0.06461698709498521,54
Anger__Disgust,Anger: all,AU16,0.037162907356573474,0.06745747017994518,5.903852943182215e-12,0.005645627989616706,0.05754917704890797,54
Anger__Disgust,Anger: all,AU17,0.2764220359949271,0.23629805096068043,0.06790215230600323,0.227829115430571,0.39583132360403783,54
Anger__Disgust,Anger: all,AU18,0.1290650687750134,0.13938163301630518,0.0061326251371910945,0.09865892585423439,0.21957053491271844,54
Anger__Disgust,Anger: all,AU20,0.04460787168980852,0.0897336106119025,0.004168726306319532,0.01269968604225743,0.0290847592109362,54
Anger__Disgust,Anger: all,AU22,0.005992744664519541,0.008022274708333338,0.0001494406509846306,0.0019552625169727104,0.008844312705454611,54
Anger__Disgust,Anger: all,AU23,0.07217453316201355,0.09517250594143654,0.0003071828531877417,0.02373426995052108,0.12437539981328878,54
Anger__Disgust,Anger: all,AU24,0.025557431342562234,0.06696167419148151,5.191508530123424e-14,0.004760402906864445,0.010634847928304188,54
Anger__Disgust,Anger: all,AU26,0.07026062641632723,0.10352465326389446,0.008491026031811053,0.024145785343474273,0.06133395341554808,54
Anger__Disgust,Anger: all,AU28,0.11639333906364688,0.0918018529941919,0.0321437045100468,0.09699488865911307,0.18432782786694868,54
Anger__Disgust,Anger: all,AU43,0.07849501268153664,0.1102189055134266,0.01280252720075023,0.04402972000526394,0.08215336980453378,54
Anger__Disgust,Anger: correct,BrowLowererL,0.1577809692136015,0.10037450305531527,0.08186805751174683,0.13367888608557743,0.20274466235423458,28
Anger__Disgust,Anger: correct,BrowLowererR,0.15085032779468546,0.10075776952117861,0.06727278983841335,0.12489251591685481,0.21436895982672768,28
Anger__Disgust,Anger: correct,CheekPuffL,0.012309040807325618,0.010896754733841536,0.004198083850094897,0.008570472477024901,0.0219849066168535,28
Anger__Disgust,Anger: correct,CheekPuffR,0.01599650324206389,0.013395436525427932,0.005208834381342639,0.01153675166226523,0.02896723327205017,28
Anger__Disgust,Anger: correct,CheekRaiserL,0.17582146558840508,0.13086571495856952,0.08993824443314222,0.1194373686383518,0.24075822643935677,28
Anger__Disgust,Anger: correct,CheekRaiserR,0.15299894803737554,0.11447916407365791,0.0870638353245643,0.1222473905732234,0.19014598882446684,28
Anger__Disgust,Anger: correct,CheekSuckL,4.594011454984756e-33,2.4309223660128503e-32,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,28
Anger__Disgust,Anger: correct,CheekSuckR,1.5052942977760944e-33,7.965268723701816e-33,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,28
Anger__Disgust,Anger: correct,ChinRaiserB,0.3388009425074617,0.21165969113387917,0.1887363867220469,0.33018501209351003,0.4631431370487353,28
Anger__Disgust,Anger: correct,ChinRaiserT,0.34535166678641566,0.21006802162829583,0.17211739077077554,0.3629476351353029,0.48562418545285857,28
Anger__Disgust,Anger: correct,DimplerL,0.027820300210835546,0.04814582671817168,2.562279081929543e-15,1.0618874030228804e-06,0.028963799098399415,28
Anger__Disgust,Anger: correct,DimplerR,0.027944834785116696,0.04746147999640675,2.634114696644145e-15,1.249702148372251e-06,0.028496021473670936,28
Anger__Disgust,Anger: correct,EyesClosedL,0.039077221763228885,0.035999449776201065,0.007650810560989228,0.034051406078772065,0.05844327493041815,28
Anger__Disgust,Anger: correct,EyesClosedR,0.04399097983934375,0.0884746418013105,0.008860820390755992,0.024443782198553303,0.03943515597102126,28
Anger__Disgust,Anger: correct,EyesLookDownL,0.02000118320101511,0.03127554774553773,0.0,0.0,0.029341728841705102,28
Anger__Disgust,Anger: correct,EyesLookDownR,0.020653250003265233,0.03159828501860547,0.0,0.0,0.03795417764702841,28
Anger__Disgust,Anger: correct,EyesLookLeftL,0.038935487430648015,0.06518883403201976,0.0,0.01124390971381216,0.0490288642167191,28
Anger__Disgust,Anger: correct,EyesLookLeftR,0.0825269362964155,0.09406196842798849,0.001106009705108586,0.05595064019629108,0.13612719960510727,28
Anger__Disgust,Anger: correct,EyesLookRightL,0.0727948855964877,0.07553244320850636,0.0005996668711304601,0.05228522455048125,0.11551117282360787,28
Anger__Disgust,Anger: correct,EyesLookRightR,0.02949099444089195,0.04637622224836652,0.0,0.002824731388439723,0.04035290593941074,28
Anger__Disgust,Anger: correct,EyesLookUpL,0.18019962500486925,0.165112279102019,0.0017535881061727767,0.18140747807919977,0.32321561537683,28
Anger__Disgust,Anger: correct,EyesLookUpR,0.18037981361320424,0.165356121667151,0.0017535513422141452,0.1821304183453321,0.32343514574070775,28
Anger__Disgust,Anger: correct,InnerBrowRaiserL,0.039286406268873426,0.03685103150042535,0.007222179500700988,0.03543551493979364,0.06358071064266063,28
Anger__Disgust,Anger: correct,InnerBrowRaiserR,0.04451280256789982,0.03829378175824772,0.005411964440626545,0.05362628645574048,0.06621928876860081,28
Anger__Disgust,Anger: correct,JawDrop,0.01894688492262926,0.0217885260225707,0.0010649434368576623,0.01110618618549775,0.027201213027971433,28
Anger__Disgust,Anger: correct,JawSidewaysLeft,0.019986334645927566,0.014543241012391362,0.007726541953375425,0.018308271615174468,0.033469345280900537,28
Anger__Disgust,Anger: correct,JawSidewaysRight,0.023787915332161597,0.015738405768784162,0.010374907020075323,0.02066061766406589,0.03697273177870855,28
Anger__Disgust,Anger: correct,JawThrust,0.02836131272361509,0.034092526609182404,0.00922398660859696,0.017210637246413734,0.03173636442309789,28
Anger__Disgust,Anger: correct,LidTightenerL,0.3650646685646959,0.1843842261024835,0.23770086268583934,0.3787969671810667,0.5221816050509611,28
Anger__Disgust,Anger: correct,LidTightenerR,0.35547475016535957,0.17469742482602996,0.2659663848533171,0.37528980105386534,0.5076564617455005,28
Anger__Disgust,Anger: correct,LipCornerDepressorL,0.044288359102527534,0.048011696010598695,0.020955634754500307,0.02294093842695772,0.05414222567751491,28
Anger__Disgust,Anger: correct,LipCornerDepressorR,0.03778279821891768,0.04546512204878708,0.013326821259973521,0.01962491864881785,0.0463005884022917,28
Anger__Disgust,Anger: correct,LipCornerPullerL,0.050135219449108405,0.06985492890286524,0.006293499543842445,0.022256749919679818,0.0759056485990034,28
Anger__Disgust,Anger: correct,LipCornerPullerR,0.051367726695978035,0.07539653534896647,0.0043187964979248565,0.015015311498318234,0.0738601618500979,28
Anger__Disgust,Anger: correct,LipFunnelerLB,0.0008805019998637755,0.0022384870004192895,1.401298464324817e-45,1.401298464324817e-45,0.0001310284273137376,28
Anger__Disgust,Anger: correct,LipFunnelerLT,0.01971393557928808,0.015049390459187554,0.0059077557178976794,0.017038564689916942,0.031205083967264083,28
Anger__Disgust,Anger: correct,LipFunnelerRB,0.0023991288303936,0.0036304918904602403,1.401298464324817e-45,1.8714361377785595e-14,0.0057064138204925945,28
Anger__Disgust,Anger: correct,LipFunnelerRT,0.017964146359028647,0.015481821564176814,0.003624545160370423,0.013774297903771267,0.032115628535393584,28
Anger__Disgust,Anger: correct,LipPressorL,0.005985838529154572,0.005128376377282126,0.0006939042191693878,0.005603718396120372,0.009253426110583215,28
Anger__Disgust,Anger: correct,LipPressorR,0.0061809846040379824,0.00530335433305331,0.000501513484600294,0.005747778031460828,0.009680537684587737,28
Anger__Disgust,Anger: correct,LipPuckerL,0.15151135799281584,0.10214261432577737,0.05585400164709421,0.1429698973530738,0.24860696556667483,28
Anger__Disgust,Anger: correct,LipPuckerR,0.147450196358841,0.1022717099591292,0.04849939331124911,0.13967378186051815,0.24040178140600493,28
Anger__Disgust,Anger: correct,LipStretcherL,0.012035460250428865,0.010193640616228503,0.005419179253029405,0.00838580428777879,0.017344575523505476,28
Anger__Disgust,Anger: correct,LipStretcherR,0.010600098734694722,0.013081650046977405,0.0009167195477174937,0.004447523781686835,0.018553580756229586,28
Anger__Disgust,Anger: correct,LipSuckLB,0.1606331951345418,0.15480913305346455,0.02440400527173109,0.10090899642218641,0.31287323795259,28
Anger__Disgust,Anger: correct,LipSuckLT,0.05035207428572787,0.0553024257951425,0.012693211666570833,0.02290742357163248,0.06096567376516755,28
Anger__Disgust,Anger: correct,LipSuckRB,0.14783853100689032,0.14320530965658712,0.026448833641901086,0.0828112246712199,0.283438016846776,28
Anger__Disgust,Anger: correct,LipSuckRT,0.042459216713595725,0.04912405082418278,0.009169716168616966,0.013484409042090754,0.05346268760473924,28
Anger__Disgust,Anger: correct,LipTightenerL,0.1291609308118089,0.10423021913769613,0.029021553623418815,0.1310318127274515,0.19352613050335393,28
Anger__Disgust,Anger: correct,LipTightenerR,0.12719506334182287,0.10365499582739134,0.028617768975521388,0.1116587465551371,0.20494393471405295,28
Anger__Disgust,Anger: correct,LipsToward,0.035907496776659734,0.01595638122081481,0.026188375490407104,0.030801765232657343,0.045393912711491145,28
Anger__Disgust,Anger: correct,LowerLipDepressorL,0.006213143776942351,0.017438650583980524,2.337779815894233e-15,3.589546084365441e-11,1.5474496451584729e-06,28
Anger__Disgust,Anger: correct,LowerLipDepressorR,0.005778283833081687,0.016481003922585984,1.613422825313986e-18,7.496784472826476e-11,0.00013621741741584275,28
Anger__Disgust,Anger: correct,MouthLeft,0.009699918147822542,0.007418609286255346,0.002489606233514017,0.008682401934527502,0.015998218468640007,28
Anger__Disgust,Anger: correct,MouthRight,0.002771830203999821,0.0034813150364327305,5.234266604026958e-09,0.0014167013034845348,0.005154285341753441,28
Anger__Disgust,Anger: correct,NoseWrinklerL,0.11117312634056198,0.12062866618147737,0.006005883455328137,0.057637686466478,0.2049405604293497,28
Anger__Disgust,Anger: correct,NoseWrinklerR,0.11076392223282175,0.11833741281605363,0.006356966333388874,0.06445447513663866,0.20600986755406056,28
Anger__Disgust,Anger: correct,OuterBrowRaiserL,0.023513137252867366,0.033945499740457935,0.0015498101105094575,0.010950597148863945,0.027935476971712538,28
Anger__Disgust,Anger: correct,OuterBrowRaiserR,0.024423266355036853,0.03175475981372083,0.005198902575254228,0.011471522766805672,0.03197315159583615,28
Anger__Disgust,Anger: correct,UpperLidRaiserL,0.10315888795815431,0.11301541307150749,0.010868032980460022,0.04656429543083596,0.16336861732925168,28
Anger__Disgust,Anger: correct,UpperLidRaiserR,0.12754064196102435,0.18079497061238267,0.002289641214219466,0.04136420212148688,0.1470132319023832,28
Anger__Disgust,Anger: correct,UpperLipRaiserL,0.15344132144131525,0.15051253590580416,0.0286754408004745,0.0660279489941081,0.30791140894095104,28
Anger__Disgust,Anger: correct,UpperLipRaiserR,0.1627081619386747,0.16811100471358434,0.02214840358737997,0.05619361415366414,0.3436418265725175,28
Anger__Disgust,Anger: correct,AU1,0.04189960441838664,0.03728811312852822,0.0066384028751722375,0.044530900697767065,0.06414573750613874,28
Anger__Disgust,Anger: correct,AU2,0.02396820180395211,0.030485377968587152,0.003661574066253059,0.013152965715319882,0.03588554990080103,28
Anger__Disgust,Anger: correct,AU4,0.15431564850414348,0.09881670177031408,0.07612222380315259,0.1387344134886234,0.19482686064256993,28
Anger__Disgust,Anger: correct,AU5,0.11534976495958933,0.12640274781788996,0.005927608183566301,0.06877293461044162,0.21384903793881066,28
Anger__Disgust,Anger: correct,AU6,0.1644102068128903,0.12214618707272389,0.08791908919035143,0.12136551234933433,0.21742209459965423,28
Anger__Disgust,Anger: correct,AU7,0.3602697093650277,0.17656956746944374,0.27648282047205913,0.37882447528342406,0.513857900351286,28
Anger__Disgust,Anger: correct,AU8,0.035907496776659734,0.01595638122081481,0.026188375490407104,0.030801765232657343,0.045393912711491145,28
Anger__Disgust,Anger: correct,AU9,0.11096852428669186,0.11937171132681249,0.006017287477505776,0.06104608080155832,0.20547521399170512,28
Anger__Disgust,Anger: correct,AU10,0.158074741689995,0.1591325040999203,0.025411922193927235,0.06111078157388613,0.3257766177567343,28
Anger__Disgust,Anger: correct,AU12,0.050751473072543206,0.07256721793848839,0.005197852113795582,0.018385572723371636,0.07563051388520606,28
Anger__Disgust,Anger: correct,AU14,0.027882567497976123,0.04776775650631426,2.598196889286844e-15,1.1557947756975657e-06,0.02872991028603518,28
Anger__Disgust,Anger: correct,AU15,0.04103557866072262,0.046707228800505284,0.01699145374214286,0.021536391387538316,0.0502214070399033,28
Anger__Disgust,Anger: correct,AU16,0.0059957138050120195,0.016947278733563702,3.984287673416605e-15,5.543165278595959e-11,6.966252987057885e-05,28
Anger__Disgust,Anger: correct,AU17,0.34207630464693867,0.21025520772640094,0.17708319227620076,0.3475516545499375,0.480968268083376,28
Anger__Disgust,Anger: correct,AU18,0.14948077717582842,0.10218198615267736,0.052144554387814374,0.141321839606796,0.2461655917070904,28
Anger__Disgust,Anger: correct,AU20,0.011317779492561792,0.011409272945350091,0.0036582104792638173,0.005435225364484073,0.018027485520360587,28
Anger__Disgust,Anger: correct,AU22,0.010239428192143527,0.008699581270372523,0.002013977642574783,0.008021704113573839,0.017449691452066818,28
Anger__Disgust,Anger: correct,AU23,0.12817799707681593,0.10381703866135063,0.028819661299470105,0.12435594348159304,0.19542616253529554,28
Anger__Disgust,Anger: correct,AU24,0.006083411566596276,0.005196883977260389,0.0005773727604139166,0.005980022593030262,0.009598923871119098,28
Anger__Disgust,Anger: correct,AU26,0.01894688492262926,0.0217885260225707,0.0010649434368576623,0.01110618618549775,0.027201213027971433,28
Anger__Disgust,Anger: correct,AU28,0.10032075428518891,0.09236165803288668,0.018178242605008183,0.061549474164677195,0.17709090362356406,28
Anger__Disgust,Anger: correct,AU43,0.04153410080128631,0.056206335546363305,0.011288965715914001,0.025746801274246556,0.05350669074168431,28
Anger__Disgust,Anger → Disgust,BrowLowererL,0.2939776790135188,0.23504884602258908,0.1333542332623134,0.22456730622798202,0.3630806288124101,23
Anger__Disgust,Anger → Disgust,BrowLowererR,0.28775733322181407,0.23167969457022705,0.13224561703567206,0.21921600401401514,0.3432089051254782,23
Anger__Disgust,Anger → Disgust,CheekPuffL,0.0008515656701334998,0.0026224655941677368,4.984241369615512e-35,6.2128686013997134e-18,0.00024993757936844633,23
Anger__Disgust,Anger → Disgust,CheekPuffR,0.000871339336345118,0.0029064169410436174,3.624591394078991e-26,9.885549336547606e-14,1.1359628001502174e-05,23
Anger__Disgust,Anger → Disgust,CheekRaiserL,0.3226058757081524,0.2592260269677582,0.1187293734546983,0.2288525621096293,0.4695585625867049,23
Anger__Disgust,Anger → Disgust,CheekRaiserR,0.29511325210988976,0.24254965932357314,0.10999526736285972,0.2349971681833267,0.4150250622381767,23
Anger__Disgust,Anger → Disgust,CheekSuckL,4.131311516196766e-10,1.9813074002001314e-09,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,23
