true_label,classification_result,fea_name,raw_mean
Anger,Correct,BrowLowererL,0.1577809692136015
Disgust,Correct,BrowLowererL,0.27429085437956846
Fear,Correct,BrowLowererL,0.04345572338823086
Happiness,Correct,BrowLowererL,0.0401343979717335
Neutral,Correct,BrowLowererL,0.03678443468049367
Sadness,Correct,BrowLowererL,0.11313697026578794
Surprise,Correct,BrowLowererL,0.03235837141835784
Anger,Correct,BrowLowererR,0.1508503277946855
Disgust,Correct,BrowLowererR,0.26006698105202214
Fear,Correct,BrowLowererR,0.046749502496631665
Happiness,Correct,BrowLowererR,0.030609654324926926
Neutral,Correct,BrowLowererR,0.03211573618336465
Sadness,Correct,BrowLowererR,0.09718928717835246
Surprise,Correct,BrowLowererR,0.031707883818760225
Anger,Correct,CheekPuffL,0.012309040807325618
Disgust,Correct,CheekPuffL,0.0011963721404219191
Fear,Correct,CheekPuffL,9.817972402605539e-05
Happiness,Correct,CheekPuffL,3.918751895460968e-05
Neutral,Correct,CheekPuffL,6.32729615123672e-05
Sadness,Correct,CheekPuffL,0.017059979315833012
Surprise,Correct,CheekPuffL,0.0031389907862899155
Anger,Correct,CheekPuffR,0.01599650324206389
Disgust,Correct,CheekPuffR,0.0015643010592978482
Fear,Correct,CheekPuffR,0.00010965115845661908
Happiness,Correct,CheekPuffR,0.0004681795873152673
Neutral,Correct,CheekPuffR,0.00014416507992662923
Sadness,Correct,CheekPuffR,0.01893066406246662
Surprise,Correct,CheekPuffR,0.00402595734105206
Anger,Correct,CheekRaiserL,0.17582146558840508
Disgust,Correct,CheekRaiserL,0.30300175358525494
Fear,Correct,CheekRaiserL,0.06352058604045842
Happiness,Correct,CheekRaiserL,0.44623198611766307
Neutral,Correct,CheekRaiserL,0.07218360041436267
Sadness,Correct,CheekRaiserL,0.10671044127759545
Surprise,Correct,CheekRaiserL,0.06279170548542182
Anger,Correct,CheekRaiserR,0.15299894803737554
Disgust,Correct,CheekRaiserR,0.27378535246203944
Fear,Correct,CheekRaiserR,0.05251000625174728
Happiness,Correct,CheekRaiserR,0.43484947832357485
Neutral,Correct,CheekRaiserR,0.057949294284614594
Sadness,Correct,CheekRaiserR,0.09157939733200947
Surprise,Correct,CheekRaiserR,0.05060127399863905
Anger,Correct,CheekSuckL,4.594011454984756e-33
Disgust,Correct,CheekSuckL,2.502851393756729e-22
Fear,Correct,CheekSuckL,4.787492417071824e-10
Happiness,Correct,CheekSuckL,5.718249835638568e-09
Neutral,Correct,CheekSuckL,3.617060174137656e-17
Sadness,Correct,CheekSuckL,5.2978004756035915e-14
Surprise,Correct,CheekSuckL,0.008819534978385129
Anger,Correct,CheekSuckR,1.5052942977760944e-33
Disgust,Correct,CheekSuckR,1.5102296236078065e-21
Fear,Correct,CheekSuckR,1.443494598919296e-09
Happiness,Correct,CheekSuckR,2.6657177958763563e-08
Neutral,Correct,CheekSuckR,1.4432004452063663e-16
Sadness,Correct,CheekSuckR,4.5033727365835503e-14
Surprise,Correct,CheekSuckR,0.0075628718156180354
Anger,Correct,ChinRaiserB,0.3388009425074617
Disgust,Correct,ChinRaiserB,0.14657236043084698
Fear,Correct,ChinRaiserB,0.00876074528389746
Happiness,Correct,ChinRaiserB,0.026908567400396138
Neutral,Correct,ChinRaiserB,0.003666044914703428
Sadness,Correct,ChinRaiserB,0.45153692659163985
Surprise,Correct,ChinRaiserB,0.017777933776028355
Anger,Correct,ChinRaiserT,0.34535166678641555
Disgust,Correct,ChinRaiserT,0.22064468650577762
Fear,Correct,ChinRaiserT,0.04386433633227038
Happiness,Correct,ChinRaiserT,0.108763430574582
Neutral,Correct,ChinRaiserT,0.008148131090742436
Sadness,Correct,ChinRaiserT,0.4118311212608156
Surprise,Correct,ChinRaiserT,0.03609106999850361
Anger,Correct,DimplerL,0.027820300210835553
Disgust,Correct,DimplerL,0.08208190472373685
Fear,Correct,DimplerL,0.07451366063939738
Happiness,Correct,DimplerL,0.26126293827325947
Neutral,Correct,DimplerL,0.021052156432660504
Sadness,Correct,DimplerL,0.017516500922194138
Surprise,Correct,DimplerL,0.037657017053805954
Anger,Correct,DimplerR,0.0279448347851167
Disgust,Correct,DimplerR,0.08216872351244245
Fear,Correct,DimplerR,0.07616677234245264
Happiness,Correct,DimplerR,0.2643406810798648
Neutral,Correct,DimplerR,0.0195628276441534
Sadness,Correct,DimplerR,0.017361427707686856
Surprise,Correct,DimplerR,0.03795956760295342
Anger,Correct,EyesClosedL,0.0390772217632289
Disgust,Correct,EyesClosedL,0.11425764075747528
Fear,Correct,EyesClosedL,0.0032359956086103234
Happiness,Correct,EyesClosedL,0.00850256318692013
Neutral,Correct,EyesClosedL,0.017220477977501602
Sadness,Correct,EyesClosedL,0.04819431704906877
Surprise,Correct,EyesClosedL,0.009791066675440194
Anger,Correct,EyesClosedR,0.04399097983934373
Disgust,Correct,EyesClosedR,0.09957692436876295
Fear,Correct,EyesClosedR,0.0030134361372180967
Happiness,Correct,EyesClosedR,0.018687341569142292
Neutral,Correct,EyesClosedR,0.02790769704713976
Sadness,Correct,EyesClosedR,0.05375050881894952
Surprise,Correct,EyesClosedR,0.016932194718376595
Anger,Correct,EyesLookDownL,0.020001183201015106
Disgust,Correct,EyesLookDownL,0.06458730813391726
Fear,Correct,EyesLookDownL,0.006243034515080743
Happiness,Correct,EyesLookDownL,0.011049522682592265
Neutral,Correct,EyesLookDownL,0.009690827624646688
Sadness,Correct,EyesLookDownL,0.015851129193976795
Surprise,Correct,EyesLookDownL,0.007389122146926252
Anger,Correct,EyesLookDownR,0.020653250003265233
Disgust,Correct,EyesLookDownR,0.0712395332249032
Fear,Correct,EyesLookDownR,0.005960628187650132
Happiness,Correct,EyesLookDownR,0.01430572802461091
Neutral,Correct,EyesLookDownR,0.01706188196218998
Sadness,Correct,EyesLookDownR,0.02397506325104452
Surprise,Correct,EyesLookDownR,0.01316778104677131
Anger,Correct,EyesLookLeftL,0.038935487430648015
Disgust,Correct,EyesLookLeftL,0.05204596568442259
Fear,Correct,EyesLookLeftL,0.032623456632706674
Happiness,Correct,EyesLookLeftL,0.060349583459187485
Neutral,Correct,EyesLookLeftL,0.07399581251086826
Sadness,Correct,EyesLookLeftL,0.06886564045323917
Surprise,Correct,EyesLookLeftL,0.058920690174701834
Anger,Correct,EyesLookLeftR,0.0825269362964155
Disgust,Correct,EyesLookLeftR,0.08943637116941519
Fear,Correct,EyesLookLeftR,0.07058599235818043
Happiness,Correct,EyesLookLeftR,0.1111480927023315
Neutral,Correct,EyesLookLeftR,0.11904371092505896
Sadness,Correct,EyesLookLeftR,0.12472972211738426
Surprise,Correct,EyesLookLeftR,0.10378225957714535
Anger,Correct,EyesLookRightL,0.0727948855964877
Disgust,Correct,EyesLookRightL,0.13229923552408673
Fear,Correct,EyesLookRightL,0.09732394151332564
Happiness,Correct,EyesLookRightL,0.07184653655050269
Neutral,Correct,EyesLookRightL,0.08040907887115713
Sadness,Correct,EyesLookRightL,0.046586686523773485
Surprise,Correct,EyesLookRightL,0.08831741940808474
Anger,Correct,EyesLookRightR,0.02949099444089195
Disgust,Correct,EyesLookRightR,0.08339381206703059
Fear,Correct,EyesLookRightR,0.048956630581571244
Happiness,Correct,EyesLookRightR,0.03634323416289263
Neutral,Correct,EyesLookRightR,0.0393206493539075
Sadness,Correct,EyesLookRightR,0.015880532893101585
Surprise,Correct,EyesLookRightR,0.04659258094386366
Anger,Correct,EyesLookUpL,0.18019962500486922
Disgust,Correct,EyesLookUpL,0.04750171263441905
Fear,Correct,EyesLookUpL,0.05192862645854626
Happiness,Correct,EyesLookUpL,0.08420309690617736
Neutral,Correct,EyesLookUpL,0.08224956522596043
Sadness,Correct,EyesLookUpL,0.06370668793663045
Surprise,Correct,EyesLookUpL,0.04757024577773288
Anger,Correct,EyesLookUpR,0.18037981361320427
Disgust,Correct,EyesLookUpR,0.047539925921268544
Fear,Correct,EyesLookUpR,0.05192593966464915
Happiness,Correct,EyesLookUpR,0.08416119565663392
Neutral,Correct,EyesLookUpR,0.08227654985925241
Sadness,Correct,EyesLookUpR,0.06355988611806726
Surprise,Correct,EyesLookUpR,0.04771592230096796
Anger,Correct,InnerBrowRaiserL,0.03928640626887343
Disgust,Correct,InnerBrowRaiserL,0.037634553747822604
Fear,Correct,InnerBrowRaiserL,0.24244784837996844
Happiness,Correct,InnerBrowRaiserL,0.03833360058407518
Neutral,Correct,InnerBrowRaiserL,0.026166421996529805
Sadness,Correct,InnerBrowRaiserL,0.06815198918579414
Surprise,Correct,InnerBrowRaiserL,0.3060270400024499
Anger,Correct,InnerBrowRaiserR,0.044512802567899815
Disgust,Correct,InnerBrowRaiserR,0.039204208486984964
Fear,Correct,InnerBrowRaiserR,0.2540996504143313
Happiness,Correct,InnerBrowRaiserR,0.04732493757366338
Neutral,Correct,InnerBrowRaiserR,0.028823857784461965
Sadness,Correct,InnerBrowRaiserR,0.06801807406221809
Surprise,Correct,InnerBrowRaiserR,0.31122807933864194
Anger,Correct,JawDrop,0.018946884922629255
Disgust,Correct,JawDrop,0.0796773274533224
Fear,Correct,JawDrop,0.2488203237230044
Happiness,Correct,JawDrop,0.08622985129238202
Neutral,Correct,JawDrop,0.026461910065886773
Sadness,Correct,JawDrop,0.014374776323082109
Surprise,Correct,JawDrop,0.39639728680845826
Anger,Correct,JawSidewaysLeft,0.019986334645927573
Disgust,Correct,JawSidewaysLeft,0.005404555529976859
Fear,Correct,JawSidewaysLeft,0.0008595912879629646
Happiness,Correct,JawSidewaysLeft,0.0016102913141820803
Neutral,Correct,JawSidewaysLeft,0.0002854781858978475
Sadness,Correct,JawSidewaysLeft,0.029257525119272182
Surprise,Correct,JawSidewaysLeft,0.01953679591604042
Anger,Correct,JawSidewaysRight,0.023787915332161597
Disgust,Correct,JawSidewaysRight,0.006960622455382143
Fear,Correct,JawSidewaysRight,0.005941570585164877
Happiness,Correct,JawSidewaysRight,0.0070965104685830225
Neutral,Correct,JawSidewaysRight,0.0005423945441904528
Sadness,Correct,JawSidewaysRight,0.027673411996788938
Surprise,Correct,JawSidewaysRight,0.03035826303754279
Anger,Correct,JawThrust,0.02836131272361509
Disgust,Correct,JawThrust,0.03123508418567914
Fear,Correct,JawThrust,0.03429902658905681
Happiness,Correct,JawThrust,0.018395799434197137
Neutral,Correct,JawThrust,0.0006000241196218353
Sadness,Correct,JawThrust,0.06785640854360553
Surprise,Correct,JawThrust,0.0889699604387509
Anger,Correct,LidTightenerL,0.3650646685646959
Disgust,Correct,LidTightenerL,0.33025240581146253
Fear,Correct,LidTightenerL,0.058707629018927086
Happiness,Correct,LidTightenerL,0.25828635632148084
Neutral,Correct,LidTightenerL,0.06032106000502736
Sadness,Correct,LidTightenerL,0.1312686630490114
Surprise,Correct,LidTightenerL,0.07253861262079407
Anger,Correct,LidTightenerR,0.35547475016535957
Disgust,Correct,LidTightenerR,0.3340970049198887
Fear,Correct,LidTightenerR,0.08617964988588568
Happiness,Correct,LidTightenerR,0.2551019273728762
Neutral,Correct,LidTightenerR,0.08494988249864198
Sadness,Correct,LidTightenerR,0.16213133491834406
Surprise,Correct,LidTightenerR,0.10391952058368205
Anger,Correct,LipCornerDepressorL,0.044288359102527534
Disgust,Correct,LipCornerDepressorL,0.14106567134155337
Fear,Correct,LipCornerDepressorL,0.038211939080122055
Happiness,Correct,LipCornerDepressorL,0.013155509647920708
Neutral,Correct,LipCornerDepressorL,0.00954496242830289
Sadness,Correct,LipCornerDepressorL,0.43158931206122925
Surprise,Correct,LipCornerDepressorL,0.02067525658224291
Anger,Correct,LipCornerDepressorR,0.03778279821891769
Disgust,Correct,LipCornerDepressorR,0.11733387501097318
Fear,Correct,LipCornerDepressorR,0.03474891568108556
Happiness,Correct,LipCornerDepressorR,0.010825344423753025
Neutral,Correct,LipCornerDepressorR,0.006704691384664708
Sadness,Correct,LipCornerDepressorR,0.41735706256475485
Surprise,Correct,LipCornerDepressorR,0.018014941505856683
Anger,Correct,LipCornerPullerL,0.050135219449108405
Disgust,Correct,LipCornerPullerL,0.06321841641892155
Fear,Correct,LipCornerPullerL,0.03691415946617905
Happiness,Correct,LipCornerPullerL,0.56384688294003
Neutral,Correct,LipCornerPullerL,0.02207935717290182
Sadness,Correct,LipCornerPullerL,0.023762648212702662
Surprise,Correct,LipCornerPullerL,0.02128306287283587
Anger,Correct,LipCornerPullerR,0.051367726695978035
Disgust,Correct,LipCornerPullerR,0.06382223473119288
Fear,Correct,LipCornerPullerR,0.03630389472955586
Happiness,Correct,LipCornerPullerR,0.5786678711919011
Neutral,Correct,LipCornerPullerR,0.022636213704350847
Sadness,Correct,LipCornerPullerR,0.0223025446740229
Surprise,Correct,LipCornerPullerR,0.021427884908856533
Anger,Correct,LipFunnelerLB,0.0008805019998637755
Disgust,Correct,LipFunnelerLB,0.0016048450578995954
Fear,Correct,LipFunnelerLB,2.2869219483540714e-08
Happiness,Correct,LipFunnelerLB,4.936081126772769e-09
Neutral,Correct,LipFunnelerLB,2.1825679668674032e-05
Sadness,Correct,LipFunnelerLB,0.06450547493543249
Surprise,Correct,LipFunnelerLB,0.008817524470994178
Anger,Correct,LipFunnelerLT,0.019713935579288085
Disgust,Correct,LipFunnelerLT,0.0030332889548846534
Fear,Correct,LipFunnelerLT,0.0003142231504734636
Happiness,Correct,LipFunnelerLT,0.0009620250372259444
Neutral,Correct,LipFunnelerLT,0.00032336415115174995
Sadness,Correct,LipFunnelerLT,0.050248698348218344
Surprise,Correct,LipFunnelerLT,0.03569915543229994
Anger,Correct,LipFunnelerRB,0.0023991288303936
Disgust,Correct,LipFunnelerRB,0.001702861684957558
Fear,Correct,LipFunnelerRB,4.942101494691287e-08
Happiness,Correct,LipFunnelerRB,1.4360893328356136e-05
Neutral,Correct,LipFunnelerRB,4.56561878516533e-05
Sadness,Correct,LipFunnelerRB,0.06541710044347906
Surprise,Correct,LipFunnelerRB,0.007875482615405683
Anger,Correct,LipFunnelerRT,0.017964146359028647
Disgust,Correct,LipFunnelerRT,0.0025848341926026485
Fear,Correct,LipFunnelerRT,0.0003659942294027165
Happiness,Correct,LipFunnelerRT,0.0002537422950951208
Neutral,Correct,LipFunnelerRT,0.0007118335922781047
Sadness,Correct,LipFunnelerRT,0.0519998213956136
