true_label,fea_name,raw_difference_incorrect_minus_correct
Anger,BrowLowererL,0.10481693186465299
Disgust,BrowLowererL,-0.1589443748954832
Fear,BrowLowererL,0.05991577307913724
Happiness,BrowLowererL,
Neutral,BrowLowererL,-0.028277072822391724
Sadness,BrowLowererL,0.3503178378995913
Surprise,BrowLowererL,0.17904280273701645
Anger,BrowLowererR,0.10563648715627255
Disgust,BrowLowererR,-0.16594785613231883
Fear,BrowLowererR,0.0433742511647905
Happiness,BrowLowererR,
Neutral,BrowLowererR,0.03687226556679657
Sadness,BrowLowererR,0.36315782376870465
Surprise,BrowLowererR,0.13820474424989634
Anger,CheekPuffL,-0.011475598582603979
Disgust,CheekPuffL,0.002832160873737129
Fear,CheekPuffL,0.00017646806584878868
Happiness,CheekPuffL,
Neutral,CheekPuffL,2.638679927095686e-05
Sadness,CheekPuffL,-0.01255203972586847
Surprise,CheekPuffL,0.01771820549956664
Anger,CheekPuffR,-0.015030795091738257
Disgust,CheekPuffR,0.0027208516069651186
Fear,CheekPuffR,0.00011107407179216077
Happiness,CheekPuffR,
Neutral,CheekPuffR,-5.448636101515526e-05
Sadness,CheekPuffR,-0.017567383863357478
Surprise,CheekPuffR,0.02444507957275139
Anger,CheekRaiserL,0.11437542425033861
Disgust,CheekRaiserL,-0.025180470132168953
Fear,CheekRaiserL,0.07814843373751572
Happiness,CheekRaiserL,
Neutral,CheekRaiserL,0.08028995902316391
Sadness,CheekRaiserL,0.29888006939367573
Surprise,CheekRaiserL,0.13248217610643465
Anger,CheekRaiserR,0.11097777532863604
Disgust,CheekRaiserR,-0.021450077213906404
Fear,CheekRaiserR,0.07923071025034642
Happiness,CheekRaiserR,
Neutral,CheekRaiserR,0.045263610128098666
Sadness,CheekRaiserR,0.30625291564156265
Surprise,CheekRaiserR,0.12495257670678588
Anger,CheekSuckL,3.812657532100847e-10
Disgust,CheekSuckL,5.50591673951801e-05
Fear,CheekSuckL,-4.6435334846992203e-10
Happiness,CheekSuckL,
Neutral,CheekSuckL,4.812814549183793e-08
Sadness,CheekSuckL,-5.2978004590962044e-14
Surprise,CheekSuckL,-0.008819534978385129
Anger,CheekSuckR,1.4508648355242088e-09
Disgust,CheekSuckR,4.097103454492409e-21
Fear,CheekSuckR,-5.180788282305577e-10
Happiness,CheekSuckR,
Neutral,CheekSuckR,2.9027263468402798e-08
Sadness,CheekSuckR,-4.503372646413349e-14
Surprise,CheekSuckR,-0.0075628718156180354
Anger,ChinRaiserB,-0.1670244340043455
Disgust,ChinRaiserB,-0.0783060015203648
Fear,ChinRaiserB,-0.0019440553467250984
Happiness,ChinRaiserB,
Neutral,ChinRaiserB,-0.0017110537321464309
Sadness,ChinRaiserB,-0.08531131903622813
Surprise,ChinRaiserB,0.007317562172727773
Anger,ChinRaiserT,-0.1056932973193947
Disgust,ChinRaiserT,-0.10944269173110639
Fear,ChinRaiserT,0.015607909005654591
Happiness,ChinRaiserT,
Neutral,ChinRaiserT,-0.0010006921935160461
Sadness,ChinRaiserT,-0.06758799956586603
Surprise,ChinRaiserT,0.0125318149649511
Anger,DimplerL,0.06419903564741827
Disgust,DimplerL,0.048003939804586684
Fear,DimplerL,0.04265678920448128
Happiness,DimplerL,
Neutral,DimplerL,-0.011024607865840827
Sadness,DimplerL,-0.01751641455184683
Surprise,DimplerL,-0.03723572040926191
Anger,DimplerR,0.0657908106417955
Disgust,DimplerR,0.04724135532048221
Fear,DimplerR,0.04241852796389255
Happiness,DimplerR,
Neutral,DimplerR,-0.008492279475206869
Sadness,DimplerR,-0.016718775728734037
Surprise,DimplerR,-0.0357599639877152
Anger,EyesClosedL,0.08167141645829754
Disgust,EyesClosedL,-0.07459436852929208
Fear,EyesClosedL,0.004023596567584416
Happiness,EyesClosedL,
Neutral,EyesClosedL,0.0017278153395446083
Sadness,EyesClosedL,0.4876405581955278
Surprise,EyesClosedL,0.03855596943433137
Anger,EyesClosedR,0.0718585251981269
Disgust,EyesClosedR,-0.04148071727162883
Fear,EyesClosedR,0.016236451545886904
Happiness,EyesClosedR,
Neutral,EyesClosedR,-0.0027418052073539673
Sadness,EyesClosedR,0.4616470685351396
Surprise,EyesClosedR,0.06032811098306791
Anger,EyesLookDownL,0.026849867860827943
Disgust,EyesLookDownL,-0.035284408880750545
Fear,EyesLookDownL,-0.0020904233992895807
Happiness,EyesLookDownL,
Neutral,EyesLookDownL,-0.002824438404343381
Sadness,EyesLookDownL,-0.00949582840213551
Surprise,EyesLookDownL,0.07416952512846217
