modality,perspective,agreement,n,accuracy,macro_f1,weighted_f1,classes_with_support,minority_match_rate_among_errors
Image,Central,2/3,103,0.5922330097087378,0.5136823409042147,0.6163902099133992,6.0,
Image,Central,3/3,275,0.7818181818181819,0.7537049508987562,0.7864800631865947,7.0,
Image,Central,2/3 errors,42,,,,,0.47619047619047616
Image,Side,2/3,103,0.6019417475728155,0.5285871271585558,0.6385586258401792,6.0,
Image,Side,3/3,275,0.7709090909090909,0.7543146407937696,0.7778167831911438,7.0,
Image,Side,2/3 errors,41,,,,,0.5853658536585366
Multimodal,Central,2/3,103,0.6990291262135923,0.6270612687111682,0.7131865627421486,6.0,
Multimodal,Central,3/3,275,0.8618181818181818,0.8395927548993305,0.863382689416845,7.0,
Multimodal,Central,2/3 errors,31,,,,,0.7741935483870968
Multimodal,Side,2/3,103,0.6990291262135923,0.6207505103883373,0.7163109601096748,6.0,
Multimodal,Side,3/3,275,0.8581818181818182,0.8305782483317052,0.8608547730103066,7.0,
Multimodal,Side,2/3 errors,31,,,,,0.8064516129032258
