modality,agreement,category,n,predicted_n,correct,errors,recall,precision,f1,perspective
Image,2/3,Anger,14,12,5,9,0.35714285714285715,0.4166666666666667,0.38461538461538464,Central
Image,2/3,Disgust,26,25,16,10,0.6153846153846154,0.64,0.6274509803921569,Central
Image,2/3,Fear,35,32,23,12,0.6571428571428571,0.71875,0.6865671641791045,Central
Image,2/3,Happiness,0,8,0,0,,0.0,0.0,Central
Image,2/3,Neutral,7,8,3,4,0.42857142857142855,0.375,0.4,Central
Image,2/3,Sadness,7,7,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,Central
Image,2/3,Surprise,14,11,8,6,0.5714285714285714,0.7272727272727273,0.64,Central
Image,3/3,Anger,40,35,23,17,0.575,0.6571428571428571,0.6133333333333333,Central
Image,3/3,Disgust,28,45,22,6,0.7857142857142857,0.4888888888888889,0.6027397260273972,Central
Image,3/3,Fear,19,16,10,9,0.5263157894736842,0.625,0.5714285714285714,Central
Image,3/3,Happiness,54,56,51,3,0.9444444444444444,0.9107142857142857,0.9272727272727272,Central
Image,3/3,Neutral,47,40,37,10,0.7872340425531915,0.925,0.8505747126436781,Central
Image,3/3,Sadness,47,49,38,9,0.8085106382978723,0.7755102040816326,0.7916666666666666,Central
Image,3/3,Surprise,40,34,34,6,0.85,1.0,0.918918918918919,Central
Image,2/3,Anger,14,12,6,8,0.42857142857142855,0.5,0.46153846153846156,Side
Image,2/3,Disgust,26,24,14,12,0.5384615384615384,0.5833333333333334,0.56,Side
Image,2/3,Fear,35,29,24,11,0.6857142857142857,0.8275862068965517,0.75,Side
Image,2/3,Happiness,0,12,0,0,,0.0,0.0,Side
Image,2/3,Neutral,7,5,3,4,0.42857142857142855,0.6,0.5,Side
Image,2/3,Sadness,7,7,5,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,Side
Image,2/3,Surprise,14,14,10,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,Side
Image,3/3,Anger,40,32,16,24,0.4,0.5,0.4444444444444444,Side
Image,3/3,Disgust,28,50,22,6,0.7857142857142857,0.44,0.5641025641025641,Side
Image,3/3,Fear,19,20,14,5,0.7368421052631579,0.7,0.717948717948718,Side
Image,3/3,Happiness,54,56,48,6,0.8888888888888888,0.8571428571428571,0.8727272727272727,Side
Image,3/3,Neutral,47,40,38,9,0.8085106382978723,0.95,0.8735632183908046,Side
Image,3/3,Sadness,47,41,39,8,0.8297872340425532,0.9512195121951219,0.8863636363636364,Side
Image,3/3,Surprise,40,36,35,5,0.875,0.9722222222222222,0.9210526315789473,Side
Multimodal,2/3,Anger,14,10,6,8,0.42857142857142855,0.6,0.5,Central
Multimodal,2/3,Disgust,26,26,16,10,0.6153846153846154,0.6153846153846154,0.6153846153846154,Central
Multimodal,2/3,Fear,35,36,29,6,0.8285714285714286,0.8055555555555556,0.8169014084507042,Central
Multimodal,2/3,Happiness,0,6,0,0,,0.0,0.0,Central
Multimodal,2/3,Neutral,7,8,7,0,1.0,0.875,0.9333333333333333,Central
Multimodal,2/3,Sadness,7,7,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,Central
Multimodal,2/3,Surprise,14,10,8,6,0.5714285714285714,0.8,0.6666666666666666,Central
Multimodal,3/3,Anger,40,25,25,15,0.625,1.0,0.7692307692307693,Central
Multimodal,3/3,Disgust,28,37,20,8,0.7142857142857143,0.5405405405405406,0.6153846153846154,Central
Multimodal,3/3,Fear,19,20,15,4,0.7894736842105263,0.75,0.7692307692307693,Central
Multimodal,3/3,Happiness,54,65,54,0,1.0,0.8307692307692308,0.907563025210084,Central
Multimodal,3/3,Neutral,47,46,44,3,0.9361702127659575,0.9565217391304348,0.946236559139785,Central
Multimodal,3/3,Sadness,47,47,44,3,0.9361702127659575,0.9361702127659575,0.9361702127659575,Central
Multimodal,3/3,Surprise,40,35,35,5,0.875,1.0,0.9333333333333333,Central
Multimodal,2/3,Anger,14,10,5,9,0.35714285714285715,0.5,0.4166666666666667,Side
Multimodal,2/3,Disgust,26,24,15,11,0.5769230769230769,0.625,0.6,Side
Multimodal,2/3,Fear,35,36,30,5,0.8571428571428571,0.8333333333333334,0.8450704225352113,Side
Multimodal,2/3,Happiness,0,7,0,0,,0.0,0.0,Side
Multimodal,2/3,Neutral,7,7,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,Side
Multimodal,2/3,Sadness,7,7,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,Side
Multimodal,2/3,Surprise,14,12,10,4,0.7142857142857143,0.8333333333333334,0.7692307692307693,Side
Multimodal,3/3,Anger,40,24,24,16,0.6,1.0,0.75,Side
Multimodal,3/3,Disgust,28,40,21,7,0.75,0.525,0.6176470588235294,Side
Multimodal,3/3,Fear,19,21,14,5,0.7368421052631579,0.6666666666666666,0.7,Side
Multimodal,3/3,Happiness,54,64,54,0,1.0,0.84375,0.9152542372881356,Side
Multimodal,3/3,Neutral,47,47,45,2,0.9574468085106383,0.9574468085106383,0.9574468085106383,Side
Multimodal,3/3,Sadness,47,44,44,3,0.9361702127659575,1.0,0.967032967032967,Side
Multimodal,3/3,Surprise,40,35,34,6,0.85,0.9714285714285714,0.9066666666666666,Side
