modality,omitted_participant,accuracy,macro_f1,weighted_f1,macro_f1_common_labels,class_standardized_accuracy
Image,1,0.1725045787545787,0.21673234376775308,0.14665305240477966,0.10395423185764074,0.13102109238004145
Image,8,0.2777777777777778,0.2991237494628698,0.24880568110766077,0.19462631197597546,0.20805311980780242
Image,10,0.13387285948862304,0.198634304900568,0.10907997426002414,0.08182820580551275,0.07014861965519859
Image,13,0.18521727235420182,0.23698757007589943,0.16130036599419462,0.12891605397743822,0.16101404686931
Image,15,0.18912130069419075,0.24346581229474085,0.16392024039453357,0.12992158387791464,0.1697397614655584
Image,18,0.17087255927475598,0.22192437316771407,0.14485721960016573,0.11134232425122192,0.1379958613641782
Image,23,0.1943627450980393,0.26110364175500506,0.16700034302588584,0.15627885604401548,0.1841414656335747
Image,27,0.11041138093512137,0.20631886084976625,0.09890642653728032,0.0915825306405168,0.10901030202183204
FEA,1,0.15201465201465203,0.1753658825487302,0.14313471235154873,0.05365013341377001,0.006905492549323239
FEA,8,0.2367521367521367,0.22794982785672746,0.23294824890529386,0.11779331768470058,0.03826960714553506
FEA,10,0.20046915317851277,0.23027563299656073,0.19679770684093323,0.11506013392082404,0.028773163970532367
FEA,13,0.18690438192512882,0.19996952780042587,0.1833770053071465,0.0854990402954654,0.010596501308575626
FEA,15,0.12294483010595547,0.1728028294548145,0.12231971896138405,0.049499741160066835,0.021803066286411082
FEA,18,0.1679306136680614,0.18443822736710191,0.15930968386887823,0.06737918978992086,-0.0017989807142169874
FEA,23,0.16617647058823526,0.21775355905201388,0.1635071610605292,0.10340479325299057,0.04882113457461439
FEA,27,0.1187477346864807,0.16423957312936477,0.11056799660390348,0.04240648611124298,-0.005653297302357234
Multimodal,1,0.14670329670329663,0.1802012149870399,0.12540046105313052,0.06000000903417568,0.08267775775621901
Multimodal,8,0.23290598290598297,0.2518081566452909,0.2161154649028153,0.14354144096880184,0.12429938205720281
Multimodal,10,0.14116819141449688,0.19602885356381394,0.128129085242503,0.07203366249111609,0.06662003018910914
Multimodal,13,0.1638092198258173,0.21246682844856413,0.1485718665398369,0.09795771133991182,0.10172638736106228
Multimodal,15,0.15902447935696018,0.23090113190305694,0.15091319738793318,0.1150332581561937,0.11998823762983823
Multimodal,18,0.15350418410041844,0.20446646771971766,0.13810440900000864,0.08862395715625737,0.0918883034788065
Multimodal,23,0.17181372549019602,0.2310933366325051,0.15994745419499,0.116763364282638,0.12585708498643633
Multimodal,27,0.11888365349764407,0.19036081627159918,0.10697906504312782,0.07071885891912011,0.07544629486339123
