modality,metric,difference_3_minus_2,ci025,ci975,valid_bootstrap_draws
Image,accuracy,0.1792762577228597,-0.038528688597743825,0.38815066127780734,2000
Image,macro_f1,0.23385289195044445,0.1115277156193674,0.38722545550224746,2000
Image,weighted_f1,0.1550376914008642,-0.06104237194349171,0.3452773889652182,2000
Image,macro_f1_common_labels,0.12282837394218504,-0.010383720560907361,0.29574619671996544,2000
Image,class_standardized_accuracy,0.14766047688780054,-0.02197745806167284,0.3217255348478606,1955
FEA,accuracy,0.1688967343336275,-0.00290661719233154,0.35865111511419084,2000
FEA,macro_f1,0.1952651265934474,0.09871944409817612,0.3308341079961208,2000
FEA,weighted_f1,0.16473843606257155,-0.014686496805158945,0.3605428383586188,2000
FEA,macro_f1_common_labels,0.07780931435902205,-0.03829607591257146,0.23470687259330628,2000
FEA,class_standardized_accuracy,0.018992397113897674,-0.06272378610875778,0.09788033232400922,1955
Multimodal,accuracy,0.16097087378640773,0.0071014118017658145,0.29772020495306784,2000
Multimodal,macro_f1,0.210595276837232,0.12281923546795577,0.3305877095351139,2000
Multimodal,weighted_f1,0.1469061404291121,-0.0038596880296305675,0.28123895483863903,2000
Multimodal,macro_f1_common_labels,0.0937957554662221,-0.00859186026414736,0.23324344412144035,2000
Multimodal,class_standardized_accuracy,0.09880665247406568,0.004850288580827311,0.18150208353186628,1955
