modality,agreement,category,n,predicted_n,correct,errors,recall,precision,f1
Image,2/3,Anger,28,24,11,17,0.39285714285714285,0.4583333333333333,0.4230769230769231
Image,2/3,Disgust,52,49,30,22,0.5769230769230769,0.6122448979591837,0.594059405940594
Image,2/3,Fear,70,61,47,23,0.6714285714285714,0.7704918032786885,0.7175572519083969
Image,2/3,Happiness,0,20,0,0,,0.0,0.0
Image,2/3,Neutral,14,13,6,8,0.42857142857142855,0.46153846153846156,0.4444444444444444
Image,2/3,Sadness,14,14,11,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
Image,2/3,Surprise,28,25,18,10,0.6428571428571429,0.72,0.6792452830188679
Image,3/3,Anger,80,67,39,41,0.4875,0.582089552238806,0.5306122448979592
Image,3/3,Disgust,56,95,44,12,0.7857142857142857,0.4631578947368421,0.5827814569536424
Image,3/3,Fear,38,36,24,14,0.631578947368421,0.6666666666666666,0.6486486486486487
Image,3/3,Happiness,108,112,99,9,0.9166666666666666,0.8839285714285714,0.9
Image,3/3,Neutral,94,80,75,19,0.7978723404255319,0.9375,0.8620689655172413
Image,3/3,Sadness,94,90,77,17,0.8191489361702128,0.8555555555555555,0.8369565217391305
Image,3/3,Surprise,80,70,69,11,0.8625,0.9857142857142858,0.92
FEA,2/3,Anger,14,7,5,9,0.35714285714285715,0.7142857142857143,0.47619047619047616
FEA,2/3,Disgust,26,26,15,11,0.5769230769230769,0.5769230769230769,0.5769230769230769
FEA,2/3,Fear,35,25,21,14,0.6,0.84,0.7
FEA,2/3,Happiness,0,5,0,0,,0.0,0.0
FEA,2/3,Neutral,7,11,7,0,1.0,0.6363636363636364,0.7777777777777778
FEA,2/3,Sadness,7,7,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
FEA,2/3,Surprise,14,22,14,0,1.0,0.6363636363636364,0.7777777777777778
FEA,3/3,Anger,40,23,23,17,0.575,1.0,0.7301587301587301
FEA,3/3,Disgust,28,37,16,12,0.5714285714285714,0.43243243243243246,0.49230769230769234
FEA,3/3,Fear,19,17,11,8,0.5789473684210527,0.6470588235294118,0.6111111111111112
FEA,3/3,Happiness,54,66,54,0,1.0,0.8181818181818182,0.9
FEA,3/3,Neutral,47,48,43,4,0.9148936170212766,0.8958333333333334,0.9052631578947369
FEA,3/3,Sadness,47,43,43,4,0.9148936170212766,1.0,0.9555555555555556
FEA,3/3,Surprise,40,41,38,2,0.95,0.926829268292683,0.9382716049382716
Multimodal,2/3,Anger,28,20,11,17,0.39285714285714285,0.55,0.4583333333333333
Multimodal,2/3,Disgust,52,50,31,21,0.5961538461538461,0.62,0.6078431372549019
Multimodal,2/3,Fear,70,72,59,11,0.8428571428571429,0.8194444444444444,0.8309859154929577
Multimodal,2/3,Happiness,0,13,0,0,,0.0,0.0
Multimodal,2/3,Neutral,14,15,13,1,0.9285714285714286,0.8666666666666667,0.896551724137931
Multimodal,2/3,Sadness,14,14,12,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
Multimodal,2/3,Surprise,28,22,18,10,0.6428571428571429,0.8181818181818182,0.72
Multimodal,3/3,Anger,80,49,49,31,0.6125,1.0,0.7596899224806202
Multimodal,3/3,Disgust,56,77,41,15,0.7321428571428571,0.5324675324675324,0.6165413533834586
Multimodal,3/3,Fear,38,41,29,9,0.7631578947368421,0.7073170731707317,0.7341772151898734
Multimodal,3/3,Happiness,108,129,108,0,1.0,0.8372093023255814,0.9113924050632911
Multimodal,3/3,Neutral,94,93,89,5,0.9468085106382979,0.956989247311828,0.9518716577540107
Multimodal,3/3,Sadness,94,91,88,6,0.9361702127659575,0.967032967032967,0.9513513513513514
Multimodal,3/3,Surprise,80,70,69,11,0.8625,0.9857142857142858,0.92
