split,category,n_2_of_3,n_3_of_3,n_total,percent_2_of_3,percent_3_of_3
train,Anger,39,27,66,59.09090909090909,40.90909090909091
train,Disgust,48,54,102,47.05882352941177,52.94117647058823
train,Fear,67,38,105,63.80952380952381,36.19047619047619
train,Happiness,6,185,191,3.141361256544503,96.8586387434555
train,Neutral,21,176,197,10.65989847715736,89.34010152284264
train,Sadness,42,89,131,32.06106870229008,67.93893129770993
train,Surprise,49,123,172,28.488372093023255,71.51162790697674
train,Total,272,692,964,28.21576763485477,71.78423236514523
validation,Anger,23,32,55,41.81818181818182,58.18181818181818
validation,Disgust,21,34,55,38.18181818181818,61.81818181818182
validation,Fear,27,28,55,49.09090909090909,50.90909090909091
validation,Happiness,3,52,55,5.454545454545454,94.54545454545455
validation,Neutral,9,46,55,16.363636363636363,83.63636363636364
validation,Sadness,13,42,55,23.636363636363637,76.36363636363636
validation,Surprise,13,42,55,23.636363636363637,76.36363636363636
validation,Total,109,276,385,28.31168831168831,71.68831168831169
test,Anger,14,40,54,25.925925925925927,74.07407407407408
test,Disgust,26,28,54,48.148148148148145,51.851851851851855
test,Fear,35,19,54,64.81481481481481,35.18518518518518
test,Happiness,0,54,54,0.0,100.0
test,Neutral,7,47,54,12.962962962962964,87.03703703703704
test,Sadness,7,47,54,12.962962962962964,87.03703703703704
test,Surprise,14,40,54,25.925925925925927,74.07407407407408
test,Total,103,275,378,27.24867724867725,72.75132275132275
