modality,participant_id,true_label,size_2/3,size_3/3,mean_2/3,mean_3/3,contrast_3_minus_2_pp
Image,1,Anger,4.0,8.0,0.0,0.375,37.5
Image,1,Disgust,10.0,8.0,0.7,0.875,17.500000000000004
Image,1,Fear,6.0,8.0,1.0,0.875,-12.5
Image,1,Neutral,2.0,10.0,1.0,1.0,0.0
Image,1,Sadness,2.0,12.0,0.5,1.0,50.0
Image,8,Disgust,8.0,10.0,1.0,1.0,0.0
Image,8,Fear,14.0,6.0,0.8571428571428571,0.5,-35.71428571428571
Image,8,Sadness,4.0,8.0,0.75,0.875,12.5
Image,10,Disgust,4.0,12.0,0.25,0.75,50.0
Image,10,Fear,6.0,10.0,0.8333333333333334,0.8,-3.3333333333333326
Image,10,Neutral,8.0,6.0,0.25,0.6666666666666666,41.666666666666664
Image,10,Surprise,8.0,4.0,0.125,0.5,37.5
Image,13,Anger,2.0,12.0,0.5,0.4166666666666667,-8.333333333333332
Image,13,Disgust,2.0,8.0,0.0,1.0,100.0
Image,13,Fear,10.0,2.0,0.7,0.5,-19.999999999999996
Image,13,Surprise,10.0,4.0,0.9,1.0,9.999999999999998
Image,15,Anger,6.0,6.0,0.5,0.8333333333333334,33.333333333333336
Image,15,Disgust,4.0,10.0,0.0,0.4,40.0
Image,15,Fear,10.0,4.0,0.9,1.0,9.999999999999998
Image,15,Sadness,2.0,12.0,1.0,1.0,0.0
Image,18,Disgust,6.0,4.0,0.5,1.0,50.0
Image,18,Surprise,6.0,8.0,1.0,1.0,0.0
Image,23,Anger,2.0,12.0,1.0,0.75,-25.0
Image,23,Disgust,14.0,2.0,0.7857142857142857,1.0,21.42857142857143
Image,23,Fear,10.0,8.0,0.6,0.125,-47.5
Image,23,Neutral,4.0,10.0,0.5,0.9,40.0
Image,23,Sadness,4.0,12.0,1.0,0.8333333333333334,-16.666666666666664
Image,23,Surprise,2.0,12.0,0.0,1.0,100.0
Image,27,Anger,8.0,4.0,0.375,0.25,-12.5
Image,27,Disgust,4.0,2.0,0.0,0.0,0.0
Image,27,Sadness,2.0,8.0,0.5,1.0,50.0
Image,27,Surprise,2.0,12.0,1.0,1.0,0.0
FEA,1,Anger,2.0,4.0,0.5,0.75,25.0
FEA,1,Disgust,5.0,4.0,0.0,0.0,0.0
FEA,1,Fear,3.0,4.0,1.0,1.0,0.0
FEA,1,Neutral,1.0,5.0,1.0,0.6,-40.0
FEA,1,Sadness,1.0,6.0,1.0,1.0,0.0
FEA,8,Disgust,4.0,5.0,1.0,1.0,0.0
FEA,8,Fear,7.0,3.0,1.0,1.0,0.0
