comparison,class,n_view_rows,base_precision,target_precision,delta_precision_pp,base_recall,target_recall,delta_recall_pp,base_f1,target_f1,delta_f1_pp,base_only_correct,target_only_correct,both_wrong
Image → FEA,Anger,108,0.5494505494505495,0.9333333333333333,38.38827838827839,0.46296296296296297,0.5185185185185185,5.555555555555553,0.5025125628140703,0.6666666666666666,16.415410385259634,10,16,42
Image → FEA,Disgust,108,0.5138888888888888,0.4838709677419355,-3.001792114695334,0.6851851851851852,0.5555555555555556,-12.962962962962965,0.5873015873015873,0.5172413793103449,-7.006020799124246,23,9,25
Image → FEA,Fear,108,0.7319587628865979,0.7674418604651163,3.548309757851842,0.6574074074074074,0.6111111111111112,-4.629629629629628,0.6926829268292682,0.6804123711340206,-1.2270555695247598,24,19,18
Image → FEA,Happiness,108,0.75,0.7714285714285715,2.1428571428571463,0.9166666666666666,1.0,8.333333333333337,0.825,0.8709677419354839,4.5967741935483915,0,9,0
Image → FEA,Neutral,108,0.8709677419354839,0.8360655737704918,-3.490216816499203,0.75,0.9444444444444444,19.444444444444443,0.8059701492537313,0.8869565217391304,8.098637248539909,6,27,0
Image → FEA,Sadness,108,0.8461538461538461,0.96,11.384615384615381,0.8148148148148148,0.8888888888888888,7.4074074074074066,0.8301886792452831,0.9230769230769231,9.288824383164007,9,17,3
Image → FEA,Surprise,108,0.9157894736842105,0.8387096774193549,-7.707979626485562,0.8055555555555556,0.9629629629629629,15.740740740740733,0.8571428571428571,0.896551724137931,3.9408866995073955,2,19,2
Image → Multimodal,Anger,108,0.5494505494505495,0.8695652173913043,32.01146679407548,0.46296296296296297,0.5555555555555556,9.259259259259261,0.5025125628140703,0.6779661016949152,17.54535388808449,2,12,46
Image → Multimodal,Disgust,108,0.5138888888888888,0.5669291338582677,5.3040244969378865,0.6851851851851852,0.6666666666666666,-1.85185185185186,0.5873015873015873,0.6127659574468085,2.5464370145221182,8,6,28
Image → Multimodal,Fear,108,0.7319587628865979,0.7787610619469026,4.680229906030475,0.6574074074074074,0.8148148148148148,15.740740740740733,0.6926829268292682,0.7963800904977375,10.369716366846927,4,21,16
Image → Multimodal,Happiness,108,0.75,0.7605633802816901,1.0563380281690127,0.9166666666666666,1.0,8.333333333333337,0.825,0.864,3.9000000000000035,0,9,0
Image → Multimodal,Neutral,108,0.8709677419354839,0.9444444444444444,7.347670250896055,0.75,0.9444444444444444,19.444444444444443,0.8059701492537313,0.9444444444444444,13.847429519071309,2,23,4
Image → Multimodal,Sadness,108,0.8461538461538461,0.9523809523809523,10.622710622710619,0.8148148148148148,0.9259259259259259,11.111111111111116,0.8301886792452831,0.9389671361502347,10.87784569049517,6,18,2
Image → Multimodal,Surprise,108,0.9157894736842105,0.9456521739130435,2.9862700228832972,0.8055555555555556,0.8055555555555556,0.0,0.8571428571428571,0.87,1.28571428571429,2,2,19
FEA → Multimodal,Anger,108,0.9333333333333333,0.8695652173913043,-6.376811594202902,0.5185185185185185,0.5555555555555556,3.703703703703709,0.6666666666666666,0.6779661016949152,1.1299435028248594,4,8,44
FEA → Multimodal,Disgust,108,0.4838709677419355,0.5669291338582677,8.30581661163322,0.5555555555555556,0.6666666666666666,11.111111111111105,0.5172413793103449,0.6127659574468085,9.552457813646365,3,15,33
FEA → Multimodal,Fear,108,0.7674418604651163,0.7787610619469026,1.1319201481786334,0.6111111111111112,0.8148148148148148,20.37037037037036,0.6804123711340206,0.7963800904977375,11.596771936371686,2,24,18
FEA → Multimodal,Happiness,108,0.7714285714285715,0.7605633802816901,-1.0865191146881337,1.0,1.0,0.0,0.8709677419354839,0.864,-0.6967741935483884,0,0,0
FEA → Multimodal,Neutral,108,0.8360655737704918,0.9444444444444444,10.837887067395258,0.9444444444444444,0.9444444444444444,0.0,0.8869565217391304,0.9444444444444444,5.7487922705314,4,4,2
FEA → Multimodal,Sadness,108,0.96,0.9523809523809523,-0.7619047619047636,0.8888888888888888,0.9259259259259259,3.703703703703709,0.9230769230769231,0.9389671361502347,1.589021307331162,0,4,8
FEA → Multimodal,Surprise,108,0.8387096774193549,0.9456521739130435,10.694249649368858,0.9629629629629629,0.8055555555555556,-15.740740740740733,0.896551724137931,0.87,-2.6551724137931054,19,2,2
