modality,class,static_support,static_precision,static_recall,static_f1,dynamic_support,dynamic_precision,dynamic_recall,dynamic_f1,delta_precision_pp,delta_recall_pp,delta_f1_pp,n,both_correct,static_only_correct,dynamic_only_correct,both_wrong
Image,Anger,108,0.47413793103448276,0.5092592592592593,0.49107142857142855,108,0.5494505494505495,0.46296296296296297,0.5025125628140703,7.531261841606673,-4.629629629629633,1.144113424264176,108,38,17,12,41
Image,Disgust,108,0.5606060606060606,0.6851851851851852,0.6166666666666667,108,0.5138888888888888,0.6851851851851852,0.5873015873015873,-4.671717171717171,0.0,-2.936507936507937,108,61,13,13,21
Image,Fear,108,0.7816091954022989,0.6296296296296297,0.6974358974358974,108,0.7319587628865979,0.6574074074074074,0.6926829268292682,-4.9650432515701,2.777777777777779,-0.4752970606629159,108,50,18,21,19
Image,Happiness,108,0.6992481203007519,0.8611111111111112,0.7717842323651453,108,0.75,0.9166666666666666,0.825,5.07518796992481,5.5555555555555465,5.321576763485469,108,89,4,10,5
Image,Neutral,108,0.7788461538461539,0.75,0.7641509433962265,108,0.8709677419354839,0.75,0.8059701492537313,9.212158808933001,0.0,4.181920585750487,108,72,9,9,18
Image,Sadness,108,0.8072289156626506,0.6203703703703703,0.7015706806282722,108,0.8461538461538461,0.8148148148148148,0.8301886792452831,3.8924930491195497,19.444444444444443,12.861799861701083,108,61,6,27,14
Image,Surprise,108,0.8910891089108911,0.8333333333333334,0.861244019138756,108,0.9157894736842105,0.8055555555555556,0.8571428571428571,2.4700364773319383,-2.777777777777779,-0.41011619958989387,108,81,9,6,12
FEA,Anger,54,0.7027027027027027,0.48148148148148145,0.5714285714285714,54,0.9333333333333333,0.5185185185185185,0.6666666666666666,23.063063063063062,3.7037037037037033,9.523809523809524,54,23,3,5,23
FEA,Disgust,54,0.5409836065573771,0.6111111111111112,0.5739130434782609,54,0.4838709677419355,0.5555555555555556,0.5172413793103449,-5.711263881544159,-5.555555555555558,-5.667166416791602,54,27,6,3,18
FEA,Fear,54,0.6458333333333334,0.5740740740740741,0.6078431372549019,54,0.7674418604651163,0.6111111111111112,0.6804123711340206,12.160852713178294,3.703703703703709,7.256923387911874,54,25,6,8,15
FEA,Happiness,54,0.7910447761194029,0.9814814814814815,0.8760330578512396,54,0.7714285714285715,1.0,0.8709677419354839,-1.9616204690831474,1.851851851851849,-0.5065315915755764,54,53,0,1,0
FEA,Neutral,54,0.6923076923076923,0.8333333333333334,0.7563025210084033,54,0.8360655737704918,0.9444444444444444,0.8869565217391304,14.375788146279955,11.111111111111105,13.06540007307271,54,44,1,7,2
FEA,Sadness,54,0.9230769230769231,0.6666666666666666,0.7741935483870968,54,0.96,0.8888888888888888,0.9230769230769231,3.6923076923076836,22.22222222222222,14.888337468982638,54,36,0,12,6
FEA,Surprise,54,0.7704918032786885,0.8703703703703703,0.8173913043478261,54,0.8387096774193549,0.9629629629629629,0.896551724137931,6.8217874140666375,9.259259259259256,7.91604197901049,54,47,0,5,2
Multimodal,Anger,108,0.7528089887640449,0.6203703703703703,0.6802030456852792,108,0.8695652173913043,0.5555555555555556,0.6779661016949152,11.675622862725943,-6.481481481481477,-0.22369439903640043,108,53,14,7,34
Multimodal,Disgust,108,0.6637931034482759,0.7129629629629629,0.6875,108,0.5669291338582677,0.6666666666666666,0.6127659574468085,-9.68639695900082,-4.629629629629628,-7.473404255319149,108,64,13,8,23
Multimodal,Fear,108,0.7652173913043478,0.8148148148148148,0.7892376681614349,108,0.7787610619469026,0.8148148148148148,0.7963800904977375,1.3543670642554795,0.0,0.7142422336302579,108,75,13,13,7
Multimodal,Happiness,108,0.8091603053435115,0.9814814814814815,0.8870292887029289,108,0.7605633802816901,1.0,0.864,-4.859692506182133,1.851851851851849,-2.3029288702928863,108,106,0,2,0
Multimodal,Neutral,108,0.847457627118644,0.9259259259259259,0.8849557522123894,108,0.9444444444444444,0.9444444444444444,0.9444444444444444,9.698681732580038,1.851851851851849,5.9488692232055,108,97,3,5,3
Multimodal,Sadness,108,0.9111111111111111,0.7592592592592593,0.8282828282828283,108,0.9523809523809523,0.9259259259259259,0.9389671361502347,4.126984126984123,16.666666666666664,11.068430786740645,108,78,4,22,4
Multimodal,Surprise,108,0.9072164948453608,0.8148148148148148,0.8585365853658536,108,0.9456521739130435,0.8055555555555556,0.87,3.8435679067682638,-0.9259259259259189,1.1463414634146352,108,79,9,8,12
