modality,sample_id,participant_id,true_label_id,true_label,image_pred_id_static,image_pred_static,static_correct,reenactment_id,perspective,image_pred_id_dynamic,image_pred_dynamic,dynamic_correct,transition,fea_pred_id_static,fea_pred_static,fea_pred_id_dynamic,fea_pred_dynamic,multimodal_pred_id_static,multimodal_pred_static,multimodal_pred_id_dynamic,multimodal_pred_dynamic
Image,1700478995850-2-1-1-0-0-0,1,0,Anger,0.0,Anger,True,1700478995850-2-1-1-0-0,Central,0.0,Anger,True,both_correct,,,,,,,,
Image,1700478995850-2-1-1-0-0-1,1,0,Anger,0.0,Anger,True,1700478995850-2-1-1-0-0,Side,1.0,Disgust,False,static_only_correct,,,,,,,,
Image,1700478998549-2-1-1-1-5-0,1,5,Sadness,5.0,Sadness,True,1700478998549-2-1-1-1-5,Central,5.0,Sadness,True,both_correct,,,,,,,,
Image,1700478998549-2-1-1-1-5-1,1,5,Sadness,5.0,Sadness,True,1700478998549-2-1-1-1-5,Side,5.0,Sadness,True,both_correct,,,,,,,,
Image,1700479001137-2-1-1-2-3-0,1,3,Happiness,3.0,Happiness,True,1700479001137-2-1-1-2-3,Central,3.0,Happiness,True,both_correct,,,,,,,,
Image,1700479001137-2-1-1-2-3-1,1,3,Happiness,3.0,Happiness,True,1700479001137-2-1-1-2-3,Side,2.0,Fear,False,static_only_correct,,,,,,,,
Image,1700479004312-2-1-1-3-0-0,1,0,Anger,1.0,Disgust,False,1700479004312-2-1-1-3-0,Central,4.0,Neutral,False,both_wrong,,,,,,,,
Image,1700479004312-2-1-1-3-0-1,1,0,Anger,5.0,Sadness,False,1700479004312-2-1-1-3-0,Side,1.0,Disgust,False,both_wrong,,,,,,,,
Image,1700479005401-2-1-1-4-0-0,1,0,Anger,0.0,Anger,True,1700479005401-2-1-1-4-0,Central,0.0,Anger,True,both_correct,,,,,,,,
Image,1700479005401-2-1-1-4-0-1,1,0,Anger,0.0,Anger,True,1700479005401-2-1-1-4-0,Side,0.0,Anger,True,both_correct,,,,,,,,
Image,1700479007738-2-1-1-5-5-0,1,5,Sadness,5.0,Sadness,True,1700479007738-2-1-1-5-5,Central,5.0,Sadness,True,both_correct,,,,,,,,
Image,1700479007738-2-1-1-5-5-1,1,5,Sadness,1.0,Disgust,False,1700479007738-2-1-1-5-5,Side,5.0,Sadness,True,dynamic_only_correct,,,,,,,,
Image,1700479015441-2-1-1-8-3-0,1,3,Happiness,3.0,Happiness,True,1700479015441-2-1-1-8-3,Central,3.0,Happiness,True,both_correct,,,,,,,,
Image,1700479015441-2-1-1-8-3-1,1,3,Happiness,3.0,Happiness,True,1700479015441-2-1-1-8-3,Side,3.0,Happiness,True,both_correct,,,,,,,,
Image,1700479105264-2-1-2-0-4-0,1,4,Neutral,4.0,Neutral,True,1700479105264-2-1-2-0-4,Central,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479105264-2-1-2-0-4-1,1,4,Neutral,4.0,Neutral,True,1700479105264-2-1-2-0-4,Side,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479106931-2-1-2-1-1-0,1,1,Disgust,1.0,Disgust,True,1700479106931-2-1-2-1-1,Central,1.0,Disgust,True,both_correct,,,,,,,,
Image,1700479106931-2-1-2-1-1-1,1,1,Disgust,1.0,Disgust,True,1700479106931-2-1-2-1-1,Side,5.0,Sadness,False,static_only_correct,,,,,,,,
Image,1700479111705-2-1-2-3-2-0,1,2,Fear,2.0,Fear,True,1700479111705-2-1-2-3-2,Central,2.0,Fear,True,both_correct,,,,,,,,
Image,1700479111705-2-1-2-3-2-1,1,2,Fear,2.0,Fear,True,1700479111705-2-1-2-3-2,Side,2.0,Fear,True,both_correct,,,,,,,,
Image,1700479113933-2-1-2-4-1-0,1,1,Disgust,1.0,Disgust,True,1700479113933-2-1-2-4-1,Central,1.0,Disgust,True,both_correct,,,,,,,,
Image,1700479113933-2-1-2-4-1-1,1,1,Disgust,1.0,Disgust,True,1700479113933-2-1-2-4-1,Side,1.0,Disgust,True,both_correct,,,,,,,,
Image,1700479117593-2-1-2-5-1-0,1,1,Disgust,1.0,Disgust,True,1700479117593-2-1-2-5-1,Central,1.0,Disgust,True,both_correct,,,,,,,,
Image,1700479117593-2-1-2-5-1-1,1,1,Disgust,1.0,Disgust,True,1700479117593-2-1-2-5-1,Side,1.0,Disgust,True,both_correct,,,,,,,,
Image,1700479119890-2-1-2-6-2-0,1,2,Fear,1.0,Disgust,False,1700479119890-2-1-2-6-2,Central,2.0,Fear,True,dynamic_only_correct,,,,,,,,
Image,1700479119890-2-1-2-6-2-1,1,2,Fear,1.0,Disgust,False,1700479119890-2-1-2-6-2,Side,2.0,Fear,True,dynamic_only_correct,,,,,,,,
Image,1700479129747-2-1-2-10-2-0,1,2,Fear,2.0,Fear,True,1700479129747-2-1-2-10-2,Central,2.0,Fear,True,both_correct,,,,,,,,
Image,1700479129747-2-1-2-10-2-1,1,2,Fear,2.0,Fear,True,1700479129747-2-1-2-10-2,Side,2.0,Fear,True,both_correct,,,,,,,,
Image,1700479131977-2-1-2-11-4-0,1,4,Neutral,4.0,Neutral,True,1700479131977-2-1-2-11-4,Central,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479131977-2-1-2-11-4-1,1,4,Neutral,4.0,Neutral,True,1700479131977-2-1-2-11-4,Side,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479238544-2-1-3-0-4-0,1,4,Neutral,4.0,Neutral,True,1700479238544-2-1-3-0-4,Central,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479238544-2-1-3-0-4-1,1,4,Neutral,4.0,Neutral,True,1700479238544-2-1-3-0-4,Side,4.0,Neutral,True,both_correct,,,,,,,,
Image,1700479240547-2-1-3-1-1-0,1,1,Disgust,6.0,Surprise,False,1700479240547-2-1-3-1-1,Central,1.0,Disgust,True,dynamic_only_correct,,,,,,,,
Image,1700479240547-2-1-3-1-1-1,1,1,Disgust,6.0,Surprise,False,1700479240547-2-1-3-1-1,Side,6.0,Surprise,False,both_wrong,,,,,,,,
Image,1700479243878-2-1-3-3-6-0,1,6,Surprise,6.0,Surprise,True,1700479243878-2-1-3-3-6,Central,6.0,Surprise,True,both_correct,,,,,,,,
